"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.8862955411849,4093.75674845809,478
"2002/2003",2003,120,120,100,84.0626809512802,3525.87901398525,524
"2003/2004",2004,120,120,100,81.2385630973524,2042.70713112756,763
"2004/2005",2005,121,121,100,88.4066860825341,2516.26238455853,378
"2005/2006",2006,120,120,100,88.5073109779474,3592.47382067202,216
"2006/2007",2007,120,120,100,85.5294243262723,3089.41510434716,448
"2007/2008",2008,120,120,100,78.0775546463353,2171.18789912242,761
"2008/2009",2009,121,121,100,82.5506812401468,2427.91319899599,575
"2009/2010",2010,120,120,100,86.2141240928702,2619.88095315383,442
"2010/2011",2011,120,120,100,89.3419742787285,2159.01163398928,238
"2011/2012",2012,120,120,100,83.8947854502642,2316.85133749293,427
"2012/2013",2013,121,121,100,86.2133622432389,2684.24687664502,633
"2013/2014",2014,120,120,100,82.0620562997121,1980.50300316501,658
"2014/2015",2015,120,120,100,66.8241832639737,3586.26543583977,1217
"2015/2016",2016,120,120,100,85.6312813420896,3048.71879624738,433
"2016/2017",2017,121,121,100,81.9663104557308,4027.40878636483,603
"2017/2018",2018,120,120,100,76.9228789027966,3681.17659042601,781
"2018/2019",2019,120,120,100,75.6564234699777,2181.38659640052,897
"2019/2020",2020,120,120,100,83.2789065803654,3658.92608390818,537
"2020/2021",2021,121,121,100,88.5765064537263,4107.11018395028,360
"2021/2022",2022,120,120,100,76.1547215978676,2075.93655596534,924
"2022/2023",2023,120,120,100,80.5030908909898,3313.11324878875,556
"2023/2024",2024,120,120,100,88.4105755806449,3316.26046780986,252
"2024/2025",2025,121,121,100,89.3762844864445,2988.98083910323,362
"2025/2026",2026,120,120,100,84.1746480457246,3342.06117850682,458
"2026/2027",2027,120,120,100,75.3177354875461,1593.0682738584,1109
"2027/2028",2028,120,120,100,84.14397310396,2808.7492818227,569
"2028/2029",2029,121,121,100,84.128585910802,1933.18813511892,605
"2029/2030",2030,120,120,100,83.7731541569128,2414.49947286537,608
"2030/2031",2031,120,120,100,86.1985905328038,3800.56478449469,463
"2031/2032",2032,120,120,100,79.6033623155354,2942.88795938203,683
"2032/2033",2033,121,121,100,86.7591482760963,2526.87564934348,485
"2033/2034",2034,120,120,100,81.7803976848936,1930.00248108152,710
"2034/2035",2035,120,120,100,76.1603844897645,2130.10311499145,844
"2035/2036",2036,120,120,100,81.258517844557,3142.75861582276,522
"2036/2037",2037,121,121,100,87.5356202243529,3034.17018411914,470
"2037/2038",2038,120,120,100,79.4150489453623,1421.1295745126,808
"2038/2039",2039,120,120,100,85.8399238001984,3438.08422948606,418
"2039/2040",2040,120,120,100,89.4810868201948,4392.41883326368,276
"2040/2041",2041,121,121,100,87.7133848514331,3069.56622814015,446
"2041/2042",2042,120,120,100,85.9688803992876,1832.31521305488,446
"2042/2043",2043,120,120,100,85.2179914026219,5875.87578563485,367
"2043/2044",2044,120,120,100,83.485133504927,1387.80354330409,668
"2044/2045",2045,121,121,100,86.8543897658701,2346.69123358745,354
"2045/2046",2046,120,120,100,81.2129477998797,2070.70397415198,821
"2046/2047",2047,120,120,100,81.3576629829386,2195.63419588981,689
"2047/2048",2048,120,120,100,80.7676103732292,2320.33186307782,668
"2048/2049",2049,121,121,100,87.5734870781307,2136.81627411721,387
"2049/2050",2050,120,120,100,80.9361042402388,1379.4718175875,667
"2050/2051",2051,120,120,100,78.7265379742421,1216.90093138022,793
"2051/2052",2052,120,120,100,80.3903070840115,3081.21021434525,648
"2052/2053",2053,121,121,100,82.4338583175368,4164.75104383519,548
"2053/2054",2054,120,120,100,85.9234892191407,3834.73184092296,379
"2054/2055",2055,120,120,100,87.2316144635997,3542.62748300796,309
"2055/2056",2056,120,120,100,81.700704229399,2813.09440313559,615
"2056/2057",2057,121,121,100,80.3717282045382,4009.94536904898,464
"2057/2058",2058,120,120,100,82.0645066988127,2623.63035293482,687
"2058/2059",2059,120,120,100,89.2187637110201,3282.21555153746,299
"2059/2060",2060,120,120,100,76.2058997276326,1995.94634845201,932
"2060/2061",2061,121,121,100,87.738090485389,3263.78035199456,424
"2061/2062",2062,120,120,100,76.9367506148774,4372.50899990322,589
"2062/2063",2063,120,120,100,78.3992354371894,1817.20761766983,758
"2063/2064",2064,120,120,100,82.5746469550177,1689.60725004273,774
"2064/2065",2065,121,121,100,82.7352180855432,2747.22079660883,628
"2065/2066",2066,120,120,100,87.0315444934367,2973.97959929844,438
"2066/2067",2067,120,120,100,88.428533456743,2662.11248135008,350
"2067/2068",2068,120,120,100,81.7647753553138,1425.99002661044,729
"2068/2069",2069,121,121,100,90.7586342772374,4010.54825917725,328
"2069/2070",2070,120,120,100,80.3112365106717,2925.00852832478,715
"2070/2071",2071,120,120,100,83.8120424966419,2390.09861078113,582
"2071/2072",2072,120,120,100,79.8038698807286,2887.95423693396,642
"2072/2073",2073,121,121,100,83.8719018692464,4008.63387718052,466
"2073/2074",2074,120,120,100,87.411395104813,3710.93482870609,324
"2074/2075",2075,120,120,100,72.5575892786619,4928.98119256552,736
"2075/2076",2076,120,120,100,82.996602288109,4294.35526725557,595
"2076/2077",2077,121,121,100,90.2444163091604,3466.04933329578,204
"2077/2078",2078,120,120,100,79.8024512786651,1632.61788071413,801
"2078/2079",2079,120,120,100,80.3616811172869,1184.82372870948,744
"2079/2080",2080,120,120,100,86.518909260496,2412.70872573834,385
"2080/2081",2081,121,121,100,89.7895359850136,3395.65334913414,256
"2081/2082",2082,120,120,100,85.8357895602039,3027.36941058841,482
"2082/2083",2083,120,120,100,84.0316357253705,3074.99376807455,441
"2083/2084",2084,120,120,100,84.6002263161699,4125.20406787656,387
"2084/2085",2085,121,121,100,77.7742449282778,1753.84577518143,825
"2085/2086",2086,120,120,100,82.203472064808,2293.64764255472,560
"2086/2087",2087,120,120,100,83.2844295104369,2331.32465418428,647
"2087/2088",2088,120,120,100,84.4038902060547,2070.04990482237,563
"2088/2089",2089,121,121,100,82.3071594219819,3005.54703792557,630
"2089/2090",2090,120,120,100,85.553810195679,2021.35392293241,568
"2090/2091",2091,120,120,100,81.1512753165207,1130.52902050503,724
"2091/2092",2092,120,120,100,83.1105011673062,2011.23409824725,707
"2092/2093",2093,121,121,100,80.1998172849126,1702.02181053162,742
"2093/2094",2094,120,120,100,85.2332250546478,3470.54209484439,522
"2094/2095",2095,120,120,100,83.297418715536,2941.61761608906,653
"2095/2096",2096,120,120,100,88.2731372171766,2165.15857423563,366
"2096/2097",2097,121,121,100,82.2866694744043,5093.61186915264,360
"2097/2098",2098,120,120,100,77.1994597299145,4634.67265072558,645
"2098/2099",2099,120,120,100,82.6911410393914,2431.35775372759,644
"2099/2100",2100,120,120,100,80.9667326049912,2938.03496169578,641
