"","Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"1","1990/1991",1991,120,120,100,77.4645132125117,1964.75727086819,839
"2","1991/1992",1992,120,120,100,84.1214671708871,2481.64810682845,491
"3","1992/1993",1993,121,121,100,85.8933652407651,3143.89791152673,482
"4","1993/1994",1994,120,120,100,83.8334921400401,1904.88353390657,591
"5","1994/1995",1995,120,120,100,86.0022941468432,5425.11196581123,317
"6","1995/1996",1996,120,120,100,67.0574626070839,1612.94417793752,1224
"7","1996/1997",1997,121,121,100,72.923122235966,2528.10885240458,893
"8","1997/1998",1998,120,120,100,86.3518535455032,3795.41582314437,361
"9","1998/1999",1999,120,120,100,80.6757285546632,2256.05543642968,631
"10","1999/2000",2000,120,120,100,88.3676993677477,2391.62737151061,387
"11","2000/2001",2001,121,121,100,84.7117373674846,3790.04199578357,523
"12","2001/2002",2002,120,120,100,82.8693588260651,3364.26057442196,573
"13","2002/2003",2003,120,120,100,80.2255398435245,2825.51001553854,768
"14","2003/2004",2004,120,120,100,84.030799519895,3512.3769197244,497
"15","2004/2005",2005,121,121,100,81.0710390879117,1974.19401072722,721
"16","2005/2006",2006,120,120,100,79.2543503560905,1972.70543982601,768
"17","2006/2007",2007,120,120,100,89.0965959257319,5661.68405809754,199
"18","2007/2008",2008,120,120,100,88.0383431486935,3394.19910997082,367
"19","2008/2009",2009,121,121,100,77.6658024951857,1625.95964019606,810
"20","2009/2010",2010,120,120,100,71.8567342172514,3155.76246910077,985
"21","2010/2011",2011,120,120,100,68.3190055627138,2545.10316566145,1077
"22","2011/2012",2012,120,120,100,84.5622715541354,3129.86183929769,497
"23","2012/2013",2013,121,121,100,77.5859668979642,2264.98003042862,724
"24","2013/2014",2014,120,120,100,91.6298670267875,3046.8389302555,131
"25","2014/2015",2015,120,120,100,84.9337680116428,3012.83361184201,391
"26","2015/2016",2016,120,120,100,82.6637942584857,7062.26877421141,280
"27","2016/2017",2017,121,121,100,84.3139807520606,2425.86928866245,683
"28","2017/2018",2018,120,120,100,84.5350339234246,2340.75847650762,412
"29","2018/2019",2019,120,120,100,85.6695191038962,3806.46821258869,384
"30","2019/2020",2020,120,120,100,91.8805139934348,3604.40230698232,216
