"location","Month","Tmax","Tmin","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
"ARCEN AWS",1,1.90168832035595,1.95338375973304,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",2,2.60290378197998,2.00106985539488,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",3,1.39522057842047,1.03987208008899,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",4,1.38028665183537,1.15055305895439,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",5,1.86855228031146,1.55939187986652,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",6,1.86019599555061,1.67420622914349,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",7,2.68909321468298,2.12773103448276,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",8,2.71389187986652,1.82501223581757,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",9,3.09142714126807,2.35065706340378,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",10,2.59350344827586,2.55772013348165,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",11,2.170810567297,2.04381768631813,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",12,2.79197007786429,2.7986828698554,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",1,2.28524315906563,2.21907408231368,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",2,3.13981991101224,2.56001824249166,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",3,2.06794315906563,1.66141401557286,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",4,1.94410600667408,1.59045305895439,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",5,2.36787808676307,1.85521123470523,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",6,2.26725406006674,1.78744493882091,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",7,3.19796418242491,2.59607296996663,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",8,3.02861768631813,1.9025703003337,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",9,3.87860456062291,2.89431835372636,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",10,3.09303570634038,2.35713303670745,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",11,2.87608798665183,2.62253704115684,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",12,2.39039911012236,2.36163448275862,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",1,1.85693670745273,1.91240311457175,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",2,2.36045862068966,1.87141501668521,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",3,2.92786573971079,2.00486562847608,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",4,1.71258342602892,1.55062725250278,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",5,2.49635550611791,2.18814349276975,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",6,2.14194760845384,2.01398364849833,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",7,2.87328353726362,2.36169555061179,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",8,3.05242413793103,2.43445094549499,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",9,3.35828520578421,2.45866028921023,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",10,2.71886796440489,2.3510233592881,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",11,2.60171379310345,2.35191446051168,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",12,3.00559588431591,3.01239254727475,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"ARCEN AWS",1,1.98059799777531,1.96169988876529,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",2,2.71896507230256,2.31248921023359,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",3,2.74438186874305,2.07414304783092,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",4,2.69880278086763,2.35485305895439,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",5,2.66551034482758,2.2644467185762,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",6,3.47582502780868,3.06751590656285,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",7,4.54346740823137,3.82086974416018,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"ARCEN AWS",8,4.60946929922136,3.8357638487208,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
