"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.5743549802006,7228.85333989597,273
"2002/2003",2003,120,120,100,87.163735704016,5877.03634084197,300
"2003/2004",2004,120,120,100,87.1927300820937,3932.08859010588,370
"2004/2005",2005,121,121,100,91.8129647150618,5068.60159371299,162
"2005/2006",2006,120,120,100,88.9189934484616,7301.99293427443,52
"2006/2007",2007,120,120,100,86.14184049376,5815.65873727965,264
"2007/2008",2008,120,120,100,85.3117390479209,3764.03660517588,405
"2008/2009",2009,121,121,100,88.9375210316991,4903.9674332405,338
"2009/2010",2010,120,120,100,88.9578991821766,5314.09260287008,198
"2010/2011",2011,120,120,100,91.8518246000801,5123.98847166693,116
"2011/2012",2012,120,120,100,88.7835301296725,4495.01285567333,148
"2012/2013",2013,121,121,100,89.1348976889051,4886.21622716682,293
"2013/2014",2014,120,120,100,85.1565033929887,4076.48373572296,272
"2014/2015",2015,120,120,100,76.4943027285326,4888.43659556878,651
"2015/2016",2016,120,120,100,89.7060909214656,5364.5921004127,179
"2016/2017",2017,121,121,100,82.7817705341554,6587.23874038854,315
"2017/2018",2018,120,120,100,81.3942441282038,6032.39686087496,456
"2018/2019",2019,120,120,100,82.0305160519533,3473.75160987652,482
"2019/2020",2020,120,120,100,85.9638755035371,6451.92680217698,233
"2020/2021",2021,121,121,100,86.9358538227807,7437.51277592615,193
"2021/2022",2022,120,120,100,82.6782020545334,3560.96134714922,507
"2022/2023",2023,120,120,100,85.4572816565797,5189.69877008465,248
"2023/2024",2024,120,120,100,91.7656069901473,6085.85656441469,40
"2024/2025",2025,121,121,100,90.0041664081,5806.28683436057,78
"2025/2026",2026,120,120,100,85.2597528311462,6277.63631628174,222
"2026/2027",2027,120,120,100,79.7565382436205,3300.54043477448,755
"2027/2028",2028,120,120,100,86.4948984599991,5215.71716030827,261
"2028/2029",2029,121,121,100,90.3132858555737,3866.55238780892,276
"2029/2030",2030,120,120,100,86.869022783339,4389.88243382401,238
"2030/2031",2031,120,120,100,88.1736837017952,6540.20019563357,199
"2031/2032",2032,120,120,100,85.1143966677364,4806.75285214838,375
"2032/2033",2033,121,121,100,88.6372119727048,4919.40538490564,271
"2033/2034",2034,120,120,100,87.728293359869,3831.41638592677,376
"2034/2035",2035,120,120,100,84.7957735655373,3492.79426932381,467
"2035/2036",2036,120,120,100,86.723329676176,5172.02966890158,209
"2036/2037",2037,121,121,100,89.9536613577966,5572.28992335498,273
"2037/2038",2038,120,120,100,85.9675704494093,2760.43743244559,378
"2038/2039",2039,120,120,100,86.6077090946101,6393.95332365064,257
"2039/2040",2040,120,120,100,88.9585989227126,7638.66170243593,56
"2040/2041",2041,121,121,100,92.2275876047943,5347.2671816824,141
"2041/2042",2042,120,120,100,92.9383825359964,3820.78131942917,170
"2042/2043",2043,120,120,100,83.5220003441973,9403.07354338421,227
"2043/2044",2044,120,120,100,89.3829966233743,2964.17924207868,306
"2044/2045",2045,121,121,100,91.3454162168855,4558.14993249252,161
"2045/2046",2046,120,120,100,88.0268200855726,3595.83469766797,456
"2046/2047",2047,120,120,100,85.4579887019108,3710.82177232113,330
"2047/2048",2048,120,120,100,85.9522823245134,4279.40362948924,457
"2048/2049",2049,121,121,100,92.9538686060141,4303.27516746521,131
"2049/2050",2050,120,120,100,89.1841666480968,2803.90465656202,265
"2050/2051",2051,120,120,100,85.4794472158401,2324.90780795971,348
"2051/2052",2052,120,120,100,85.4496615128764,5205.31768560782,277
"2052/2053",2053,121,121,100,85.1044447413224,6597.94769591838,278
"2053/2054",2054,120,120,100,88.3713396441117,6962.34416638687,232
"2054/2055",2055,120,120,100,88.828609780413,6363.29034410836,54
"2055/2056",2056,120,120,100,88.8425907038481,4627.65433739871,233
"2056/2057",2057,121,121,100,85.919523645116,6069.46469899733,123
"2057/2058",2058,120,120,100,84.6068702440762,4988.10710929707,400
"2058/2059",2059,120,120,100,88.528904139228,6288.19492287841,131
"2059/2060",2060,120,120,100,84.9913883583467,3277.65812546946,424
"2060/2061",2061,121,121,100,90.446311988293,5947.65288476972,160
"2061/2062",2062,120,120,100,80.5415599850039,6690.38954526279,220
"2062/2063",2063,120,120,100,84.7945009149553,3450.10873084236,463
"2063/2064",2064,120,120,100,87.2412901316638,3371.55437420774,396
"2064/2065",2065,121,121,100,85.5613152340484,5522.05160580855,425
"2065/2066",2066,120,120,100,87.1496703507546,6111.22016671952,258
"2066/2067",2067,120,120,100,92.7101067588628,4855.01227962039,81
"2067/2068",2068,120,120,100,86.9883308902135,3168.12173892837,390
"2068/2069",2069,121,121,100,86.8523559772439,7844.00334442779,147
"2069/2070",2070,120,120,100,85.8409471276354,5079.4603650542,336
"2070/2071",2071,120,120,100,86.6793777370094,4750.64267663565,321
"2071/2072",2072,120,120,100,85.400524973209,4855.15664013848,262
"2072/2073",2073,121,121,100,83.5074078910311,6652.98328763712,199
"2073/2074",2074,120,120,100,85.2112492039814,7060.52679291181,226
"2074/2075",2075,120,120,100,77.842355741388,7007.5884498274,471
"2075/2076",2076,120,120,100,81.788687661061,7143.837083661,314
"2076/2077",2077,121,121,100,90.4740790915512,6764.69115635473,57
"2077/2078",2078,120,120,100,87.6419410811159,3105.18124307599,330
"2078/2079",2079,120,120,100,86.8969222230917,3157.72212297283,510
"2079/2080",2080,120,120,100,89.5898977971756,5096.59813776333,203
"2080/2081",2081,121,121,100,89.2131368388382,6527.81239326578,90
"2081/2082",2082,120,120,100,88.9791455751219,5669.69116994366,254
"2082/2083",2083,120,120,100,87.6692133786491,5203.91740795318,139
"2083/2084",2084,120,120,100,86.9639299982773,7177.69907853007,241
"2084/2085",2085,121,121,100,81.997669241644,3448.43253447767,409
"2085/2086",2086,120,120,100,88.1335593788281,4560.79700506013,303
"2086/2087",2087,120,120,100,87.7806101119877,4053.46706182603,361
"2087/2088",2088,120,120,100,89.5366423879113,3880.70310856123,197
"2088/2089",2089,121,121,100,85.9889676686871,5220.26985855121,392
"2089/2090",2090,120,120,100,92.3311621083394,3988.46755834483,251
"2090/2091",2091,120,120,100,87.3326140927529,2624.42635210417,409
"2091/2092",2092,120,120,100,89.5085368964174,3740.01819048449,333
"2092/2093",2093,121,121,100,89.4057983885468,3303.50196170993,316
"2093/2094",2094,120,120,100,88.1973973989352,6042.99978398439,265
"2094/2095",2095,120,120,100,87.1071799505698,5121.93293741439,335
"2095/2096",2096,120,120,100,92.735760296373,4404.0621315036,112
"2096/2097",2097,121,121,100,85.2806650262901,7752.49601303693,116
"2097/2098",2098,120,120,100,80.2767593821591,6703.99962228443,303
"2098/2099",2099,120,120,100,86.7135836118523,4327.86627657898,310
"2099/2100",2100,120,120,100,84.2837765067143,5029.71473465394,371
