"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.0000151590033,10948.9860463258,140
"2002/2003",2003,120,120,100,80.930077547135,9770.36319807259,235
"2003/2004",2004,120,120,100,86.0572128379799,6562.59897008989,243
"2004/2005",2005,121,121,100,88.8334398676071,7986.43535486818,62
"2005/2006",2006,120,120,100,83.5402058856951,10771.5779586762,14
"2006/2007",2007,120,120,100,81.8415114475845,9175.8099975618,197
"2007/2008",2008,120,120,100,84.5307501696286,6446.98643215653,220
"2008/2009",2009,121,121,100,86.9855272828248,7756.49941658112,185
"2009/2010",2010,120,120,100,85.5414189413978,8620.48930616886,136
"2010/2011",2011,120,120,100,88.3743465657642,8151.26670686039,58
"2011/2012",2012,120,120,100,86.7967251674272,7352.4515135237,51
"2012/2013",2013,121,121,100,83.331275509865,8436.2533610845,173
"2013/2014",2014,120,120,100,86.2012064088815,6450.79104528134,129
"2014/2015",2015,120,120,100,73.0167643117341,7685.36714478279,421
"2015/2016",2016,120,120,100,85.9105038962857,8948.06473296555,120
"2016/2017",2017,121,121,100,76.2842386217269,9988.42066736147,190
"2017/2018",2018,120,120,100,77.8823174820945,9271.0801931622,290
"2018/2019",2019,120,120,100,82.2555352303625,6188.52959261509,324
"2019/2020",2020,120,120,100,82.5969372424115,9803.13746465393,89
"2020/2021",2021,121,121,100,79.9098701968574,11086.8030696467,83
"2021/2022",2022,120,120,100,79.9677110394382,6121.04410169926,337
"2022/2023",2023,120,120,100,80.7813986728897,8333.51114472724,114
"2023/2024",2024,120,120,100,84.8746603070272,9938.95927060861,12
"2024/2025",2025,121,121,100,87.0300163525667,9098.33982607606,15
"2025/2026",2026,120,120,100,82.5412985589264,9157.85601770249,63
"2026/2027",2027,120,120,100,83.0287385727775,5012.77960628271,391
"2027/2028",2028,120,120,100,84.6610173257859,8014.53297302593,118
"2028/2029",2029,121,121,100,88.1600152837732,6819.1339695002,180
"2029/2030",2030,120,120,100,86.117018634553,7508.37563970033,182
"2030/2031",2031,120,120,100,80.4766360602198,10068.8978277813,125
