"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.2593034748425,7464.82894591856,279
"2002/2003",2003,120,120,100,86.1322923850436,6269.37974116471,335
"2003/2004",2004,120,120,100,86.3861401889361,4185.48985840342,394
"2004/2005",2005,121,121,100,89.4576285417656,5254.8588133977,160
"2005/2006",2006,120,120,100,90.6231872237595,7197.95819664502,59
"2006/2007",2007,120,120,100,87.5962700652422,5830.23010782531,255
"2007/2008",2008,120,120,100,83.8234372837455,4181.83854952489,466
"2008/2009",2009,121,121,100,87.5592745864985,5124.68195031874,334
"2009/2010",2010,120,120,100,88.8189941612366,5281.72229581198,197
"2010/2011",2011,120,120,100,91.2923181484741,4867.78279124107,101
"2011/2012",2012,120,120,100,87.3212983850653,4797.86302455876,188
"2012/2013",2013,121,121,100,87.9551094505746,5025.66803907068,302
"2013/2014",2014,120,120,100,85.6066363764414,4137.89861932199,283
"2014/2015",2015,120,120,100,75.1871484816738,5420.01040467108,707
"2015/2016",2016,120,120,100,88.2519680566434,5758.0995055188,205
"2016/2017",2017,121,121,100,82.2939593471515,6724.13936828519,318
"2017/2018",2018,120,120,100,80.2700342001699,6383.58933375753,476
"2018/2019",2019,120,120,100,81.7934198979533,3813.5123435962,503
"2019/2020",2020,120,120,100,85.8146002173785,6712.15226075589,250
"2020/2021",2021,121,121,100,87.1128743898798,7592.680584213,173
"2021/2022",2022,120,120,100,82.8587256129408,3761.4635309556,520
"2022/2023",2023,120,120,100,84.1124021526971,5532.13223099196,257
"2023/2024",2024,120,120,100,90.8075719542226,6296.89005976915,33
"2024/2025",2025,121,121,100,89.998070184145,6106.98682084982,105
"2025/2026",2026,120,120,100,83.7527174015822,6478.7646408251,241
"2026/2027",2027,120,120,100,80.3983785713335,3462.96442903113,756
"2027/2028",2028,120,120,100,84.1125399889056,5523.70005229884,277
"2028/2029",2029,121,121,100,88.8078091613402,3909.45113237528,276
"2029/2030",2030,120,120,100,86.729603328954,4566.54091822798,277
"2030/2031",2031,120,120,100,85.8553665706036,6917.86264623981,248
"2031/2032",2032,120,120,100,83.9813199498785,5196.38462869031,409
"2032/2033",2033,121,121,100,86.8363134086494,5023.07787160249,271
"2033/2034",2034,120,120,100,86.2657369908147,3998.48690950545,394
"2034/2035",2035,120,120,100,82.6509127458194,3845.84354924923,505
"2035/2036",2036,120,120,100,85.1450401394368,5549.62420183467,240
"2036/2037",2037,121,121,100,89.2482736432476,5918.99538548617,291
"2037/2038",2038,120,120,100,84.5232862177791,2958.50918035908,395
"2038/2039",2039,120,120,100,86.2637664628655,6414.29252906423,255
"2039/2040",2040,120,120,100,89.0543721656386,8025.39820521558,73
"2040/2041",2041,121,121,100,89.9430468716873,5897.69690547977,180
"2041/2042",2042,120,120,100,90.2524347556891,4001.62351156259,167
"2042/2043",2043,120,120,100,80.5121918532805,9721.3533584876,235
"2043/2044",2044,120,120,100,89.1826116064522,2972.95580205135,275
"2044/2045",2045,121,121,100,91.6962977807261,4693.49649734423,158
"2045/2046",2046,120,120,100,86.450735130089,3817.9510474843,501
"2046/2047",2047,120,120,100,84.9589369309379,4095.94772295374,344
"2047/2048",2048,120,120,100,85.5104754588092,4498.58217870351,455
"2048/2049",2049,121,121,100,91.675163645752,4525.33507659798,135
"2049/2050",2050,120,120,100,88.1724772386951,2953.50036110589,274
"2050/2051",2051,120,120,100,85.4273254182544,2594.36280566826,405
"2051/2052",2052,120,120,100,82.9808922568982,5702.90742165782,322
"2052/2053",2053,121,121,100,82.3218438674839,7209.07488486683,326
"2053/2054",2054,120,120,100,85.8668303936702,7152.45721966214,243
"2054/2055",2055,120,120,100,89.5275981056047,6500.11363101518,72
"2055/2056",2056,120,120,100,85.1175236752542,5117.61634643702,281
"2056/2057",2057,121,121,100,82.6834930688556,6591.81802327652,154
"2057/2058",2058,120,120,100,83.9409926190419,5169.16613806318,404
"2058/2059",2059,120,120,100,88.7222073954708,6454.92654227931,139
"2059/2060",2060,120,120,100,84.4310839550799,3611.33126981556,454
"2060/2061",2061,121,121,100,89.9007390933821,6084.15772968531,157
"2061/2062",2062,120,120,100,78.0700686194768,6862.93110311031,240
"2062/2063",2063,120,120,100,84.4043667952956,3368.7349995682,426
"2063/2064",2064,120,120,100,87.0561323766142,3612.50464073941,394
"2064/2065",2065,121,121,100,85.8595340598458,5270.42374539841,386
"2065/2066",2066,120,120,100,88.8113755649229,6110.7802017061,265
"2066/2067",2067,120,120,100,90.1249551885703,5164.65050456673,94
"2067/2068",2068,120,120,100,85.7033084290852,3240.52523102518,389
"2068/2069",2069,121,121,100,86.5239101740481,7784.16594891064,116
"2069/2070",2070,120,120,100,84.4796963693789,5229.69210755546,346
"2070/2071",2071,120,120,100,86.1681928463731,4914.70759273041,318
"2071/2072",2072,120,120,100,84.4005695563555,5285.84861008078,308
"2072/2073",2073,121,121,100,83.8325389910788,6743.62380227353,207
"2073/2074",2074,120,120,100,85.1973885003299,7230.18167288601,239
"2074/2075",2075,120,120,100,76.4521650052666,7444.30989021342,491
"2075/2076",2076,120,120,100,81.0224303152372,7578.96498353407,351
"2076/2077",2077,121,121,100,90.6022234732791,6788.02010965254,54
"2077/2078",2078,120,120,100,86.3411610340372,3293.09035707079,352
"2078/2079",2079,120,120,100,87.7268744991852,3102.84747612663,475
"2079/2080",2080,120,120,100,90.6662344866818,5081.1591415517,214
"2080/2081",2081,121,121,100,90.7956352590263,6474.27426242922,89
"2081/2082",2082,120,120,100,88.8692576839912,5578.63790640607,242
"2082/2083",2083,120,120,100,87.867228672374,5547.67051386274,163
"2083/2084",2084,120,120,100,85.9390356922977,7400.06764616445,257
"2084/2085",2085,121,121,100,80.750640820519,3708.72552721482,437
"2085/2086",2086,120,120,100,87.4883044564904,4831.94516552147,318
"2086/2087",2087,120,120,100,86.8004567101307,4205.61883556191,364
"2087/2088",2088,120,120,100,89.3694330996932,4196.83496327698,221
"2088/2089",2089,121,121,100,85.8343119237907,5389.5371301407,392
"2089/2090",2090,120,120,100,91.1080127227906,4177.95009951293,247
"2090/2091",2091,120,120,100,87.949529426247,2610.02583859768,397
"2091/2092",2092,120,120,100,88.2498552027573,3851.57270379644,326
"2092/2093",2093,121,121,100,89.9950625390975,3465.48476142809,328
"2093/2094",2094,120,120,100,86.5704202401303,6357.4453638522,287
"2094/2095",2095,120,120,100,86.1021951346229,5415.0628409693,380
"2095/2096",2096,120,120,100,92.3015974655154,4418.8062263364,123
"2096/2097",2097,121,121,100,84.7700996893545,8101.38748899382,125
"2097/2098",2098,120,120,100,78.125596087988,7318.24169746973,363
"2098/2099",2099,120,120,100,86.5812036536408,4558.13018037844,360
"2099/2100",2100,120,120,100,82.8628503674736,5338.41184009332,408
