"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.0457329202547,8850.73395334675,188
"2002/2003",2003,120,120,100,84.6621409872461,7803.51490612217,269
"2003/2004",2004,120,120,100,88.0404170383536,4941.72062313353,341
"2004/2005",2005,121,121,100,90.6078778166305,6175.23370124091,118
"2005/2006",2006,120,120,100,87.6634175147971,8659.09890206327,32
"2006/2007",2007,120,120,100,84.6844193330775,7401.13656249299,257
"2007/2008",2008,120,120,100,86.1284262565119,5007.79328827112,283
"2008/2009",2009,121,121,100,90.4168752713583,6017.73285644921,249
"2009/2010",2010,120,120,100,88.5019764717947,6780.45603438863,214
"2010/2011",2011,120,120,100,89.6066993225836,6356.08286420838,86
"2011/2012",2012,120,120,100,88.2845163110746,5672.30062201037,122
"2012/2013",2013,121,121,100,85.8558498310347,6673.60108652443,281
"2013/2014",2014,120,120,100,87.1853362494276,5107.89248190541,210
"2014/2015",2015,120,120,100,74.1209928252399,6487.56445966649,600
"2015/2016",2016,120,120,100,88.2516577794265,7004.87892333814,170
"2016/2017",2017,121,121,100,81.1419444554253,8305.48305027187,277
"2017/2018",2018,120,120,100,78.8882126723593,7449.6979168246,383
"2018/2019",2019,120,120,100,82.8478708561188,4877.06025475613,420
"2019/2020",2020,120,120,100,84.9750269539486,7919.33878479968,159
"2020/2021",2021,121,121,100,85.6450210359953,8920.77801600983,159
"2021/2022",2022,120,120,100,81.7960615738057,4951.78367063752,452
"2022/2023",2023,120,120,100,82.5554284757554,6879.3514215115,185
"2023/2024",2024,120,120,100,87.5617911229269,7932.59500434296,35
"2024/2025",2025,121,121,100,90.2175962378296,7134.15180504532,37
"2025/2026",2026,120,120,100,85.309164683395,7154.62423043372,118
"2026/2027",2027,120,120,100,83.5507870299248,3794.55620797281,544
"2027/2028",2028,120,120,100,86.8030321380688,6360.06654260959,201
"2028/2029",2029,121,121,100,86.8499025810238,5348.84940550826,256
"2029/2030",2030,120,120,100,83.8313845136699,5973.14866571873,248
"2030/2031",2031,120,120,100,86.1806248990556,8015.125726467,156
"2031/2032",2032,120,120,100,83.8794976597892,6254.76786501054,302
"2032/2033",2033,121,121,100,86.5781764170333,6319.50452926196,240
"2033/2034",2034,120,120,100,88.4735725361252,4929.77029806422,291
"2034/2035",2035,120,120,100,82.2062100993599,4885.51297164336,390
"2035/2036",2036,120,120,100,83.4514599516815,6605.99149904773,170
"2036/2037",2037,121,121,100,88.5422770595223,7142.87933584908,235
"2037/2038",2038,120,120,100,85.1009608892464,3709.45513724815,332
"2038/2039",2039,120,120,100,83.3152702305088,8078.85910296626,236
"2039/2040",2040,120,120,100,88.0518187597308,9519.1263048551,59
"2040/2041",2041,121,121,100,89.7340245390824,6889.86789459456,133
"2041/2042",2042,120,120,100,90.0878301202874,5140.90100571932,151
"2042/2043",2043,120,120,100,75.8880233803065,11740.8740003631,243
"2043/2044",2044,120,120,100,88.5799676707975,4123.49001572747,247
"2044/2045",2045,121,121,100,90.3434099126698,6300.37065604469,168
"2045/2046",2046,120,120,100,85.0258307674821,5249.88625875488,411
"2046/2047",2047,120,120,100,86.6478825038675,5009.29521733942,295
"2047/2048",2048,120,120,100,83.2182167243873,6001.88633161923,438
"2048/2049",2049,121,121,100,91.6958230660939,5692.13090230897,115
"2049/2050",2050,120,120,100,89.1199498404494,4164.64750921726,259
"2050/2051",2051,120,120,100,87.6232596892569,3126.66435692972,288
"2051/2052",2052,120,120,100,84.7554831554871,6289.86232722457,171
"2052/2053",2053,121,121,100,82.0724504677692,8223.88168948609,237
"2053/2054",2054,120,120,100,84.7476275290355,8435.11410128884,171
"2054/2055",2055,120,120,100,85.2790921794922,8141.41150290845,37
"2055/2056",2056,120,120,100,85.9345167681167,6257.90769667225,231
"2056/2057",2057,121,121,100,83.948185202782,7295.05150230741,93
"2057/2058",2058,120,120,100,83.4774452353149,6264.86036169715,370
"2058/2059",2059,120,120,100,87.9377911097536,7781.62416934781,81
"2059/2060",2060,120,120,100,80.9987916751534,4712.20446497854,406
"2060/2061",2061,121,121,100,86.6279411259338,7791.98800477479,173
"2061/2062",2062,120,120,100,75.9719335869195,8449.93783160206,208
"2062/2063",2063,120,120,100,87.2170551200761,4589.51396487374,385
"2063/2064",2064,120,120,100,88.0801050743248,4474.52447307203,301
"2064/2065",2065,121,121,100,83.1313801035685,7081.68181272689,373
"2065/2066",2066,120,120,100,88.3553293131154,7091.32786128111,145
"2066/2067",2067,120,120,100,89.2885815369937,6509.42884759884,86
"2067/2068",2068,120,120,100,87.5636557579382,4028.51329523325,291
"2068/2069",2069,121,121,100,85.3206048077755,9306.3155888794,127
"2069/2070",2070,120,120,100,82.0902640837539,6521.89352546167,264
"2070/2071",2071,120,120,100,86.8804571726942,6055.87937386893,283
"2071/2072",2072,120,120,100,85.8616115076529,6090.50003945269,238
"2072/2073",2073,121,121,100,79.1024458867159,8330.07825025916,157
"2073/2074",2074,120,120,100,84.3294755122788,8408.37500860728,196
"2074/2075",2075,120,120,100,77.2208033945044,8591.76509403344,442
"2075/2076",2076,120,120,100,80.8841600260439,8592.35376079939,269
"2076/2077",2077,121,121,100,86.8616063662212,8407.70177121554,41
"2077/2078",2078,120,120,100,85.9167678738413,4181.81131251529,272
"2078/2079",2079,120,120,100,87.4539260601468,4128.42183650006,426
"2079/2080",2080,120,120,100,87.6713916483022,6350.91816263925,177
"2080/2081",2081,121,121,100,87.491207781346,8118.17611014657,50
"2081/2082",2082,120,120,100,84.5071573208479,7682.97191891354,248
"2082/2083",2083,120,120,100,84.8985399032426,6981.28927751444,143
"2083/2084",2084,120,120,100,83.5887852742653,9041.16237458959,229
"2084/2085",2085,121,121,100,85.4519768599221,4235.93458076566,353
"2085/2086",2086,120,120,100,88.4975853344422,6016.53798662778,221
"2086/2087",2087,120,120,100,85.2620595243116,5880.72579043917,354
"2087/2088",2088,120,120,100,88.9822433822192,5281.54466120806,181
"2088/2089",2089,121,121,100,81.7200318923296,6925.7903297497,359
"2089/2090",2090,120,120,100,89.1874912812218,5665.70169460867,249
"2090/2091",2091,120,120,100,86.9061402904608,3744.31389165483,349
"2091/2092",2092,120,120,100,85.619061335261,5422.21026588883,308
"2092/2093",2093,121,121,100,88.3321655787004,4716.30478831101,291
"2093/2094",2094,120,120,100,84.979704173491,7642.5240797475,194
"2094/2095",2095,120,120,100,83.2091851567748,6888.95077781379,299
"2095/2096",2096,120,120,100,87.565032431743,6141.43657546118,104
"2096/2097",2097,121,121,100,80.6724301907107,9871.13534657285,124
"2097/2098",2098,120,120,100,76.0236853514707,8407.21738933213,274
"2098/2099",2099,120,120,100,84.7191039144491,6046.19025036693,290
"2099/2100",2100,120,120,100,82.779139286391,6507.14200012293,335
