"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.3068481789408,10989.396317086,151
"2002/2003",2003,120,120,100,83.0857486886499,9503.89196674956,222
"2003/2004",2004,120,120,100,86.9547916739284,6408.32896174645,219
"2004/2005",2005,121,121,100,88.0220693047245,8202.29836577625,79
"2005/2006",2006,120,120,100,82.3179354398809,10995.213501238,12
"2006/2007",2007,120,120,100,82.9315551938621,9190.27751943265,195
"2007/2008",2008,120,120,100,85.2318419632431,6455.46407613426,199
"2008/2009",2009,121,121,100,86.7753952785934,8001.88986712706,203
"2009/2010",2010,120,120,100,86.093347966234,8441.68899090542,110
"2010/2011",2011,120,120,100,88.3161957481818,8244.58204652474,61
"2011/2012",2012,120,120,100,87.7665376160855,7512.93381858536,78
"2012/2013",2013,121,121,100,86.0862881763464,8054.6313240116,138
"2013/2014",2014,120,120,100,86.3449316388205,6679.0642988286,145
"2014/2015",2015,120,120,100,74.0370067575354,7559.29054000811,394
"2015/2016",2016,120,120,100,85.9685767310148,8799.21223764005,92
"2016/2017",2017,121,121,100,77.1268255509544,9910.46080005565,176
"2017/2018",2018,120,120,100,78.1155360927432,9156.90808059112,267
"2018/2019",2019,120,120,100,82.8332468197423,6029.83573956881,330
"2019/2020",2020,120,120,100,81.0226081779128,9888.42618381931,104
"2020/2021",2021,121,121,100,79.7843851156135,11142.7351535056,70
"2021/2022",2022,120,120,100,81.9149874151935,5979.90044500353,311
"2022/2023",2023,120,120,100,79.7572069053454,8374.22565933294,126
"2023/2024",2024,120,120,100,85.7948133258469,9928.71609176835,7
"2024/2025",2025,121,121,100,84.6534035590912,9336.6906856487,18
"2025/2026",2026,120,120,100,82.5245237375902,9296.03840101557,89
"2026/2027",2027,120,120,100,82.8269781373383,5190.79506750498,413
"2027/2028",2028,120,120,100,83.9265478261341,8298.03630441986,128
"2028/2029",2029,121,121,100,88.4082992623366,6642.46905480977,170
"2029/2030",2030,120,120,100,87.1109542014815,7378.5635395064,147
"2030/2031",2031,120,120,100,80.6531173137091,10013.7653954728,119
"2031/2032",2032,120,120,100,82.6132515552144,7657.68240388576,197
"2032/2033",2033,121,121,100,85.2338994195047,8046.32316767843,164
"2033/2034",2034,120,120,100,87.1754273153902,6407.6479724939,217
"2034/2035",2035,120,120,100,83.2539736459385,6084.97303177742,285
"2035/2036",2036,120,120,100,82.4944762177192,8225.19935922557,111
"2036/2037",2037,121,121,100,86.1393386780901,9078.89667582233,182
"2037/2038",2038,120,120,100,87.4763499669625,4934.12414331222,240
"2038/2039",2039,120,120,100,82.49249933584,10071.9802514156,184
"2039/2040",2040,120,120,100,81.0670459795447,11819.8936909148,9
"2040/2041",2041,121,121,100,87.1296544602956,8789.95543989353,82
"2041/2042",2042,120,120,100,90.2968405672882,6691.68497524876,62
"2042/2043",2043,120,120,100,71.6239121300432,13867.9671551026,191
"2043/2044",2044,120,120,100,90.6466284600447,5245.97165632201,171
"2044/2045",2045,121,121,100,89.7115688828471,7907.96116967825,94
"2045/2046",2046,120,120,100,84.88870434603,6364.52241964778,271
"2046/2047",2047,120,120,100,85.2933337721188,6392.84686778951,196
"2047/2048",2048,120,120,100,84.0985774024057,7344.17809734866,349
"2048/2049",2049,121,121,100,91.2242155737094,7392.57577384822,61
"2049/2050",2050,120,120,100,89.3498603348435,5271.0358320279,129
"2050/2051",2051,120,120,100,89.7458612786131,4229.44708347227,222
"2051/2052",2052,120,120,100,82.6671707820078,8220.1119770403,123
"2052/2053",2053,121,121,100,78.5164780096493,10207.2965621967,178
"2053/2054",2054,120,120,100,81.2004234135156,10584.6980590895,148
"2054/2055",2055,120,120,100,84.5728076681853,10043.8642010363,2
"2055/2056",2056,120,120,100,85.4894569624539,7791.78017408494,128
"2056/2057",2057,121,121,100,82.529727006593,9143.54506569728,50
"2057/2058",2058,120,120,100,81.9085586645924,8014.01227703504,271
"2058/2059",2059,120,120,100,84.6722166861482,9878.05291760806,39
"2059/2060",2060,120,120,100,84.3952376055186,5749.81356514525,291
"2060/2061",2061,121,121,100,85.263260350147,9638.71111671999,89
"2061/2062",2062,120,120,100,76.6278370918208,10104.6081199963,70
"2062/2063",2063,120,120,100,88.6031551572087,5599.81593300588,264
"2063/2064",2064,120,120,100,88.8335619154686,5734.21166744456,185
"2064/2065",2065,121,121,100,81.9018337668022,8580.56338627357,234
"2065/2066",2066,120,120,100,83.6308002718906,9213.6511442652,107
"2066/2067",2067,120,120,100,87.7542459854903,8243.83368681464,32
"2067/2068",2068,120,120,100,88.6881515579826,5457.38303443789,174
"2068/2069",2069,121,121,100,77.6685765483999,11728.5246413583,59
"2069/2070",2070,120,120,100,83.3927075323099,8094.48415072169,209
"2070/2071",2071,120,120,100,84.9712635631313,7896.28567425907,190
"2071/2072",2072,120,120,100,82.5437440456899,7666.9465196291,138
"2072/2073",2073,121,121,100,78.403476644995,9903.76733548474,112
"2073/2074",2074,120,120,100,79.344960027729,10804.9148258818,169
"2074/2075",2075,120,120,100,75.8301058900288,10178.0692932336,369
"2075/2076",2076,120,120,100,78.1125639596066,10674.2543860655,185
"2076/2077",2077,121,121,100,82.7107308167251,10548.3533202205,17
"2077/2078",2078,120,120,100,87.9627944082658,5263.69297690969,138
"2078/2079",2079,120,120,100,87.8650867297365,5529.10669085756,307
"2079/2080",2080,120,120,100,85.9354495650405,8214.58952648658,125
"2080/2081",2081,121,121,100,84.9144221192819,10021.0237038452,25
"2081/2082",2082,120,120,100,83.4938117961683,9316.32090552524,164
"2082/2083",2083,120,120,100,84.0087085958712,8635.73434837349,85
"2083/2084",2084,120,120,100,81.0665590474546,11101.8847120777,184
"2084/2085",2085,121,121,100,85.5693020184699,5722.9735694183,239
"2085/2086",2086,120,120,100,86.8135516570928,7846.61400736868,187
"2086/2087",2087,120,120,100,83.8936997271921,7040.58527950197,249
"2087/2088",2088,120,120,100,89.8292383399894,6859.66393765062,101
"2088/2089",2089,121,121,100,81.2992800698557,8445.47412552126,262
"2089/2090",2090,120,120,100,89.5185145077703,7061.57441868354,157
"2090/2091",2091,120,120,100,88.9175189804391,4904.65122927539,235
"2091/2092",2092,120,120,100,86.228862967846,6621.11405439116,175
"2092/2093",2093,121,121,100,88.7071659367775,5846.42537053488,118
"2093/2094",2094,120,120,100,80.2818503377621,9644.48730945121,148
"2094/2095",2095,120,120,100,83.2742005201017,8494.0413028039,221
"2095/2096",2096,120,120,100,88.424509947894,7593.12755319569,50
"2096/2097",2097,121,121,100,79.1506794581019,11628.0561200511,80
"2097/2098",2098,120,120,100,74.9379757170918,10094.3527340172,166
"2098/2099",2099,120,120,100,84.6025126986242,7396.59665807895,174
"2099/2100",2100,120,120,100,80.5824569563028,8110.46003550757,267
