"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.2637733643005,7195.55093790226,275
"2002/2003",2003,120,120,100,83.9405161025608,6208.985119185,333
"2003/2004",2004,120,120,100,86.7597807245235,3860.05919360727,431
"2004/2005",2005,121,121,100,90.5537629724754,4894.00767601666,161
"2005/2006",2006,120,120,100,91.7575373181074,6865.91516912653,60
"2006/2007",2007,120,120,100,86.3367466569242,5767.97627712542,281
"2007/2008",2008,120,120,100,84.4637134048307,4002.3888081513,470
"2008/2009",2009,121,121,100,88.8224041015849,4773.78009662381,345
"2009/2010",2010,120,120,100,89.1110398068654,5172.37987985811,244
"2010/2011",2011,120,120,100,92.2505380292366,4708.50820209342,101
"2011/2012",2012,120,120,100,88.3343461321999,4478.62092717586,177
"2012/2013",2013,121,121,100,89.1838896950364,5069.22311014822,351
"2013/2014",2014,120,120,100,84.7121888467736,3974.16746405407,297
"2014/2015",2015,120,120,100,71.5530418796718,5477.90557914518,778
"2015/2016",2016,120,120,100,88.7317433381686,5554.32013654453,220
"2016/2017",2017,121,121,100,81.0547325005814,6712.29284789599,353
"2017/2018",2018,120,120,100,79.3109817599652,6173.68407543562,501
"2018/2019",2019,120,120,100,80.014208383282,3837.39992972836,544
"2019/2020",2020,120,120,100,85.2288956549164,6427.14394161524,245
"2020/2021",2021,121,121,100,86.6718135073061,7219.10908756754,204
"2021/2022",2022,120,120,100,83.5364198580255,3816.94632577035,546
"2022/2023",2023,120,120,100,84.0611860704407,5565.14858185453,284
"2023/2024",2024,120,120,100,89.9348700083965,6182.08250506828,55
"2024/2025",2025,121,121,100,90.9700504186385,5724.74879366509,97
"2025/2026",2026,120,120,100,84.3190677127918,5923.34308587364,207
"2026/2027",2027,120,120,100,81.3306985977365,3107.44115727022,724
"2027/2028",2028,120,120,100,86.3841038634282,5187.39890826237,285
"2028/2029",2029,121,121,100,88.7204042407793,3936.50108966953,327
"2029/2030",2030,120,120,100,84.7012669097421,4576.14909237181,303
"2030/2031",2031,120,120,100,87.3028908506931,6559.78776997002,222
"2031/2032",2032,120,120,100,83.2196403893695,5025.27298391936,416
"2032/2033",2033,121,121,100,88.0606566938814,4883.21358516952,299
"2033/2034",2034,120,120,100,86.7782058712992,3827.96334387362,394
"2034/2035",2035,120,120,100,82.7027012657072,3859.72824955219,532
"2035/2036",2036,120,120,100,86.1611822558507,5390.22361200536,246
"2036/2037",2037,121,121,100,88.8133844964723,5711.81753232656,293
"2037/2038",2038,120,120,100,85.1122192590738,2837.23714630492,426
"2038/2039",2039,120,120,100,84.7527865637549,6363.36100671953,285
"2039/2040",2040,120,120,100,87.855397502186,7730.7882968341,101
"2040/2041",2041,121,121,100,89.2568036245239,5573.2455680687,190
"2041/2042",2042,120,120,100,90.5595643323704,3849.01585560665,215
"2042/2043",2043,120,120,100,80.7305280803084,9623.63605444925,256
"2043/2044",2044,120,120,100,87.7698466771271,2948.73347968282,306
"2044/2045",2045,121,121,100,90.8511462980987,4731.61488789553,192
"2045/2046",2046,120,120,100,85.0211281916645,4008.12189173466,543
"2046/2047",2047,120,120,100,86.4271054571291,3976.60531380912,369
"2047/2048",2048,120,120,100,85.140764776791,4533.51378398901,484
"2048/2049",2049,121,121,100,92.0254969171501,4329.90673710825,147
"2049/2050",2050,120,120,100,86.8741867923263,3005.91060692398,311
"2050/2051",2051,120,120,100,84.069307374426,2397.04650958534,384
"2051/2052",2052,120,120,100,82.7852452947882,5288.89305024641,296
"2052/2053",2053,121,121,100,82.6298158884811,6868.30580018414,319
"2053/2054",2054,120,120,100,86.6454868673054,6833.45018829545,235
"2054/2055",2055,120,120,100,88.156665319415,6420.50631406624,79
"2055/2056",2056,120,120,100,85.7687064135953,4999.91551378509,306
"2056/2057",2057,121,121,100,82.5762186709699,6219.06559905829,143
"2057/2058",2058,120,120,100,84.2955235466698,4956.7380146808,434
"2058/2059",2059,120,120,100,87.9820578957952,6172.94495008653,132
"2059/2060",2060,120,120,100,83.0574525025459,3632.36205661763,482
"2060/2061",2061,121,121,100,89.5543963000746,6086.12456452847,193
"2061/2062",2062,120,120,100,76.2214118149259,6946.68438990694,266
"2062/2063",2063,120,120,100,84.598089189747,3383.46516953129,451
"2063/2064",2064,120,120,100,87.3789821466835,3381.75838886388,406
"2064/2065",2065,121,121,100,85.6448156392453,5321.04996918701,419
"2065/2066",2066,120,120,100,88.5357613593424,5683.71715701651,235
"2066/2067",2067,120,120,100,90.4695105931787,5044.23051396664,124
"2067/2068",2068,120,120,100,85.9346710487844,3028.59404460061,402
"2068/2069",2069,121,121,100,87.4363537911158,7470.66586750932,159
"2069/2070",2070,120,120,100,83.5310199461564,5212.35583920777,358
"2070/2071",2071,120,120,100,86.6503935359124,4704.94954821467,341
"2071/2072",2072,120,120,100,83.9869211363221,4973.27919717226,317
"2072/2073",2073,121,121,100,82.9665331654905,6715.40905498154,224
"2073/2074",2074,120,120,100,87.1158910310023,6827.97026583087,234
"2074/2075",2075,120,120,100,76.3733978431574,7336.08445431944,512
"2075/2076",2076,120,120,100,81.7587809502093,7176.73594778497,377
"2076/2077",2077,121,121,100,89.8537704792834,6574.57342979871,68
"2077/2078",2078,120,120,100,85.6236440251323,3177.24961989839,381
"2078/2079",2079,120,120,100,86.3548613908351,2971.39357717894,515
"2079/2080",2080,120,120,100,89.5841132413461,4873.27001126669,224
"2080/2081",2081,121,121,100,89.6588944720297,6340.55163784698,83
"2081/2082",2082,120,120,100,86.4063627234082,5823.06337661762,297
"2082/2083",2083,120,120,100,87.185710569096,5480.56246416923,189
"2083/2084",2084,120,120,100,86.5343590392113,7249.51800813247,267
"2084/2085",2085,121,121,100,83.2241927031428,3377.17393778265,470
"2085/2086",2086,120,120,100,85.754239550939,4654.20998040214,318
"2086/2087",2087,120,120,100,86.1654986101657,4401.77987410501,404
"2087/2088",2088,120,120,100,88.9845441453781,4053.77118273731,265
"2088/2089",2089,121,121,100,83.9403626335952,5405.88850606512,421
"2089/2090",2090,120,120,100,89.7560391176539,4197.35116821341,290
"2090/2091",2091,120,120,100,87.4950842696617,2640.72186039668,425
"2091/2092",2092,120,120,100,85.6973843995729,4025.39163315855,384
"2092/2093",2093,121,121,100,88.1364585346782,3480.48232204281,390
"2093/2094",2094,120,120,100,86.7828443842118,6207.2271494912,278
"2094/2095",2095,120,120,100,85.6895236617293,5427.79212544579,399
"2095/2096",2096,120,120,100,91.0780443800177,4502.59935012925,147
"2096/2097",2097,121,121,100,83.0822731400058,8081.60129449982,145
"2097/2098",2098,120,120,100,77.129517193438,7122.85449149739,379
"2098/2099",2099,120,120,100,86.4578982985131,4654.9081932297,362
"2099/2100",2100,120,120,100,83.3863701397786,5209.69100177102,405
