"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.5016402490077,11526.7945776968,141
"2002/2003",2003,120,120,100,81.7568772067577,9925.28744916897,207
"2003/2004",2004,120,120,100,85.7429915615701,6896.03436225609,190
"2004/2005",2005,121,121,100,86.5849365913443,8736.38286745275,64
"2005/2006",2006,120,120,100,82.1391671583827,11599.7232646081,11
"2006/2007",2007,120,120,100,82.4900201283584,9575.96001852403,172
"2007/2008",2008,120,120,100,86.4973239388751,6857.66263041494,182
"2008/2009",2009,121,121,100,88.0682435175206,8494.14116864989,186
"2009/2010",2010,120,120,100,83.4073806023544,8936.46932444279,84
"2010/2011",2011,120,120,100,86.9626799939165,8712.44404710829,55
"2011/2012",2012,120,120,100,86.620190758314,7990.54299284634,59
"2012/2013",2013,121,121,100,84.3427573385595,8386.03147351963,111
"2013/2014",2014,120,120,100,86.4632084263826,7012.36758267216,125
"2014/2015",2015,120,120,100,76.3222684861639,7658.28188762581,342
"2015/2016",2016,120,120,100,84.9910591592165,9262.20864909631,63
"2016/2017",2017,121,121,100,77.6814870942208,10245.9245740699,139
"2017/2018",2018,120,120,100,76.9692407032126,9696.48837061995,244
"2018/2019",2019,120,120,100,83.7879306114587,6271.52102613007,306
"2019/2020",2020,120,120,100,78.8382375421211,10400.5799807878,100
"2020/2021",2021,121,121,100,76.9496071905583,11795.0780378929,73
"2021/2022",2022,120,120,100,82.9258437994899,6148.5903173876,276
"2022/2023",2023,120,120,100,81.7207229824749,8593.96490274719,105
"2023/2024",2024,120,120,100,85.6696576829931,10313.74664553,4
"2024/2025",2025,121,121,100,83.3858017379307,9880.33151449845,13
"2025/2026",2026,120,120,100,81.4658306692368,10075.013130653,90
"2026/2027",2027,120,120,100,81.6427459415422,5742.57938178745,368
"2027/2028",2028,120,120,100,83.3824581240792,8763.2030088231,119
"2028/2029",2029,121,121,100,88.3226900197305,6948.81060942309,133
"2029/2030",2030,120,120,100,86.6734632419925,7683.59176154714,125
"2030/2031",2031,120,120,100,79.0220030496776,10645.441750308,114
"2031/2032",2032,120,120,100,83.451245659789,8089.87160272757,160
"2032/2033",2033,121,121,100,86.2899033206963,8437.68557155505,137
"2033/2034",2034,120,120,100,85.8181823238233,6803.80415407661,186
"2034/2035",2035,120,120,100,85.0582071343779,6325.63506564777,262
