"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.719288257825,7449.31741056075,263
"2002/2003",2003,120,120,100,85.2973838336101,6289.3577596003,307
"2003/2004",2004,120,120,100,87.0854556488284,4156.7169562591,387
"2004/2005",2005,121,121,100,90.9503416873559,5162.22943999426,151
"2005/2006",2006,120,120,100,88.9926094073303,7322.57700267789,46
"2006/2007",2007,120,120,100,86.0211065489839,6002.88216573047,261
"2007/2008",2008,120,120,100,85.8977911265538,4025.82533398439,415
"2008/2009",2009,121,121,100,89.4237885762557,5027.02904353803,310
"2009/2010",2010,120,120,100,88.7987736019593,5507.64023232332,207
"2010/2011",2011,120,120,100,91.0361541535135,5123.42608167313,105
"2011/2012",2012,120,120,100,88.6444696844692,4672.00887266558,152
"2012/2013",2013,121,121,100,88.3385715505917,5225.48615855793,325
"2013/2014",2014,120,120,100,85.2108823394412,4148.49837973947,262
"2014/2015",2015,120,120,100,75.809171292273,5273.17672105145,683
"2015/2016",2016,120,120,100,88.3527971286819,5690.56302732602,195
"2016/2017",2017,121,121,100,82.6672466570399,6874.76164099667,325
"2017/2018",2018,120,120,100,80.6853026696995,6324.16384804179,466
"2018/2019",2019,120,120,100,82.939627023823,3763.82926808926,491
"2019/2020",2020,120,120,100,85.7379362727356,6669.64249227475,225
"2020/2021",2021,121,121,100,86.5734791073983,7632.9939463574,188
"2021/2022",2022,120,120,100,81.021513746337,3819.21787948534,507
"2022/2023",2023,120,120,100,85.8263067893145,5484.76547189616,238
"2023/2024",2024,120,120,100,90.3197153896308,6334.25520801847,35
"2024/2025",2025,121,121,100,90.3851427893233,5965.52620765427,75
"2025/2026",2026,120,120,100,85.3180634565988,6393.26785966824,206
"2026/2027",2027,120,120,100,82.0785920897852,3366.46127963904,721
"2027/2028",2028,120,120,100,87.3146291128096,5362.90741413226,259
"2028/2029",2029,121,121,100,89.4779528251102,4100.30556896725,287
"2029/2030",2030,120,120,100,87.1714817913075,4652.32475551288,257
"2030/2031",2031,120,120,100,89.167042327671,6863.91065748921,211
"2031/2032",2032,120,120,100,83.577566418041,5180.13783679204,391
"2032/2033",2033,121,121,100,87.9398646530117,5090.00737874489,272
"2033/2034",2034,120,120,100,86.9409918861038,3991.22663831757,360
"2034/2035",2035,120,120,100,83.6611203809771,3778.99375012703,475
"2035/2036",2036,120,120,100,85.9902113241787,5455.21714926697,212
"2036/2037",2037,121,121,100,88.9717178116025,5835.75986687047,279
"2037/2038",2038,120,120,100,85.4123371105325,2886.11636283901,381
"2038/2039",2039,120,120,100,85.272242668424,6533.97906380845,246
"2039/2040",2040,120,120,100,89.2990384733184,7984.96841186937,75
"2040/2041",2041,121,121,100,91.0230676791471,5704.16801345069,164
"2041/2042",2042,120,120,100,92.1065475836622,4031.20557841333,176
"2042/2043",2043,120,120,100,81.3218711255331,9837.09830559185,237
"2043/2044",2044,120,120,100,88.9438922348518,3140.48533695377,303
"2044/2045",2045,121,121,100,90.3950949181863,4815.54308014549,166
"2045/2046",2046,120,120,100,85.8930975108251,3901.21409057733,483
"2046/2047",2047,120,120,100,86.6393442785375,3958.72117594304,329
"2047/2048",2048,120,120,100,85.7142514597726,4613.11287137913,462
"2048/2049",2049,121,121,100,91.207670194116,4526.29308068473,131
"2049/2050",2050,120,120,100,88.3131667891957,3036.46121246601,277
"2050/2051",2051,120,120,100,85.9761767185892,2494.99165308429,344
"2051/2052",2052,120,120,100,84.1484777838359,5387.37287366623,268
"2052/2053",2053,121,121,100,84.34408692956,6981.96507774713,297
"2053/2054",2054,120,120,100,85.9721430451418,7209.33901333623,228
"2054/2055",2055,120,120,100,88.9960167121963,6620.23027152382,54
"2055/2056",2056,120,120,100,87.3633943216537,4990.96650980599,251
"2056/2057",2057,121,121,100,84.8175556357128,6290.48167801835,122
"2057/2058",2058,120,120,100,84.9883967355445,5115.86324093305,403
