"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.1842062951452,7549.19053105291,291
"2002/2003",2003,120,120,100,82.7252217507314,6625.33983390553,369
"2003/2004",2004,120,120,100,84.8884007321725,4673.4919199002,469
"2004/2005",2005,121,121,100,89.389390041827,5158.63031178265,152
"2005/2006",2006,120,120,100,90.4112253007114,6981.57046494307,54
"2006/2007",2007,120,120,100,86.5292627641073,5757.27403761173,244
"2007/2008",2008,120,120,100,84.1234405564817,4376.88399546692,516
"2008/2009",2009,121,121,100,88.846555850447,5143.18642388459,330
"2009/2010",2010,120,120,100,87.9909219726458,5531.78054016607,204
"2010/2011",2011,120,120,100,92.0352079617292,4797.26040338958,103
"2011/2012",2012,120,120,100,87.1260400724716,4895.09078828618,186
"2012/2013",2013,121,121,100,87.5729095226343,5462.83977698104,385
"2013/2014",2014,120,120,100,86.3329093365394,3858.11368784029,252
"2014/2015",2015,120,120,100,75.9222765808734,5436.54675779177,776
"2015/2016",2016,120,120,100,85.7657142739317,6078.13583558088,250
"2016/2017",2017,121,121,100,82.9150984688836,6758.54946542438,327
"2017/2018",2018,120,120,100,76.5114711235656,6642.89793775999,512
"2018/2019",2019,120,120,100,80.876395368186,4012.85900524305,533
"2019/2020",2020,120,120,100,84.7693418510348,6764.34003479546,278
"2020/2021",2021,121,121,100,85.65279996967,7669.32371952804,184
"2021/2022",2022,120,120,100,81.3901757132612,3898.80764520378,545
"2022/2023",2023,120,120,100,83.9544764322782,5430.35821997398,252
"2023/2024",2024,120,120,100,89.1691792208217,6380.8869752062,46
"2024/2025",2025,121,121,100,88.4684923878167,6031.42701026471,113
"2025/2026",2026,120,120,100,83.5580403167387,6664.66012084833,255
"2026/2027",2027,120,120,100,79.3185277070697,3498.23911062628,752
"2027/2028",2028,120,120,100,86.9416486019472,5324.6319019848,276
"2028/2029",2029,121,121,100,88.1211298959133,4164.70267506642,318
"2029/2030",2030,120,120,100,86.5955475664455,4697.72634322126,328
"2030/2031",2031,120,120,100,84.2996037130379,7271.2223389023,282
"2031/2032",2032,120,120,100,80.3853695078178,5706.6721311342,436
"2032/2033",2033,121,121,100,88.7368197631959,4916.95618651947,264
"2033/2034",2034,120,120,100,85.3713343679547,4080.33225258905,392
"2034/2035",2035,120,120,100,83.1517273603822,3941.89184564631,510
"2035/2036",2036,120,120,100,84.6414830851209,5620.82846286241,251
"2036/2037",2037,121,121,100,89.157213258467,5858.45951765869,296
"2037/2038",2038,120,120,100,85.592189666686,2850.83845697949,402
"2038/2039",2039,120,120,100,87.6528046278427,6240.04310961301,214
"2039/2040",2040,120,120,100,85.2284225810763,8258.56085233158,106
"2040/2041",2041,121,121,100,88.2167874422757,6231.41919131763,243
"2041/2042",2042,120,120,100,89.8848018734134,4255.73704044288,209
"2042/2043",2043,120,120,100,77.1169196364363,10035.3908093856,261
"2043/2044",2044,120,120,100,87.5011181691643,3212.89467084594,343
"2044/2045",2045,121,121,100,91.1065208567861,4728.21696314588,155
"2045/2046",2046,120,120,100,87.348923891197,3834.74466146855,514
"2046/2047",2047,120,120,100,86.4389027100824,4119.67761789449,356
"2047/2048",2048,120,120,100,83.2847325000384,4765.96295076609,458
"2048/2049",2049,121,121,100,91.1294137717059,4648.73321620468,150
"2049/2050",2050,120,120,100,87.506333658589,3062.50940345041,308
"2050/2051",2051,120,120,100,84.1591042047348,2796.83602755424,459
"2051/2052",2052,120,120,100,82.8364192710615,5661.16786345188,341
"2052/2053",2053,121,121,100,81.6267777687626,7509.11316376878,354
"2053/2054",2054,120,120,100,84.48549655428,7335.2506042053,253
"2054/2055",2055,120,120,100,89.6464013809227,6580.06851633172,85
"2055/2056",2056,120,120,100,85.3740473801645,5321.32323811809,334
"2056/2057",2057,121,121,100,81.6914971522938,6558.54969992256,178
"2057/2058",2058,120,120,100,83.6598583507557,5101.79660647502,433
"2058/2059",2059,120,120,100,87.1538653538237,6569.48029159708,127
"2059/2060",2060,120,120,100,81.8935053833939,3905.05636772793,496
"2060/2061",2061,121,121,100,90.0158308114296,5837.99228924327,133
"2061/2062",2062,120,120,100,80.7513748749589,6483.97275788011,213
"2062/2063",2063,120,120,100,83.5409057818433,3662.88670735992,471
"2063/2064",2064,120,120,100,83.6185170479985,4208.20445625111,501
"2064/2065",2065,121,121,100,85.8236774061552,5331.04967300966,368
"2065/2066",2066,120,120,100,88.5929306411763,6103.49747000914,281
"2066/2067",2067,120,120,100,89.1136034603078,5395.01791987754,130
"2067/2068",2068,120,120,100,87.3663604133344,3053.59682614729,365
"2068/2069",2069,121,121,100,87.3190300942588,7162.94759061933,75
"2069/2070",2070,120,120,100,87.0118537051658,5074.13586089481,345
"2070/2071",2071,120,120,100,86.492682223181,4755.15417882521,287
"2071/2072",2072,120,120,100,79.7586062099454,5780.87934598792,382
"2072/2073",2073,121,121,100,80.7496078854601,7061.61749636568,229
"2073/2074",2074,120,120,100,85.930728633879,6879.23453487642,208
"2074/2075",2075,120,120,100,75.3235706020132,7322.21777252201,506
"2075/2076",2076,120,120,100,77.2370988029015,7902.02511678543,377
"2076/2077",2077,121,121,100,90.94275875536,6819.45022030454,63
"2077/2078",2078,120,120,100,81.7569038127222,3699.86564297415,423
"2078/2079",2079,120,120,100,87.7534918476686,2908.90134572424,444
"2079/2080",2080,120,120,100,89.2564994335917,5024.36243189685,214
"2080/2081",2081,121,121,100,89.4957900051104,6680.03583647404,108
"2081/2082",2082,120,120,100,90.5971140822185,5350.36056911573,201
"2082/2083",2083,120,120,100,86.4353040147198,5735.6039418336,186
"2083/2084",2084,120,120,100,85.0338735648893,7459.3313890351,234
"2084/2085",2085,121,121,100,82.9720706410444,3855.79728787299,454
"2085/2086",2086,120,120,100,88.3413461579512,4850.27127498947,288
"2086/2087",2087,120,120,100,86.5093405394946,4368.49107706361,367
"2087/2088",2088,120,120,100,88.0451954980981,4335.14032442961,240
"2088/2089",2089,121,121,100,85.6162015252248,5406.89626802225,392
"2089/2090",2090,120,120,100,89.9564441845941,4392.56950237136,294
"2090/2091",2091,120,120,100,88.5865154739968,2518.30391961336,384
