"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,71.619693642202,12719.3035405317,107
"2002/2003",2003,120,120,100,75.6484560348216,11221.7979135393,196
"2003/2004",2004,120,120,100,85.8103581342168,7488.86918626775,131
"2004/2005",2005,121,121,100,84.8285233683649,9829.77463391854,52
"2005/2006",2006,120,120,100,76.4937813306948,12827.9733896059,3
"2006/2007",2007,120,120,100,80.1921083119753,10938.1969146835,183
"2007/2008",2008,120,120,100,82.7145264684608,7798.148590144,144
"2008/2009",2009,121,121,100,85.0123518318694,9480.8618016704,168
"2009/2010",2010,120,120,100,83.8870585435207,9994.3516751501,91
"2010/2011",2011,120,120,100,85.8421887187944,9730.13883224246,50
"2011/2012",2012,120,120,100,85.166854950362,9006.01091709919,48
"2012/2013",2013,121,121,100,84.6733908569954,9411.8194339656,100
"2013/2014",2014,120,120,100,83.0431062496416,8205.41782106133,138
"2014/2015",2015,120,120,100,70.9403621197284,8871.05251580034,317
"2015/2016",2016,120,120,100,83.0480360426589,10381.0076990209,49
"2016/2017",2017,121,121,100,72.5104111024241,11522.9260081325,143
"2017/2018",2018,120,120,100,73.9096590157369,10635.6421632268,222
"2018/2019",2019,120,120,100,81.303633494224,7278.80776494439,291
"2019/2020",2020,120,120,100,76.3381470135701,11504.015242391,56
"2020/2021",2021,121,121,100,76.804097285351,12905.8529132367,40
"2021/2022",2022,120,120,100,80.2477676470317,7122.16139003402,256
"2022/2023",2023,120,120,100,78.5671031615138,9955.60111336643,106
"2023/2024",2024,120,120,100,81.8527399561726,11678.1352265638,5
"2024/2025",2025,121,121,100,81.7037211658535,11103.4849205662,16
"2025/2026",2026,120,120,100,79.1272321216074,10812.9717964609,49
"2026/2027",2027,120,120,100,82.4363152991459,6310.77198810782,339
"2027/2028",2028,120,120,100,81.4031629913679,9946.73597773677,100
"2028/2029",2029,121,121,100,88.3507410606485,7948.66836801264,123
"2029/2030",2030,120,120,100,83.3401074821113,8855.23183855647,120
"2030/2031",2031,120,120,100,75.734531211328,11647.2328477167,100
"2031/2032",2032,120,120,100,80.799847189322,9005.090758109,144
"2032/2033",2033,121,121,100,82.7075010260951,9699.9876158433,128
"2033/2034",2034,120,120,100,84.944364423493,7723.16507793544,171
"2034/2035",2035,120,120,100,81.7253871233324,7415.99152101297,252
"2035/2036",2036,120,120,100,79.2927539511725,9832.3822254031,73
"2036/2037",2037,121,121,100,78.4587920341401,10870.0685355649,164
"2037/2038",2038,120,120,100,85.3978868572694,6124.04026328539,203
"2038/2039",2039,120,120,100,76.3818453047652,11857.5346296215,166
"2039/2040",2040,120,120,100,73.8591510071146,13763.8488427964,1
"2040/2041",2041,121,121,100,82.788407458911,10423.0239597899,58
"2041/2042",2042,120,120,100,88.3785326444458,8110.66381422896,34
"2042/2043",2043,120,120,100,62.9633448932764,15833.5596684245,159
"2043/2044",2044,120,120,100,88.5765890594521,6347.36032836745,130
"2044/2045",2045,121,121,100,85.9716321505121,9627.50868011964,67
"2045/2046",2046,120,120,100,84.0554096313299,7808.18721822649,228
"2046/2047",2047,120,120,100,84.7624744325021,7746.91319025122,145
"2047/2048",2048,120,120,100,80.9020203651262,8801.79418667313,302
"2048/2049",2049,121,121,100,89.0471112949399,8958.64569299854,45
"2049/2050",2050,120,120,100,88.0347691540774,6493.96409042925,68
"2050/2051",2051,120,120,100,90.0597454178724,5236.64933159249,173
"2051/2052",2052,120,120,100,80.2976527132487,9680.61906083114,84
"2052/2053",2053,121,121,100,75.6134142874671,11871.3021229878,147
"2053/2054",2054,120,120,100,73.2389281057058,12368.0384331429,127
"2054/2055",2055,120,120,100,82.4896202002819,11802.7986567467,0
"2055/2056",2056,120,120,100,80.8301574519528,9332.06169991288,115
"2056/2057",2057,121,121,100,79.1648938323506,10606.6456747623,43
"2057/2058",2058,120,120,100,79.0389506835818,9428.5930985203,203
"2058/2059",2059,120,120,100,81.328276751844,11620.4333741255,24
"2059/2060",2060,120,120,100,83.1734256610398,6873.20965812728,232
"2060/2061",2061,121,121,100,79.4635535614107,11491.9579656059,84
"2061/2062",2062,120,120,100,75.3776885137904,11728.9098041058,49
"2062/2063",2063,120,120,100,87.1602846255128,6690.49174945988,194
"2063/2064",2064,120,120,100,89.0917016303165,6761.77895499766,107
"2064/2065",2065,121,121,100,79.7567390756822,9966.07815590408,173
"2065/2066",2066,120,120,100,79.4168763475382,10786.9278175421,76
"2066/2067",2067,120,120,100,86.2905638425564,9845.44004052412,23
"2067/2068",2068,120,120,100,86.5269848633297,6695.13121799286,143
"2068/2069",2069,121,121,100,70.9316634082288,13691.8837098535,37
"2069/2070",2070,120,120,100,79.5046483791148,9631.38374464773,170
"2070/2071",2071,120,120,100,81.949145518427,9419.09494080208,153
"2071/2072",2072,120,120,100,81.7466453470588,9020.29592163023,113
"2072/2073",2073,121,121,100,76.6037368224079,11499.8749214476,91
"2073/2074",2074,120,120,100,75.4839376201398,12729.5788802095,161
"2074/2075",2075,120,120,100,72.0352304311673,11736.8228929443,343
"2075/2076",2076,120,120,100,74.9157464980617,12319.6699384861,162
"2076/2077",2077,121,121,100,80.5912588949177,12386.1285467921,13
"2077/2078",2078,120,120,100,87.8822889427956,6358.86338591482,82
"2078/2079",2079,120,120,100,86.5761843171113,6872.51139020547,279
"2079/2080",2080,120,120,100,82.6347623009351,9768.33181112166,100
"2080/2081",2081,121,121,100,81.4642456936581,11726.1234688787,11
"2081/2082",2082,120,120,100,78.3771232521012,11090.4461471858,128
"2082/2083",2083,120,120,100,81.5532918565932,10225.3621298326,75
"2083/2084",2084,120,120,100,77.7145909007832,12880.5959881786,154
"2084/2085",2085,121,121,100,84.787482579366,6905.88184508029,192
"2085/2086",2086,120,120,100,85.2890263503359,9384.60419538431,121
"2086/2087",2087,120,120,100,82.7734164286521,8433.77516860235,189
"2087/2088",2088,120,120,100,85.9247249056898,8292.24676294904,82
"2088/2089",2089,121,121,100,76.03854832463,9936.15448848903,223
"2089/2090",2090,120,120,100,85.3975280283212,8541.51629370265,116
"2090/2091",2091,120,120,100,87.5592499948234,6081.94260693993,196
"2091/2092",2092,120,120,100,84.9314453359711,7971.20693076681,143
"2092/2093",2093,121,121,100,87.7454854426196,7093.5019925423,78
"2093/2094",2094,120,120,100,76.0409048856727,11462.7583346609,122
"2094/2095",2095,120,120,100,77.2202769005089,10176.0551767964,191
"2095/2096",2096,120,120,100,86.2228430645209,9107.30933104083,34
"2096/2097",2097,121,121,100,77.1098725700322,13342.3804579386,63
"2097/2098",2098,120,120,100,75.1066309624894,11592.4117722092,111
"2098/2099",2099,120,120,100,81.7816553342218,8956.85312198102,126
"2099/2100",2100,120,120,100,77.5468331880566,9610.27018634509,241
