"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,86.3776678719728,5470.52979821571,357
"2002/2003",2003,120,120,100,85.3474375103773,4575.47970279942,401
"2003/2004",2004,120,120,100,86.5005035860707,2650.23950193106,573
"2004/2005",2005,121,121,100,89.6438055323957,3586.20494360238,253
"2005/2006",2006,120,120,100,90.3391687352322,5254.14929916046,133
"2006/2007",2007,120,120,100,86.1088799349119,4342.99678268848,364
"2007/2008",2008,120,120,100,81.2197319979783,2890.41840669123,603
"2008/2009",2009,121,121,100,85.4922037964586,3469.18533595221,453
"2009/2010",2010,120,120,100,87.311291965307,3722.51969071105,370
"2010/2011",2011,120,120,100,90.5857923606754,3454.84543432295,166
"2011/2012",2012,120,120,100,86.8428226673095,3202.62857235619,285
"2012/2013",2013,121,121,100,88.7914061490217,3667.87432643981,476
"2013/2014",2014,120,120,100,85.2516951703419,2960.54908688541,465
"2014/2015",2015,120,120,100,73.530204374611,4367.8633252579,1004
"2015/2016",2016,120,120,100,88.9735963311186,4033.43556915782,300
"2016/2017",2017,121,121,100,83.6345937243618,5287.84362153593,476
"2017/2018",2018,120,120,100,78.2602610540775,4683.05240855576,590
"2018/2019",2019,120,120,100,77.4691615613701,2829.05945046572,686
"2019/2020",2020,120,120,100,86.0578764333823,4908.02139511588,373
"2020/2021",2021,121,121,100,87.666112855668,5511.44490775676,267
"2021/2022",2022,120,120,100,78.8620058065389,2868.23166042799,729
"2022/2023",2023,120,120,100,82.2743906070878,4338.53067476209,435
"2023/2024",2024,120,120,100,90.3555227070069,4580.18353719963,146
"2024/2025",2025,121,121,100,90.5484995247702,4191.0028754503,196
"2025/2026",2026,120,120,100,87.5100851918892,4409.87709108857,314
"2026/2027",2027,120,120,100,78.9401877886266,2195.69761590753,922
"2027/2028",2028,120,120,100,84.6534446770042,3896.92651468422,406
"2028/2029",2029,121,121,100,88.3978165027402,2824.87641476444,449
"2029/2030",2030,120,120,100,85.2824050755653,3363.57842942607,454
"2030/2031",2031,120,120,100,88.7268759746048,4863.02425374626,327
"2031/2032",2032,120,120,100,84.2141402227362,3653.67874483322,507
"2032/2033",2033,121,121,100,85.7761832267543,3639.80307712965,408
"2033/2034",2034,120,120,100,85.1033632131648,2721.53976570861,558
"2034/2035",2035,120,120,100,79.7081197294119,2837.70726386877,678
"2035/2036",2036,120,120,100,85.4161727652245,4073.88873004029,351
"2036/2037",2037,121,121,100,88.2549973886144,4225.09639622783,359
"2037/2038",2038,120,120,100,82.1851177245517,2073.86732952576,644
"2038/2039",2039,120,120,100,86.4594180055583,4868.07773160003,357
"2039/2040",2040,120,120,100,89.7398894923481,5763.42598934285,177
"2040/2041",2041,121,121,100,90.9626805223124,3983.7019619206,281
"2041/2042",2042,120,120,100,89.7688711807077,2607.46087503759,316
"2042/2043",2043,120,120,100,85.2355525122239,7476.89958941983,291
"2043/2044",2044,120,120,100,84.9329006504231,2039.38636066206,483
"2044/2045",2045,121,121,100,88.5216267513879,3417.17797828233,264
"2045/2046",2046,120,120,100,84.1927306808775,2922.10177322663,670
"2046/2047",2047,120,120,100,82.7530140806257,2948.36236565281,497
"2047/2048",2048,120,120,100,82.2781598888141,3233.75208950648,589
"2048/2049",2049,121,121,100,90.9047504867958,3055.07782647014,256
