"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.4217644369811,8066.07662639005,262
"2002/2003",2003,120,120,100,86.6805829609994,6651.03119746006,293
"2003/2004",2004,120,120,100,85.8264324284441,4684.11884262267,344
"2004/2005",2005,121,121,100,89.4907506892371,5808.82133736991,136
"2005/2006",2006,120,120,100,87.9639860274563,8066.2566095072,39
"2006/2007",2007,120,120,100,87.0513826747487,6385.86990608077,229
"2007/2008",2008,120,120,100,85.6687001616584,4376.47838921472,391
"2008/2009",2009,121,121,100,89.6927094337154,5593.66032900929,293
"2009/2010",2010,120,120,100,88.7195420575752,6013.32589904708,158
"2010/2011",2011,120,120,100,90.2264585763166,5703.568776689,102
"2011/2012",2012,120,120,100,87.9010690591963,5171.85399017087,133
"2012/2013",2013,121,121,100,90.2450692796281,5534.23052155832,249
"2013/2014",2014,120,120,100,85.3860069022751,4522.58628337597,225
"2014/2015",2015,120,120,100,77.2446785319296,5281.50159228034,578
"2015/2016",2016,120,120,100,88.6828098216934,6155.30621596368,155
"2016/2017",2017,121,121,100,83.5841434733493,7101.35644332925,272
"2017/2018",2018,120,120,100,79.2654092223188,6862.49197360873,428
"2018/2019",2019,120,120,100,83.0018412884169,3978.7650736284,450
"2019/2020",2020,120,120,100,85.3642000824693,7177.09654621757,216
"2020/2021",2021,121,121,100,85.8028901690873,8297.09362930991,165
"2021/2022",2022,120,120,100,83.1301040324897,3893.89665846666,453
"2022/2023",2023,120,120,100,85.4184516495652,5628.4940038824,211
"2023/2024",2024,120,120,100,91.3783666909612,6786.95192642696,13
"2024/2025",2025,121,121,100,88.7018639490884,6581.94742852286,64
"2025/2026",2026,120,120,100,82.6701572053189,7248.42741238279,216
"2026/2027",2027,120,120,100,80.4542190142129,3941.98890470644,716
"2027/2028",2028,120,120,100,87.2484396855675,5816.16496804124,238
"2028/2029",2029,121,121,100,89.8918796621292,4361.69981599133,235
"2029/2030",2030,120,120,100,86.8525085177162,4940.60374685889,207
"2030/2031",2031,120,120,100,84.8251902652237,7486.97242009826,190
"2031/2032",2032,120,120,100,84.0983509697189,5543.14493093872,353
"2032/2033",2033,121,121,100,88.140251609193,5468.39603141183,230
"2033/2034",2034,120,120,100,86.6994035164789,4414.52879092935,338
"2034/2035",2035,120,120,100,84.9453893355148,3957.14703916479,425
"2035/2036",2036,120,120,100,85.3675293309288,5810.07703491487,200
"2036/2037",2037,121,121,100,89.8927085667738,6280.81875117309,261
"2037/2038",2038,120,120,100,87.1658995838952,3074.50720701832,338
"2038/2039",2039,120,120,100,87.3468204862138,6953.14600853994,214
"2039/2040",2040,120,120,100,87.871035475483,8605.61262101447,50
"2040/2041",2041,121,121,100,89.909187077903,6261.53881407902,137
"2041/2042",2042,120,120,100,91.0638436571408,4542.60017872509,152
"2042/2043",2043,120,120,100,80.6965855201779,10331.863151974,213
"2043/2044",2044,120,120,100,88.8727455058561,3453.7741440488,275
"2044/2045",2045,121,121,100,91.0991007006187,5102.90818637935,127
"2045/2046",2046,120,120,100,87.6550691296688,3972.28895916091,403
"2046/2047",2047,120,120,100,86.2720631833236,4198.2871914329,280
"2047/2048",2048,120,120,100,86.685969726539,4824.17868251074,412
"2048/2049",2049,121,121,100,92.9023346875374,4998.24535253225,105
"2049/2050",2050,120,120,100,90.4457223926138,3154.34685673658,215
"2050/2051",2051,120,120,100,87.0722219309573,2814.18137305137,319
"2051/2052",2052,120,120,100,85.7841195648716,5935.89152433258,263
"2052/2053",2053,121,121,100,83.653356262992,7506.99470633315,278
"2053/2054",2054,120,120,100,85.524951793026,7853.20247364743,229
"2054/2055",2055,120,120,100,89.1637909118526,7053.00215376355,36
"2055/2056",2056,120,120,100,87.943583768797,5279.38268297259,206
"2056/2057",2057,121,121,100,83.6332910029432,6732.95425290847,114
"2057/2058",2058,120,120,100,85.2846351003491,5580.71140285255,367
"2058/2059",2059,120,120,100,88.9526494519014,7096.0403901916,110
"2059/2060",2060,120,120,100,84.3888641299436,3734.37656950532,371
"2060/2061",2061,121,121,100,90.8692920383146,6433.21745021502,114
"2061/2062",2062,120,120,100,81.8428129198346,6982.96905035386,141
"2062/2063",2063,120,120,100,83.894647899524,3980.89148893859,435
"2063/2064",2064,120,120,100,86.625834966324,4125.7380995322,373
"2064/2065",2065,121,121,100,85.7748880399686,5969.44354496524,367
"2065/2066",2066,120,120,100,86.2583053229591,6981.08994430583,255
"2066/2067",2067,120,120,100,92.117873559544,5572.13044851925,63
"2067/2068",2068,120,120,100,88.4402013144681,3538.89076455869,306
"2068/2069",2069,121,121,100,86.2732181848987,8404.23155294452,89
"2069/2070",2070,120,120,100,86.3040605588503,5549.55475653894,295
"2070/2071",2071,120,120,100,88.4527929963897,5283.02906998433,268
"2071/2072",2072,120,120,100,84.7001789960832,5698.9368465757,221
"2072/2073",2073,121,121,100,82.3471329530494,7384.1939449925,176
"2073/2074",2074,120,120,100,84.9604821814537,7797.11636979599,214
"2074/2075",2075,120,120,100,78.0383583212533,7574.13981587533,440
"2075/2076",2076,120,120,100,79.6155340372934,8112.43209018465,298
"2076/2077",2077,121,121,100,89.8962684583112,7503.78800567519,43
"2077/2078",2078,120,120,100,85.7395759968149,3775.60583199002,303
"2078/2079",2079,120,120,100,87.368469031213,3532.41983003076,436
"2079/2080",2080,120,120,100,89.2421638638516,5750.10105817392,180
"2080/2081",2081,121,121,100,89.0385400546202,7320.69518080354,87
"2081/2082",2082,120,120,100,90.3062701619656,6010.80757656973,183
"2082/2083",2083,120,120,100,90.3340387286444,5826.53526599985,116
"2083/2084",2084,120,120,100,86.8274898112468,7919.49934181012,210
"2084/2085",2085,121,121,100,83.5504270562069,4060.69684489816,354
"2085/2086",2086,120,120,100,90.312812026621,5204.75332431495,263
"2086/2087",2087,120,120,100,88.8694341189803,4428.07139694691,316
"2087/2088",2088,120,120,100,89.5070291814736,4495.7999969814,160
"2088/2089",2089,121,121,100,85.4277131393537,5735.65099073295,353
"2089/2090",2090,120,120,100,91.7146329133429,4575.37899676338,209
"2090/2091",2091,120,120,100,89.0694822753085,2892.92970051896,327
"2091/2092",2092,120,120,100,88.8479323177471,4140.48100036476,271
"2092/2093",2093,121,121,100,89.6247428107054,3852.89883055165,250
"2093/2094",2094,120,120,100,87.1707890598118,6713.4296856951,231
"2094/2095",2095,120,120,100,87.24549945746,5658.50469965488,322
"2095/2096",2096,120,120,100,91.526179261964,4948.65243863966,92
"2096/2097",2097,121,121,100,84.006665708097,8489.39661733806,100
"2097/2098",2098,120,120,100,81.3952310593759,7473.8849636456,287
"2098/2099",2099,120,120,100,88.0217339514274,4789.71760104969,285
"2099/2100",2100,120,120,100,84.9989587795699,5668.65338701382,324
