"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.9047308247273,7826.84535230789,244
"2002/2003",2003,120,120,100,84.4606970468618,6771.97977851934,295
"2003/2004",2004,120,120,100,86.9730689849798,4357.40717836161,373
"2004/2005",2005,121,121,100,91.7178978772198,5359.23354743607,137
"2005/2006",2006,120,120,100,89.4252596909823,7543.75876808539,38
"2006/2007",2007,120,120,100,87.0257266760543,6298.78692326986,252
"2007/2008",2008,120,120,100,84.7817660839469,4298.40493338031,394
"2008/2009",2009,121,121,100,90.7011905183438,5228.44222316309,286
"2009/2010",2010,120,120,100,87.5870921421272,5814.71998248529,201
"2010/2011",2011,120,120,100,90.4306205820171,5358.33149839274,89
"2011/2012",2012,120,120,100,88.9613683408193,4882.5935414508,137
"2012/2013",2013,121,121,100,87.2247413913785,5668.15728291334,308
"2013/2014",2014,120,120,100,86.4897383954258,4290.89424331125,221
"2014/2015",2015,120,120,100,73.9772508989602,5677.14404610323,672
"2015/2016",2016,120,120,100,88.4827627912005,6082.99505154288,187
"2016/2017",2017,121,121,100,82.7577262089358,7188.94884718722,308
"2017/2018",2018,120,120,100,79.9453197326047,6691.61968057766,458
"2018/2019",2019,120,120,100,81.9276257107995,4158.88181583933,477
"2019/2020",2020,120,120,100,85.8117394989408,6928.9891508827,199
"2020/2021",2021,121,121,100,87.6372868107173,7866.20132176811,167
"2021/2022",2022,120,120,100,82.6508516313811,4101.14158413024,481
"2022/2023",2023,120,120,100,85.4927405511712,5869.77700788947,202
"2023/2024",2024,120,120,100,89.8468183977948,6776.83311168454,31
"2024/2025",2025,121,121,100,91.7233889837989,6220.25600193185,49
"2025/2026",2026,120,120,100,84.8574072683668,6510.43794599548,168
"2026/2027",2027,120,120,100,82.0137390282207,3398.80673274747,659
"2027/2028",2028,120,120,100,87.6178468598896,5527.13917681039,232
"2028/2029",2029,121,121,100,88.2851621323125,4385.41670615482,272
"2029/2030",2030,120,120,100,85.8894730822853,4995.38413529377,261
"2030/2031",2031,120,120,100,85.8244093114827,7134.70307041565,186
"2031/2032",2032,120,120,100,84.2051967973894,5479.10278743412,370
"2032/2033",2033,121,121,100,89.2774709714649,5302.77346733352,253
"2033/2034",2034,120,120,100,85.9950303470423,4214.14558255253,319
"2034/2035",2035,120,120,100,83.673346764881,4119.21227126755,443
"2035/2036",2036,120,120,100,84.7525140845246,5736.47657427145,202
"2036/2037",2037,121,121,100,89.3685029930575,6144.73908575764,261
"2037/2038",2038,120,120,100,86.089202619708,3009.00015729573,358
"2038/2039",2039,120,120,100,85.549426866397,6937.26879117591,231
"2039/2040",2040,120,120,100,87.7390458149102,8422.93807457061,66
"2040/2041",2041,121,121,100,89.6536821027294,6065.55193378497,157
"2041/2042",2042,120,120,100,91.1338686269692,4372.37753403792,166
"2042/2043",2043,120,120,100,78.594663415317,10422.0477869278,249
"2043/2044",2044,120,120,100,88.7038910085912,3377.87804759201,271
"2044/2045",2045,121,121,100,90.2971524209133,5210.53465139307,164
"2045/2046",2046,120,120,100,87.2079201737552,4317.90714619774,455
"2046/2047",2047,120,120,100,85.7581961016194,4225.26830402715,301
"2047/2048",2048,120,120,100,85.4175211394841,5006.39432411641,446
"2048/2049",2049,121,121,100,92.7667437712962,4772.43878316926,114
"2049/2050",2050,120,120,100,87.7495412834751,3307.60693787225,266
"2050/2051",2051,120,120,100,85.8142736515547,2606.56648896355,328
"2051/2052",2052,120,120,100,86.2110233093463,5613.58876772784,217
"2052/2053",2053,121,121,100,84.3863893996204,7357.86700736219,286
"2053/2054",2054,120,120,100,87.2482829681758,7476.73337100167,208
"2054/2055",2055,120,120,100,87.9769254892381,7005.97826030571,38
"2055/2056",2056,120,120,100,86.7462217192369,5358.34267760813,236
"2056/2057",2057,121,121,100,84.98456816406,6516.77648123074,110
"2057/2058",2058,120,120,100,84.7214527241977,5418.09694481641,391
"2058/2059",2059,120,120,100,88.810021874514,6756.72251685709,113
"2059/2060",2060,120,120,100,83.7560601410687,3943.19697114732,419
"2060/2061",2061,121,121,100,90.0785135556453,6538.73411095422,148
"2061/2062",2062,120,120,100,76.994004533728,7298.08996662218,207
"2062/2063",2063,120,120,100,85.3841900666102,3851.43075970933,425
"2063/2064",2064,120,120,100,86.4624957486139,3867.72628734168,369
"2064/2065",2065,121,121,100,85.017057027846,5945.44815615751,384
"2065/2066",2066,120,120,100,89.7689458861078,6301.63104275707,210
"2066/2067",2067,120,120,100,91.6394528345882,5539.544694582,89
"2067/2068",2068,120,120,100,88.7500490140301,3273.13043219596,302
"2068/2069",2069,121,121,100,89.0254021264209,8023.39228033368,97
"2069/2070",2070,120,120,100,84.2155060037912,5590.95450820401,283
"2070/2071",2071,120,120,100,87.1227368873697,5134.91022208612,300
"2071/2072",2072,120,120,100,85.5874211121827,5448.85703955591,266
"2072/2073",2073,121,121,100,82.2709676059585,7314.38920739293,182
"2073/2074",2074,120,120,100,87.0482953848168,7361.17034297623,219
"2074/2075",2075,120,120,100,76.2909818996905,7668.30772913061,483
"2075/2076",2076,120,120,100,81.4132892984599,7778.03113036975,312
"2076/2077",2077,121,121,100,90.5430403198789,7233.48672662582,34
"2077/2078",2078,120,120,100,85.7949529618672,3584.64159800112,329
"2078/2079",2079,120,120,100,88.6893983657264,3315.40065650735,451
"2079/2080",2080,120,120,100,88.4724160784554,5432.51986485068,186
"2080/2081",2081,121,121,100,88.8950340837055,7056.40249341354,76
"2081/2082",2082,120,120,100,87.8895673149145,6363.62010572478,234
"2082/2083",2083,120,120,100,88.5684036057319,5931.4054120006,146
"2083/2084",2084,120,120,100,85.7934108797162,7886.09899510071,227
"2084/2085",2085,121,121,100,83.2460581873565,3700.13306709845,389
"2085/2086",2086,120,120,100,87.3720351953198,5111.31079330575,259
"2086/2087",2087,120,120,100,87.0772235652657,4806.90520721395,356
"2087/2088",2088,120,120,100,89.4798757383105,4465.36723663192,177
"2088/2089",2089,121,121,100,85.5101879166741,5862.62944188248,367
"2089/2090",2090,120,120,100,90.5278772466118,4663.97592316289,255
"2090/2091",2091,120,120,100,87.9543078500737,2941.70190736186,364
"2091/2092",2092,120,120,100,87.3225903008424,4447.03030010127,312
"2092/2093",2093,121,121,100,89.2903088472067,3895.67872194201,319
"2093/2094",2094,120,120,100,86.5584718037353,6660.27209556475,211
"2094/2095",2095,120,120,100,84.9447667190998,5826.74660691712,324
"2095/2096",2096,120,120,100,89.7868672527129,5037.00105135515,107
"2096/2097",2097,121,121,100,83.9587516899774,8659.25046557747,123
"2097/2098",2098,120,120,100,78.1592699189368,7526.06119955704,324
"2098/2099",2099,120,120,100,87.4254905320468,5022.36368766055,324
