"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.7823510858967,7985.83420476732,225
"2002/2003",2003,120,120,100,85.7755457464891,6775.7501796713,292
"2003/2004",2004,120,120,100,88.2201680572517,4375.6120685568,335
"2004/2005",2005,121,121,100,91.4582434914881,5560.3776020683,139
"2005/2006",2006,120,120,100,88.9851483256373,7822.35091881477,39
"2006/2007",2007,120,120,100,86.8089894596458,6426.32276482269,244
"2007/2008",2008,120,120,100,85.6058213472055,4356.48015603458,367
"2008/2009",2009,121,121,100,89.5734116595968,5384.85538142722,283
"2009/2010",2010,120,120,100,88.9079456350205,5864.62940375914,188
"2010/2011",2011,120,120,100,91.3211935590568,5524.41434640449,84
"2011/2012",2012,120,120,100,89.035361461873,5007.48050916498,136
"2012/2013",2013,121,121,100,88.2106195268095,5621.25534766866,263
"2013/2014",2014,120,120,100,86.4182060943747,4479.39915343735,224
"2014/2015",2015,120,120,100,75.1909129587757,5690.33449963981,624
"2015/2016",2016,120,120,100,88.7578468263346,6136.72027146933,161
"2016/2017",2017,121,121,100,81.9598823098199,7298.40037860046,282
"2017/2018",2018,120,120,100,80.614121404582,6763.97887670179,427
"2018/2019",2019,120,120,100,82.7065376822916,4145.18435663544,458
"2019/2020",2020,120,120,100,85.4578763582385,7108.09342148574,194
"2020/2021",2021,121,121,100,87.8587861559909,8080.43660929753,157
"2021/2022",2022,120,120,100,83.0604384895973,4087.24656444369,451
"2022/2023",2023,120,120,100,85.3227229614786,5951.24840730219,201
"2023/2024",2024,120,120,100,90.0396661406076,6873.161833124,30
"2024/2025",2025,121,121,100,90.1876036482922,6424.13413327606,52
"2025/2026",2026,120,120,100,86.210175608277,6732.2851565138,164
"2026/2027",2027,120,120,100,81.9414472823109,3557.70911105396,645
"2027/2028",2028,120,120,100,86.615107407682,5749.17213464598,234
"2028/2029",2029,121,121,100,90.2927660245455,4396.34771635104,256
"2029/2030",2030,120,120,100,88.2415301355068,5050.51968889311,235
"2030/2031",2031,120,120,100,86.9010168624823,7239.15827086009,174
"2031/2032",2032,120,120,100,84.3220045628377,5462.44163178978,348
"2032/2033",2033,121,121,100,88.0363817480747,5481.6583144716,247
"2033/2034",2034,120,120,100,88.8964307739907,4280.37394339032,314
"2034/2035",2035,120,120,100,83.3395225793838,4129.61143132532,432
"2035/2036",2036,120,120,100,86.7222219228806,5841.5567932101,195
"2036/2037",2037,121,121,100,88.8591802615265,6299.32275140192,255
"2037/2038",2038,120,120,100,86.7300027623569,3117.26091679092,355
"2038/2039",2039,120,120,100,85.2376836761887,7089.04805472493,237
"2039/2040",2040,120,120,100,89.2966558236831,8538.25337576307,50
