"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.6718586002681,6191.65444429441,358
"2002/2003",2003,120,120,100,87.3574720958374,4757.32959073581,348
"2003/2004",2004,120,120,100,84.8964555132708,3184.51828171653,434
"2004/2005",2005,121,121,100,87.6292955850088,4547.93335828124,239
"2005/2006",2006,120,120,100,86.2764286800538,6474.85699167446,121
"2006/2007",2007,120,120,100,86.3600551882514,4946.11770057882,324
"2007/2008",2008,120,120,100,82.6744627916098,3123.94265080401,497
"2008/2009",2009,121,121,100,86.7681755471874,4248.24153948098,444
"2009/2010",2010,120,120,100,87.7889420218576,4366.40256631572,261
"2010/2011",2011,120,120,100,89.7550940233953,4306.05810845946,155
"2011/2012",2012,120,120,100,87.5668751625476,3810.2370021292,251
"2012/2013",2013,121,121,100,89.7687531552642,3697.7919691198,320
"2013/2014",2014,120,120,100,83.1994523193771,3708.32371826121,440
"2014/2015",2015,120,120,100,75.9727619695627,4135.60365305771,763
"2015/2016",2016,120,120,100,89.3814769082223,4366.22552224423,219
"2016/2017",2017,121,121,100,83.4369467136353,5545.03776237345,387
"2017/2018",2018,120,120,100,78.0870766558073,5181.72301847255,525
"2018/2019",2019,120,120,100,81.0195202160389,2780.07769226772,597
"2019/2020",2020,120,120,100,85.7925140240141,5546.92116230563,341
"2020/2021",2021,121,121,100,85.0796989645937,6494.46767374151,277
"2021/2022",2022,120,120,100,82.1455795616239,2779.44966299785,638
"2022/2023",2023,120,120,100,84.8561260439151,4376.89707348123,350
"2023/2024",2024,120,120,100,91.9269348365633,4994.1267173721,82
"2024/2025",2025,121,121,100,89.491723013643,5071.98263338488,185
"2025/2026",2026,120,120,100,83.9006621773383,5643.96481994004,361
"2026/2027",2027,120,120,100,78.6406300839553,3104.40403025085,953
"2027/2028",2028,120,120,100,84.8329091970299,4684.54383111,416
"2028/2029",2029,121,121,100,89.0903096623192,2979.19611651963,329
"2029/2030",2030,120,120,100,87.8492472676658,3537.40991123626,327
"2030/2031",2031,120,120,100,88.4312091857773,5609.67759187077,288
"2031/2032",2032,120,120,100,84.5915410897878,3891.61096510314,445
"2032/2033",2033,121,121,100,86.8557639559294,4248.64029261703,328
"2033/2034",2034,120,120,100,86.0948315140959,3251.55426257383,490
"2034/2035",2035,120,120,100,82.3275417105078,2814.94333430938,591
"2035/2036",2036,120,120,100,86.4615444375468,4460.48374346504,312
"2036/2037",2037,121,121,100,87.9933077665128,4829.39552463125,363
"2037/2038",2038,120,120,100,83.6573852725332,2383.60756109608,518
"2038/2039",2039,120,120,100,87.2990904725766,5353.70076735457,324
"2039/2040",2040,120,120,100,88.8752410723118,6468.72389711067,98
"2040/2041",2041,121,121,100,90.7121749403732,4471.40178455226,225
"2041/2042",2042,120,120,100,90.6115940654117,3122.20687305368,219
"2042/2043",2043,120,120,100,84.7889601777515,7850.58339311788,238
"2043/2044",2044,120,120,100,87.8952930277073,2322.89090775885,391
"2044/2045",2045,121,121,100,91.1256308263328,3689.69569229055,203
"2045/2046",2046,120,120,100,83.9013819193269,2827.96728212945,553
"2046/2047",2047,120,120,100,84.5757486575521,3114.08832429536,440
"2047/2048",2048,120,120,100,85.2628419506264,3250.48477447825,493
"2048/2049",2049,121,121,100,90.9575460493197,3638.48627397418,231
"2049/2050",2050,120,120,100,88.5489300140489,2095.97954182513,337
"2050/2051",2051,120,120,100,83.9887941675479,1968.45976098021,501
"2051/2052",2052,120,120,100,84.0350196170803,4701.00568686845,428
"2052/2053",2053,121,121,100,84.2606419487774,5624.88967629801,375
"2053/2054",2054,120,120,100,86.4990670970519,5973.57710478082,300
"2054/2055",2055,120,120,100,90.0698313116873,5272.87367280945,137
"2055/2056",2056,120,120,100,88.6755409082043,3820.16958450107,321
"2056/2057",2057,121,121,100,83.4517224497813,5460.09418974165,239
"2057/2058",2058,120,120,100,82.2776170566149,4298.12672392698,470
"2058/2059",2059,120,120,100,88.7209765180432,5349.0906293788,187
"2059/2060",2060,120,120,100,84.0464367342211,2476.90506688179,544
"2060/2061",2061,121,121,100,89.9075611225016,5028.43610208249,239
"2061/2062",2062,120,120,100,79.9436468436343,5772.62806270085,378
"2062/2063",2063,120,120,100,83.6098891342881,2809.34481193358,547
"2063/2064",2064,120,120,100,86.5928726499169,2567.6945627043,492
"2064/2065",2065,121,121,100,83.9965529426154,4424.21928464994,459
"2065/2066",2066,120,120,100,86.1392241298527,5491.26631986443,382
"2066/2067",2067,120,120,100,90.0255901284563,3945.35525704827,131
"2067/2068",2068,120,120,100,84.7659093301609,2825.79352325667,549
"2068/2069",2069,121,121,100,83.930153012383,7120.23022073973,247
"2069/2070",2070,120,120,100,85.5296011691353,4320.44136339333,494
"2070/2071",2071,120,120,100,84.4249190053797,4088.8520879345,383
"2071/2072",2072,120,120,100,85.4915019413838,4023.49179608747,353
"2072/2073",2073,121,121,100,85.77658457902,5566.11589660309,267
"2073/2074",2074,120,120,100,84.0300106508275,6417.1270896513,279
"2074/2075",2075,120,120,100,76.8167362995282,6263.82598565985,530
"2075/2076",2076,120,120,100,80.6044110899929,6174.01656411868,426
"2076/2077",2077,121,121,100,90.5846809391733,5712.81650681607,122
"2077/2078",2078,120,120,100,84.7904245726295,2504.48455947079,484
"2078/2079",2079,120,120,100,83.5453394529486,2756.80954758357,613
"2079/2080",2080,120,120,100,88.035866645012,4358.86378695909,284
