"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,86.0763832293461,6533.64815021758,308
"2002/2003",2003,120,120,100,84.3556258938301,5574.5553242584,367
"2003/2004",2004,120,120,100,87.029260865757,3368.61890192932,474
"2004/2005",2005,121,121,100,90.9628985492603,4385.52228532149,182
"2005/2006",2006,120,120,100,89.5243879320568,6176.1861631404,71
"2006/2007",2007,120,120,100,86.5910789688442,5135.66599647177,296
"2007/2008",2008,120,120,100,82.6947359785736,3555.80487634643,522
"2008/2009",2009,121,121,100,89.187562497184,4229.00896573637,384
"2009/2010",2010,120,120,100,89.4653318033049,4549.40508374083,276
"2010/2011",2011,120,120,100,91.8452030383626,4131.19818123488,113
"2011/2012",2012,120,120,100,89.3834184023808,3928.00756351801,215
"2012/2013",2013,121,121,100,88.7630193586201,4500.13462478155,384
"2013/2014",2014,120,120,100,85.9378537603864,3528.26729480433,338
"2014/2015",2015,120,120,100,71.7937240895585,5074.64801406523,839
"2015/2016",2016,120,120,100,87.9816771345231,4963.44845184358,245
"2016/2017",2017,121,121,100,83.5312404878914,6055.55539112294,374
"2017/2018",2018,120,120,100,78.4844573276055,5662.00948771928,542
"2018/2019",2019,120,120,100,79.7585598233431,3491.04970637755,587
"2019/2020",2020,120,120,100,85.9457518154436,5764.87947382499,268
"2020/2021",2021,121,121,100,87.7577687419889,6483.36482154741,215
"2021/2022",2022,120,120,100,81.5075710468222,3348.00235888269,589
"2022/2023",2023,120,120,100,83.5996629609604,5061.03069508448,319
"2023/2024",2024,120,120,100,90.8781100521132,5531.49972672993,75
"2024/2025",2025,121,121,100,91.5500422189675,5114.22589608189,123
"2025/2026",2026,120,120,100,86.2992377079822,5349.8757225778,235
"2026/2027",2027,120,120,100,81.5588693375039,2766.98001460079,808
"2027/2028",2028,120,120,100,86.1627475045361,4630.09210264799,310
"2028/2029",2029,121,121,100,88.7381547477062,3411.01631707,351
"2029/2030",2030,120,120,100,85.3510831476324,4072.17894634721,346
"2030/2031",2031,120,120,100,87.7945258297223,5878.76639409363,264
"2031/2032",2032,120,120,100,83.8045166914999,4448.36606462789,449
"2032/2033",2033,121,121,100,88.6362982522996,4311.58391881944,324
"2033/2034",2034,120,120,100,87.0882603409391,3377.96907629026,441
"2034/2035",2035,120,120,100,81.8199362965051,3453.88269504672,586
"2035/2036",2036,120,120,100,85.6619487171347,4859.08443180751,277
"2036/2037",2037,121,121,100,88.3861607330418,5125.02056756755,315
"2037/2038",2038,120,120,100,84.4004459022799,2451.3542697248,468
"2038/2039",2039,120,120,100,86.1332809575733,5741.59303781996,306
"2039/2040",2040,120,120,100,90.090637643988,6981.80696581071,120
"2040/2041",2041,121,121,100,89.2942991760119,4984.37441397039,216
"2041/2042",2042,120,120,100,90.9662326849602,3389.60606506979,238
"2042/2043",2043,120,120,100,81.6767830581412,8798.41544346558,262
"2043/2044",2044,120,120,100,87.0559441581872,2545.42457335629,339
"2044/2045",2045,121,121,100,90.1941916378519,4176.89565716684,208
"2045/2046",2046,120,120,100,84.6431756249631,3574.94909149082,599
"2046/2047",2047,120,120,100,85.0283939505089,3529.44505021302,406
"2047/2048",2048,120,120,100,84.6633391776595,3953.38666805718,504
"2048/2049",2049,121,121,100,92.0454205298647,3794.08523000358,169
"2049/2050",2050,120,120,100,87.1981654138826,2562.7426438448,340
"2050/2051",2051,120,120,100,84.688571950508,2056.71726430207,455
"2051/2052",2052,120,120,100,82.7105628046538,4838.76734912628,344
"2052/2053",2053,121,121,100,83.6695552959827,6225.5294495686,343
"2053/2054",2054,120,120,100,89.1402343563568,6120.90750163095,254
"2054/2055",2055,120,120,100,87.6953987297729,5751.06524682371,105
"2055/2056",2056,120,120,100,85.0877597317703,4461.32139052218,361
"2056/2057",2057,121,121,100,81.5007524003067,5699.05042758351,160
"2057/2058",2058,120,120,100,84.4709875250373,4465.56386172492,477
"2058/2059",2059,120,120,100,88.9451906748818,5474.85613905964,148
"2059/2060",2060,120,120,100,83.3607992540965,3213.17978785699,545
"2060/2061",2061,121,121,100,89.4284529052275,5455.30455662915,211
"2061/2062",2062,120,120,100,76.4793635847091,6414.24191400455,338
"2062/2063",2063,120,120,100,84.1113707114,2966.39988293964,486
"2063/2064",2064,120,120,100,86.0576946401306,2896.56696015829,440
"2064/2065",2065,121,121,100,85.6968026418344,4681.8820405947,443
"2065/2066",2066,120,120,100,87.9443827231789,5114.29566080589,260
"2066/2067",2067,120,120,100,90.3413959328373,4483.92024090979,143
"2067/2068",2068,120,120,100,85.5057273499733,2614.18885142915,455
"2068/2069",2069,121,121,100,88.9337701841887,6747.37535711192,191
"2069/2070",2070,120,120,100,83.913553151453,4725.62887887564,394
"2070/2071",2071,120,120,100,85.489402838688,4184.76493625902,366
"2071/2072",2072,120,120,100,85.2130351572505,4435.225097619,364
"2072/2073",2073,121,121,100,86.0223361471144,6063.85415817983,244
"2073/2074",2074,120,120,100,86.7362017415126,6171.36660049204,247
"2074/2075",2075,120,120,100,75.2576264811178,6818.55570016149,531
"2075/2076",2076,120,120,100,80.6654579399037,6523.15303400252,406
"2076/2077",2077,121,121,100,90.4792404152577,5829.65072016977,81
"2077/2078",2078,120,120,100,84.7943810094202,2790.5192884272,445
"2078/2079",2079,120,120,100,85.8291924977002,2523.01704690047,546
"2079/2080",2080,120,120,100,88.8498461121126,4348.87016388774,247
"2080/2081",2081,121,121,100,91.8303763615713,5657.12443203293,102
"2081/2082",2082,120,120,100,87.2592181632444,5224.40859963931,321
"2082/2083",2083,120,120,100,86.8149652557586,4904.2682160018,215
"2083/2084",2084,120,120,100,86.9215717753577,6562.54117259011,288
"2084/2085",2085,121,121,100,82.733064877606,2969.67145574,513
"2085/2086",2086,120,120,100,86.3452471320325,4131.49665316567,343
"2086/2087",2087,120,120,100,86.5817791552399,3879.21439266391,432
"2087/2088",2088,120,120,100,88.5177705095939,3606.16800708137,307
"2088/2089",2089,121,121,100,84.9734541843955,4864.61894325726,442
"2089/2090",2090,120,120,100,90.6147905143971,3666.1084016487,315
"2090/2091",2091,120,120,100,85.0456182885191,2249.73955261987,461
"2091/2092",2092,120,120,100,86.2433273506831,3574.75596436765,409
"2092/2093",2093,121,121,100,87.0599552291715,3023.59548993874,447
"2093/2094",2094,120,120,100,85.8690976002199,5679.55911337584,310
"2094/2095",2095,120,120,100,85.2685769644886,4886.51132268365,438
"2095/2096",2096,120,120,100,92.5170885760963,3904.48224815074,172
"2096/2097",2097,121,121,100,83.5418278084162,7377.97861041036,162
"2097/2098",2098,120,120,100,78.7902361234828,6575.57938629482,414
"2098/2099",2099,120,120,100,85.4489863145882,4145.55011302605,402
"2099/2100",2100,120,120,100,83.2680751935441,4704.37437439803,441
