"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,65.8651580121775,14420.8321582683,70
"2002/2003",2003,120,120,100,73.3162150976615,13031.5737230865,131
"2003/2004",2004,120,120,100,81.8993507595829,8803.84915835832,83
"2004/2005",2005,121,121,100,82.8196649701415,11308.7465404744,6
"2005/2006",2006,120,120,100,71.4331698058248,14651.2642205954,0
"2006/2007",2007,120,120,100,76.7735027757467,12559.2845932249,133
"2007/2008",2008,120,120,100,82.9485353603785,9000.51645610831,128
"2008/2009",2009,121,121,100,83.0662144506824,10952.5350908845,88
"2009/2010",2010,120,120,100,78.7616461643905,11648.711446865,59
"2010/2011",2011,120,120,100,81.9680292806224,11347.9515456053,30
"2011/2012",2012,120,120,100,84.4315889479926,10376.0402148317,0
"2012/2013",2013,121,121,100,80.9445816815196,10895.7049203241,56
"2013/2014",2014,120,120,100,81.0651115154785,9346.42347185803,106
"2014/2015",2015,120,120,100,69.8891905116293,9894.30445736973,159
"2015/2016",2016,120,120,100,79.1923415702645,12028.2872151146,20
"2016/2017",2017,121,121,100,70.9693644483802,13128.2628628691,96
"2017/2018",2018,120,120,100,71.8873476660538,12133.5135174913,111
"2018/2019",2019,120,120,100,79.4394486503118,8372.51307055796,195
"2019/2020",2020,120,120,100,70.3089980544833,13137.3709303732,7
"2020/2021",2021,121,121,100,70.2200000956786,14801.3406919418,5
"2021/2022",2022,120,120,100,76.9517047529712,8151.95472615678,216
"2022/2023",2023,120,120,100,76.1701685405133,11197.6290870896,67
"2023/2024",2024,120,120,100,77.4633580904233,13448.5540457424,0
"2024/2025",2025,121,121,100,77.3495668231858,12738.1759968109,7
"2025/2026",2026,120,120,100,75.1828517090426,12483.4398132439,24
"2026/2027",2027,120,120,100,80.9369669784573,7151.57627677685,179
"2027/2028",2028,120,120,100,76.8321089712449,11311.2882335675,20
"2028/2029",2029,121,121,100,86.1085334977156,9202.41191266291,87
"2029/2030",2030,120,120,100,80.1878555951325,10059.8554327036,84
"2030/2031",2031,120,120,100,73.5025350421979,13319.0619645007,55
"2031/2032",2032,120,120,100,78.477618247789,10411.1750190509,102
"2032/2033",2033,121,121,100,82.5859425723388,11128.4632355599,42
"2033/2034",2034,120,120,100,82.5948593402381,8826.95180724282,79
"2034/2035",2035,120,120,100,79.1866110503684,8434.89217939647,157
"2035/2036",2036,120,120,100,76.0672986819782,11164.1207552422,12
"2036/2037",2037,121,121,100,75.6066043563455,12365.4274499081,129
"2037/2038",2038,120,120,100,87.3674996615755,6934.44633298414,140
"2038/2039",2039,120,120,100,76.4716502172118,13540.3673250531,113
"2039/2040",2040,120,120,100,65.6108275062934,15812.0905795558,0
"2040/2041",2041,121,121,100,78.808352020822,12053.524619272,38
"2041/2042",2042,120,120,100,85.3269136760664,9534.50777103566,12
"2042/2043",2043,120,120,100,57.6083324697111,17988.1158278827,144
"2043/2044",2044,120,120,100,90.3803122148356,7470.90292639239,58
"2044/2045",2045,121,121,100,83.4167495958518,11252.5716684433,5
"2045/2046",2046,120,120,100,81.6401898664353,8954.63543842128,96
"2046/2047",2047,120,120,100,82.9138186738774,8792.33025628468,71
"2047/2048",2048,120,120,100,77.4176907902247,10253.3893152783,262
"2048/2049",2049,121,121,100,87.3645397462087,10339.5428207293,0
"2049/2050",2050,120,120,100,87.2451278800236,7600.61891603284,1
"2050/2051",2051,120,120,100,89.1619052825072,6052.71022886597,80
"2051/2052",2052,120,120,100,79.0180751327061,10943.676316008,17
"2052/2053",2053,121,121,100,69.9726633376722,13580.3383762883,134
"2053/2054",2054,120,120,100,68.0272944256576,14225.6240244536,107
"2054/2055",2055,120,120,100,75.7269610503436,13499.3134299396,0
"2055/2056",2056,120,120,100,76.4531476179827,10736.0464567915,77
"2056/2057",2057,121,121,100,79.4263086401124,11868.884452329,17
"2057/2058",2058,120,120,100,77.3323866700284,10777.4057201436,115
"2058/2059",2059,120,120,100,75.0422172559965,13389.3621211676,0
"2059/2060",2060,120,120,100,80.5246225423689,7906.43434409797,164
"2060/2061",2061,121,121,100,75.1099285624041,13018.6081950609,53
"2061/2062",2062,120,120,100,70.5873785567264,13133.894333032,0
"2062/2063",2063,120,120,100,87.3290537670482,7788.75773775298,80
"2063/2064",2064,120,120,100,85.8958556518,7957.29678895511,53
"2064/2065",2065,121,121,100,74.70771326464,11538.6163326344,109
"2065/2066",2066,120,120,100,76.3506206898692,12422.8912584679,66
"2066/2067",2067,120,120,100,82.9228103872083,11432.8245617682,9
"2067/2068",2068,120,120,100,85.6273028440783,7511.52785218414,62
"2068/2069",2069,121,121,100,71.1098818456248,15283.874838368,21
"2069/2070",2070,120,120,100,77.319082439165,10797.8130619964,97
"2070/2071",2071,120,120,100,77.5198797108687,10809.0383799681,104
"2071/2072",2072,120,120,100,77.235390117211,10454.3275095373,71
"2072/2073",2073,121,121,100,74.2877348263,13110.1038673799,55
"2073/2074",2074,120,120,100,70.4134428201023,14501.2514095986,142
"2074/2075",2075,120,120,100,71.3005405089452,12964.6126845321,281
"2075/2076",2076,120,120,100,64.0396823430465,14042.9629434878,88
"2076/2077",2077,121,121,100,74.6441215835121,14270.7723376807,0
"2077/2078",2078,120,120,100,87.9343098140198,7375.41048210952,39
"2078/2079",2079,120,120,100,83.7702761037981,7954.02122757956,148
"2079/2080",2080,120,120,100,81.0442737780286,11216.7327183913,66
"2080/2081",2081,121,121,100,73.7008321637168,13609.3082433594,1
"2081/2082",2082,120,120,100,75.0285680136312,12677.7464422118,48
"2082/2083",2083,120,120,100,78.4542239800703,11704.5281903185,55
"2083/2084",2084,120,120,100,67.6411943264993,14743.4574435856,100
"2084/2085",2085,121,121,100,83.3386375465561,7959.80914699379,134
"2085/2086",2086,120,120,100,79.4310025695122,10789.3289281139,17
"2086/2087",2087,120,120,100,78.5536989835073,9797.4234239636,99
