"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,85.4527176564382,4993.30447061764,424
"2002/2003",2003,120,120,100,84.6840950397635,4074.77564942643,411
"2003/2004",2004,120,120,100,85.1307771927986,2235.77423401744,616
"2004/2005",2005,121,121,100,88.2459715527433,3346.93045080313,316
"2005/2006",2006,120,120,100,89.2519893534654,4936.32653892878,203
"2006/2007",2007,120,120,100,87.2653837256796,3995.7915848121,404
"2007/2008",2008,120,120,100,79.9905246938896,2605.09569267282,655
"2008/2009",2009,121,121,100,85.2668488768925,3182.16676006379,507
"2009/2010",2010,120,120,100,85.7389924013999,3316.52825607266,396
"2010/2011",2011,120,120,100,89.0774009055779,3178.14393887273,245
"2011/2012",2012,120,120,100,87.5473051909526,2855.61240503297,349
"2012/2013",2013,121,121,100,87.7539750635597,3184.04153826996,512
"2013/2014",2014,120,120,100,82.7729825954423,2813.70070139098,572
"2014/2015",2015,120,120,100,71.2912280554997,4056.86188696197,1067
"2015/2016",2016,120,120,100,87.269902561764,3578.5039642154,336
"2016/2017",2017,121,121,100,82.7068217186284,4864.81372121244,518
"2017/2018",2018,120,120,100,77.4245663847751,4281.47699981928,610
"2018/2019",2019,120,120,100,76.5070323343848,2561.39774166886,733
"2019/2020",2020,120,120,100,83.5982612040693,4481.74896725663,420
"2020/2021",2021,121,121,100,87.0251721757131,5065.42166276113,313
"2021/2022",2022,120,120,100,79.029930092403,2585.50361228245,815
"2022/2023",2023,120,120,100,80.9816454074662,4022.05215536291,511
"2023/2024",2024,120,120,100,90.7274792904418,4116.93704413273,187
"2024/2025",2025,121,121,100,90.2519805250467,3815.88305848162,261
"2025/2026",2026,120,120,100,85.9149867787933,4033.0119992632,370
"2026/2027",2027,120,120,100,77.5836115157695,2030.57750254031,1008
"2027/2028",2028,120,120,100,84.3309816609958,3629.84215965122,512
"2028/2029",2029,121,121,100,87.0554153532335,2499.46011138195,509
"2029/2030",2030,120,120,100,83.9439416750129,3035.21474485309,511
"2030/2031",2031,120,120,100,88.6348289946063,4327.85624631122,374
"2031/2032",2032,120,120,100,82.9430518811187,3150.39054717706,536
"2032/2033",2033,121,121,100,85.3948597300487,3375.77830671216,471
"2033/2034",2034,120,120,100,83.4547707822112,2457.10253678425,634
"2034/2035",2035,120,120,100,78.8181121570124,2553.25809240341,728
"2035/2036",2036,120,120,100,85.0968837722612,3724.68256955221,423
"2036/2037",2037,121,121,100,87.857905384536,3899.72546395566,436
"2037/2038",2038,120,120,100,80.8905858083508,1928.52216394432,723
"2038/2039",2039,120,120,100,86.1772519406586,4485.87818698911,401
"2039/2040",2040,120,120,100,90.4628457767594,5190.18536654348,197
"2040/2041",2041,121,121,100,88.6852208509335,3508.549423018,321
"2041/2042",2042,120,120,100,88.5089433960975,2299.00691564893,371
"2042/2043",2043,120,120,100,84.975962847986,6768.32852116879,319
"2043/2044",2044,120,120,100,84.8251141078008,1774.62475893181,526
"2044/2045",2045,121,121,100,87.9275657177259,3110.2903676373,308
"2045/2046",2046,120,120,100,81.3543220949869,2647.7191851791,730
"2046/2047",2047,120,120,100,82.0204755475806,2697.31462698104,548
"2047/2048",2048,120,120,100,80.7700979034107,2816.86677179346,639
"2048/2049",2049,121,121,100,89.5868906600635,2743.77056602016,309
"2049/2050",2050,120,120,100,84.3541825478469,1865.40943308175,553
"2050/2051",2051,120,120,100,80.3980647074341,1459.24253403582,644
"2051/2052",2052,120,120,100,82.909371144593,3767.65879359376,477
"2052/2053",2053,121,121,100,83.9034501887718,4659.45147924079,410
"2053/2054",2054,120,120,100,86.218676189681,4598.62576678488,353
"2054/2055",2055,120,120,100,87.8809556857586,4380.62933980953,262
"2055/2056",2056,120,120,100,85.5450862725929,3293.83598645404,487
"2056/2057",2057,121,121,100,81.5700561751892,4623.08012414118,354
"2057/2058",2058,120,120,100,82.4604846287511,3409.69585163798,623
"2058/2059",2059,120,120,100,88.243323612478,4175.69481272157,237
"2059/2060",2060,120,120,100,79.326516690453,2301.26310997177,745
"2060/2061",2061,121,121,100,87.4123545090151,4376.8682149318,369
"2061/2062",2062,120,120,100,76.3570108790373,5430.67677201098,590
"2062/2063",2063,120,120,100,81.0976871644943,2126.8855453385,681
"2063/2064",2064,120,120,100,84.8045709681119,1806.48327339813,612
"2064/2065",2065,121,121,100,83.8381227468763,3656.51302580629,596
"2065/2066",2066,120,120,100,87.451772000084,3979.89786696201,384
"2066/2067",2067,120,120,100,88.0649544053176,3242.51838653255,253
"2067/2068",2068,120,120,100,82.0490458022141,2074.52443513181,677
"2068/2069",2069,121,121,100,87.511044788982,5657.2457737308,367
"2069/2070",2070,120,120,100,81.977920957439,3719.98069961648,625
"2070/2071",2071,120,120,100,82.8292561686121,3187.57527980395,495
"2071/2072",2072,120,120,100,84.6195438825907,3029.64575994201,514
"2072/2073",2073,121,121,100,85.9452639768606,4633.28536085784,389
"2073/2074",2074,120,120,100,85.977810299275,4929.36303766072,324
"2074/2075",2075,120,120,100,72.9275284711766,5644.9357567504,615
"2075/2076",2076,120,120,100,83.1107963875875,4840.78264152445,510
"2076/2077",2077,121,121,100,90.1183706795655,4486.57415517326,182
"2077/2078",2078,120,120,100,82.4924448242946,1850.48304706346,638
