"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.6176083405477,8286.80613288689,197
"2002/2003",2003,120,120,100,84.9529209457768,7258.43508138368,273
"2003/2004",2004,120,120,100,85.413086562863,4714.33367365209,361
"2004/2005",2005,121,121,100,91.0793967868558,5630.60248340166,103
"2005/2006",2006,120,120,100,88.6384197538779,8028.20840693515,31
"2006/2007",2007,120,120,100,86.5940992880995,6775.65122122195,250
"2007/2008",2008,120,120,100,84.8433885581411,4554.66986628325,310
"2008/2009",2009,121,121,100,90.7398234552602,5569.50870468048,255
"2009/2010",2010,120,120,100,88.9876038943419,6299.4081625815,193
"2010/2011",2011,120,120,100,90.6784860907146,5895.51255412016,86
"2011/2012",2012,120,120,100,89.4826132592952,5235.1909697277,113
"2012/2013",2013,121,121,100,86.5140955222528,6222.92337550723,288
"2013/2014",2014,120,120,100,87.6745702052744,4531.83650320151,190
"2014/2015",2015,120,120,100,74.6427820833699,5965.02631174272,622
"2015/2016",2016,120,120,100,87.7676847968262,6523.3654174204,179
"2016/2017",2017,121,121,100,80.9174545581714,7738.34330330463,284
"2017/2018",2018,120,120,100,80.4179064589994,6976.88615176152,401
"2018/2019",2019,120,120,100,83.1231033346189,4442.27236977872,428
"2019/2020",2020,120,120,100,85.6479196714954,7386.58414431778,161
"2020/2021",2021,121,121,100,86.3723750949007,8378.72164110304,151
"2021/2022",2022,120,120,100,83.2703993935424,4513.72557287244,455
"2022/2023",2023,120,120,100,84.4641026977838,6258.5178176756,173
"2023/2024",2024,120,120,100,89.0581019388819,7333.9240772787,31
"2024/2025",2025,121,121,100,91.5627083321883,6588.91899199202,29
"2025/2026",2026,120,120,100,85.7934647187794,6776.8927014193,127
"2026/2027",2027,120,120,100,83.8491307101576,3427.69993358152,557
"2027/2028",2028,120,120,100,87.2503638870471,5832.65898287669,195
"2028/2029",2029,121,121,100,86.9528455659406,4852.81836165208,266
"2029/2030",2030,120,120,100,85.1173538919998,5383.27686370071,256
"2030/2031",2031,120,120,100,87.4719218165233,7520.42213144433,160
"2031/2032",2032,120,120,100,84.8267710084974,5866.86312286975,319
"2032/2033",2033,121,121,100,88.2980937356733,5702.9808803685,240
"2033/2034",2034,120,120,100,87.0380687247216,4470.05593109783,280
"2034/2035",2035,120,120,100,84.2947043592667,4392.40038777748,390
"2035/2036",2036,120,120,100,86.160660014375,6032.11239351379,170
"2036/2037",2037,121,121,100,89.7615855781678,6484.31330479821,225
"2037/2038",2038,120,120,100,88.343235450061,3261.11812128918,337
"2038/2039",2039,120,120,100,83.9478522328382,7470.12667006068,214
"2039/2040",2040,120,120,100,88.2979761076313,8942.67826023092,58
"2040/2041",2041,121,121,100,89.7310318268328,6405.49669906078,142
"2041/2042",2042,120,120,100,89.8978112652048,4713.05436674273,151
"2042/2043",2043,120,120,100,77.7496288397806,11110.4664881513,251
"2043/2044",2044,120,120,100,90.6153462799548,3752.99237432797,252
"2044/2045",2045,121,121,100,91.2855542297229,5676.97342229448,160
"2045/2046",2046,120,120,100,85.9451760095208,4650.91722902935,400
"2046/2047",2047,120,120,100,87.1419650382404,4517.8883508509,272
"2047/2048",2048,120,120,100,84.3959093513577,5514.98065888323,431
"2048/2049",2049,121,121,100,92.5482971188012,5125.76180611132,105
"2049/2050",2050,120,120,100,88.2999396995783,3703.59329251247,261
"2050/2051",2051,120,120,100,87.9122838325802,2783.48501658207,295
"2051/2052",2052,120,120,100,84.8917112753488,5816.09366921196,169
"2052/2053",2053,121,121,100,84.1067396064109,7741.41714986879,251
"2053/2054",2054,120,120,100,86.0910349950664,7931.74764609989,176
"2054/2055",2055,120,120,100,87.9039028984507,7546.26792945899,24
"2055/2056",2056,120,120,100,86.409728077313,5727.02431011805,221
"2056/2057",2057,121,121,100,85.0283011787769,6810.89679978462,93
"2057/2058",2058,120,120,100,84.3044137549159,5789.23882431351,375
"2058/2059",2059,120,120,100,89.6938147069259,7226.90075855283,83
"2059/2060",2060,120,120,100,83.701700321657,4310.59383257013,412
"2060/2061",2061,121,121,100,89.2992463732826,7049.2158241896,140
"2061/2062",2062,120,120,100,76.6092611780659,7818.55920017604,186
"2062/2063",2063,120,120,100,85.8733909352086,4198.9273798326,399
"2063/2064",2064,120,120,100,88.8073410400721,4219.53163493983,318
"2064/2065",2065,121,121,100,83.4807106999197,6615.44486769382,379
"2065/2066",2066,120,120,100,89.2267022566066,6612.18158823997,163
"2066/2067",2067,120,120,100,91.0359900267977,5955.33532255143,90
"2067/2068",2068,120,120,100,88.6456510980152,3554.65592876356,259
"2068/2069",2069,121,121,100,87.6628912594351,8556.14705081657,87
"2069/2070",2070,120,120,100,83.2137965063721,5929.87912329007,248
"2070/2071",2071,120,120,100,87.4600744086492,5549.41836586501,280
"2071/2072",2072,120,120,100,84.0151559534661,5755.72537431773,255
"2072/2073",2073,121,121,100,80.7748001411001,7782.43773735128,147
"2073/2074",2074,120,120,100,87.5393101159098,7759.02095729765,203
"2074/2075",2075,120,120,100,77.0512801902642,7980.21476159338,456
"2075/2076",2076,120,120,100,81.5667620561762,8145.17762094177,269
"2076/2077",2077,121,121,100,89.7022342339515,7825.16241652984,28
"2077/2078",2078,120,120,100,87.2262240013843,3797.89383559674,285
"2078/2079",2079,120,120,100,87.7645517072469,3649.79817070253,423
"2079/2080",2080,120,120,100,88.4670933741854,5839.07866026461,170
"2080/2081",2081,121,121,100,88.5080904287533,7593.81261053868,60
"2081/2082",2082,120,120,100,86.3804197976187,6988.88611650188,222
"2082/2083",2083,120,120,100,88.508047228097,6418.73218704574,138
"2083/2084",2084,120,120,100,83.5015263122314,8470.96704894863,219
"2084/2085",2085,121,121,100,84.9748393320679,3900.25290167145,358
"2085/2086",2086,120,120,100,88.945049542077,5488.37911273446,231
"2086/2087",2087,120,120,100,85.1434641283904,5353.35584723577,344
"2087/2088",2088,120,120,100,88.4225171311482,4817.48744029459,158
"2088/2089",2089,121,121,100,84.0791166169329,6355.7457779916,352
"2089/2090",2090,120,120,100,89.1055266977601,5095.77652182337,246
"2090/2091",2091,120,120,100,87.6943132682572,3317.54682932701,345
"2091/2092",2092,120,120,100,86.7799190498572,4898.2908029668,298
"2092/2093",2093,121,121,100,89.0912032284359,4262.57407318335,297
"2093/2094",2094,120,120,100,86.882347697765,6990.57276798505,173
"2094/2095",2095,120,120,100,85.8549031533912,6230.76012009941,280
"2095/2096",2096,120,120,100,88.6572300538064,5585.30109934043,95
"2096/2097",2097,121,121,100,82.6357457583854,9245.04774880782,125
"2097/2098",2098,120,120,100,77.7244668879594,7871.53280140087,286
"2098/2099",2099,120,120,100,86.7444022770342,5417.39550346136,285
"2099/2100",2100,120,120,100,83.4389007721893,6007.75046126451,328
