"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,70.5945808935592,13062.7682382452,126
"2002/2003",2003,120,120,100,73.8034601498885,11850.2973942154,216
"2003/2004",2004,120,120,100,83.0646125501481,8093.109487871,218
"2004/2005",2005,121,121,100,85.7636088736674,9976.0937626629,63
"2005/2006",2006,120,120,100,76.5415358130291,12971.3380896964,14
"2006/2007",2007,120,120,100,78.4275928701721,11333.9902399328,203
"2007/2008",2008,120,120,100,81.313944641649,8145.11629298306,187
"2008/2009",2009,121,121,100,83.5846821258032,9621.3690582182,157
"2009/2010",2010,120,120,100,80.5577274103406,10501.3592511945,148
"2010/2011",2011,120,120,100,85.8234982845343,10068.2747834427,62
"2011/2012",2012,120,120,100,84.8578244967714,9270.45695881615,76
"2012/2013",2013,121,121,100,79.4624778328739,10441.452124494,183
"2013/2014",2014,120,120,100,84.906396824395,8261.81644922518,129
"2014/2015",2015,120,120,100,69.6969830907924,9402.20276257466,384
"2015/2016",2016,120,120,100,80.0552700683629,11007.0886340302,125
"2016/2017",2017,121,121,100,69.346860476754,12042.5833760733,211
"2017/2018",2018,120,120,100,72.812069774832,10984.0393043794,263
"2018/2019",2019,120,120,100,80.7420696155634,7837.60239024716,310
"2019/2020",2020,120,120,100,75.1380018816262,11832.5615492212,87
"2020/2021",2021,121,121,100,74.2936441396705,13181.3013826967,65
"2021/2022",2022,120,120,100,77.9027084576828,7800.3289244445,338
"2022/2023",2023,120,120,100,76.5198218004412,10418.7547552676,125
"2023/2024",2024,120,120,100,78.3159796665664,12288.6370089133,20
"2024/2025",2025,121,121,100,82.054160073083,11220.3128053893,22
"2025/2026",2026,120,120,100,79.7315068487155,10820.7905969347,50
"2026/2027",2027,120,120,100,83.8317450431205,6222.32337020477,362
"2027/2028",2028,120,120,100,81.5959353135272,9914.7734134004,104
"2028/2029",2029,121,121,100,84.7093301219625,8781.29502239637,194
"2029/2030",2030,120,120,100,80.2086474030202,9549.11293529905,198
"2030/2031",2031,120,120,100,73.8379247236835,12088.1748022232,129
"2031/2032",2032,120,120,100,77.6543738171445,9679.06902307319,215
"2032/2033",2033,121,121,100,81.8963348417778,10033.5960454564,134
"2033/2034",2034,120,120,100,85.4761581119883,8040.3824448674,182
"2034/2035",2035,120,120,100,80.1156311141849,7871.65003682673,257
"2035/2036",2036,120,120,100,77.6848284026523,10171.6400647517,108
"2036/2037",2037,121,121,100,78.5132564165469,11196.2352261567,177
"2037/2038",2038,120,120,100,86.3060470020996,6431.89353202656,219
"2038/2039",2039,120,120,100,76.6880118984009,12105.8505450459,170
"2039/2040",2040,120,120,100,73.0411332902822,14158.9331743983,35
"2040/2041",2041,121,121,100,81.9748051373235,10914.3317688159,84
"2041/2042",2042,120,120,100,86.2152257687057,8618.11690003006,76
"2042/2043",2043,120,120,100,62.2653780317214,16573.1436369857,211
"2043/2044",2044,120,120,100,86.3838442204997,7074.9112042333,151
"2044/2045",2045,121,121,100,83.2949093526358,10178.4985066364,116
"2045/2046",2046,120,120,100,80.5016406437435,8421.82265825942,301
"2046/2047",2047,120,120,100,83.7889455411432,8210.16563430429,213
"2047/2048",2048,120,120,100,78.0374954213448,9547.35789189534,357
"2048/2049",2049,121,121,100,86.7852820260341,9504.81089819642,70
"2049/2050",2050,120,120,100,86.8063315079708,7195.6216450478,177
"2050/2051",2051,120,120,100,86.785836985181,5668.44505149592,194
"2051/2052",2052,120,120,100,80.7761598362658,9778.23794265511,105
"2052/2053",2053,121,121,100,73.5268939726529,12259.27417293,150
"2053/2054",2054,120,120,100,72.3626479845607,12535.9571010293,124
"2054/2055",2055,120,120,100,77.2571617446611,12289.8474865956,5
"2055/2056",2056,120,120,100,79.6079930207798,9911.32427211432,150
"2056/2057",2057,121,121,100,80.4684810599329,10811.4466180638,58
"2057/2058",2058,120,120,100,80.2101821603501,9693.03786562383,237
"2058/2059",2059,120,120,100,78.5219832020812,11980.6914498527,25
"2059/2060",2060,120,120,100,78.8664559368708,7639.64270947501,316
"2060/2061",2061,121,121,100,78.0400041618223,12002.7313629007,116
"2061/2062",2062,120,120,100,73.5373904259814,12026.8408415215,93
"2062/2063",2063,120,120,100,84.257531020914,7323.52458580583,234
"2063/2064",2064,120,120,100,85.0539701330554,7506.01325695496,186
"2064/2065",2065,121,121,100,75.4617742834689,10615.2321566958,183
"2065/2066",2066,120,120,100,81.4388331266991,10803.6415572576,70
"2066/2067",2067,120,120,100,83.0892314756275,10465.4927090509,48
"2067/2068",2068,120,120,100,86.0292565590025,6995.9308527559,202
"2068/2069",2069,121,121,100,74.4747415662277,13700.7100344533,69
"2069/2070",2070,120,120,100,78.5382394453345,9885.88345524203,213
"2070/2071",2071,120,120,100,83.0744619064244,9676.37830624264,173
"2071/2072",2072,120,120,100,81.7310483811061,9480.59394590184,136
"2072/2073",2073,121,121,100,74.4855247889564,12152.4283975968,104
"2073/2074",2074,120,120,100,77.239176417731,12633.2796690818,151
"2074/2075",2075,120,120,100,72.1219359595125,12053.6153675988,351
"2075/2076",2076,120,120,100,72.7519417907506,12564.8536119526,176
"2076/2077",2077,121,121,100,78.2238625833434,12728.8083702931,13
"2077/2078",2078,120,120,100,85.322407656151,7020.74345095921,165
"2078/2079",2079,120,120,100,86.2564768546836,7102.63597156946,283
"2079/2080",2080,120,120,100,83.0692588706988,10111.0788688604,131
"2080/2081",2081,121,121,100,81.9786930624559,12148.4088547491,18
"2081/2082",2082,120,120,100,76.6169694266137,11657.6475614281,174
"2082/2083",2083,120,120,100,79.0789478008537,10936.6613354422,101
"2083/2084",2084,120,120,100,74.2908908398822,13414.4667058811,177
"2084/2085",2085,121,121,100,86.0369621796708,7074.11954728607,214
"2085/2086",2086,120,120,100,82.6041564003499,9766.17187392432,116
"2086/2087",2087,120,120,100,78.8137032266186,9328.66096955165,267
"2087/2088",2088,120,120,100,84.3953237220212,8819.22121226881,119
"2088/2089",2089,121,121,100,75.999523917706,10666.2706068596,270
"2089/2090",2090,120,120,100,83.3918562289346,9405.14525938593,176
"2090/2091",2091,120,120,100,86.9953683461899,6535.5773118427,247
"2091/2092",2092,120,120,100,80.7812470690624,8737.46716512088,213
"2092/2093",2093,121,121,100,84.4045221594242,7912.77222740185,150
"2093/2094",2094,120,120,100,76.0637996621972,11566.1505688094,129
"2094/2095",2095,120,120,100,73.1823714803086,10685.1935347589,195
"2095/2096",2096,120,120,100,82.1397835840489,9982.45332455263,71
"2096/2097",2097,121,121,100,70.6849748248023,14215.1706894608,95
"2097/2098",2098,120,120,100,72.3207836323108,12181.2438190468,183
"2098/2099",2099,120,120,100,80.2613605929419,9587.62408316415,188
"2099/2100",2100,120,120,100,78.2804895912959,10016.5408656858,237
