"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7114.68994692992,0
"2001/2002",2002,46,46,100,3622.33593509867,33
"2002/2003",2003,46,46,100,5932.89634282526,4
"2003/2004",2004,46,46,100,5139.88836796553,51
"2004/2005",2005,46,46,100,5627.63189887814,28
"2005/2006",2006,46,46,100,6676.35176447884,67
"2006/2007",2007,46,46,100,6540.05565034639,12
"2007/2008",2008,46,46,100,6772.46607293986,0
"2008/2009",2009,46,46,100,6912.77515364339,33
"2009/2010",2010,46,46,100,7014.85678892815,3
"2010/2011",2011,46,46,100,7136.65230443503,2
"2011/2012",2012,46,46,100,6419.51029092108,60
"2012/2013",2013,46,46,100,7293.69655731821,5
"2013/2014",2014,46,46,100,4489.05079896469,45
"2014/2015",2015,46,46,100,3938.40411609691,52
"2015/2016",2016,46,46,100,4980.473699008,36
"2016/2017",2017,46,46,100,4860.06812738825,10
"2017/2018",2018,46,46,100,6297.03720548796,43
"2018/2019",2019,46,46,100,4209.71748359688,47
"2019/2020",2020,46,46,100,8335.94969239156,0
"2020/2021",2021,46,46,100,7841.83679850306,34
"2021/2022",2022,46,46,100,9647.12950300705,35
"2022/2023",2023,46,46,100,7190.85754461237,2
"2023/2024",2024,46,46,100,5218.17040597647,8
"2024/2025",2025,46,46,100,5359.18811343517,35
"2025/2026",2026,46,46,100,7304.1513694278,5
"2026/2027",2027,46,46,100,6735.99328818871,29
"2027/2028",2028,46,46,100,7032.51203886885,0
"2028/2029",2029,46,46,100,8462.24201711314,1
"2029/2030",2030,46,46,100,5502.98044223175,14
"2030/2031",2031,46,46,100,5089.2581099493,18
"2031/2032",2032,46,46,100,4942.33430058486,5
"2032/2033",2033,46,46,100,6016.17065599049,5
"2033/2034",2034,46,46,100,7590.08097155672,5
"2034/2035",2035,46,46,100,5850.46455168165,33
"2035/2036",2036,46,46,100,6636.91723551741,8
"2036/2037",2037,46,46,100,4904.33269579615,42
"2037/2038",2038,46,46,100,6110.1170110479,4
"2038/2039",2039,46,46,100,2981.8701841766,23
"2039/2040",2040,46,46,100,5166.66998791508,8
"2040/2041",2041,46,46,100,5411.03879975248,54
"2041/2042",2042,46,46,100,6455.64958352549,26
"2042/2043",2043,46,46,100,6354.31401247578,18
"2043/2044",2044,46,46,100,7588.18991705915,5
"2044/2045",2045,46,46,100,5585.68433710979,18
"2045/2046",2046,46,46,100,5131.62531352276,20
"2046/2047",2047,46,46,100,7212.74262709869,3
"2047/2048",2048,46,46,100,7225.97114867484,12
"2048/2049",2049,46,46,100,5405.68195399083,29
"2049/2050",2050,46,46,100,7856.20975287585,14
"2050/2051",2051,46,46,100,4105.58934865566,11
"2051/2052",2052,46,46,100,3843.18465557741,14
"2052/2053",2053,46,46,100,5661.46228316426,2
"2053/2054",2054,46,46,100,5561.20099891163,15
"2054/2055",2055,46,46,100,6370.09565627901,6
"2055/2056",2056,46,46,100,8160.32169854827,0
"2056/2057",2057,46,46,100,6273.20132493041,14
"2057/2058",2058,46,46,100,8221.62089906074,0
"2058/2059",2059,46,46,100,6977.04796388512,1
"2059/2060",2060,46,46,100,7186.59820684372,1
"2060/2061",2061,46,46,100,5245.14273593575,15
"2061/2062",2062,46,46,100,7056.96856793016,1
"2062/2063",2063,46,46,100,5877.14760873327,39
"2063/2064",2064,46,46,100,4104.87349706236,66
"2064/2065",2065,46,46,100,8249.83143477701,3
"2065/2066",2066,46,46,100,8304.3658519648,12
"2066/2067",2067,46,46,100,5949.04217498098,6
"2067/2068",2068,46,46,100,9195.64752372727,4
"2068/2069",2069,46,46,100,7064.03045430779,7
"2069/2070",2070,46,46,100,6139.60058293212,35
"2070/2071",2071,46,46,100,5455.45941415615,16
"2071/2072",2072,46,46,100,4665.01655095536,46
"2072/2073",2073,46,46,100,6294.22400572617,4
"2073/2074",2074,46,46,100,7586.92295335047,20
"2074/2075",2075,46,46,100,8198.31470980495,0
"2075/2076",2076,46,46,100,4211.86181094032,31
"2076/2077",2077,46,46,100,6276.00310544576,7
"2077/2078",2078,46,46,100,4823.27802082151,60
"2078/2079",2079,46,46,100,6124.31738971546,15
"2079/2080",2080,46,46,100,8331.60370678548,1
"2080/2081",2081,46,46,100,7360.56356615759,6
"2081/2082",2082,46,46,100,6873.29213119671,33
"2082/2083",2083,46,46,100,3840.57115263026,46
"2083/2084",2084,46,46,100,8702.60243148543,1
"2084/2085",2085,46,46,100,4460.68632597011,29
"2085/2086",2086,46,46,100,4946.08033923432,30
"2086/2087",2087,46,46,100,7575.10823283065,45
"2087/2088",2088,46,46,100,9374.03792900685,1
"2088/2089",2089,46,46,100,6215.50029805209,3
"2089/2090",2090,46,46,100,6994.85530645028,8
"2090/2091",2091,46,46,100,4844.80977418087,46
"2091/2092",2092,46,46,100,6866.35039011203,16
"2092/2093",2093,46,46,100,6054.69803085271,5
"2093/2094",2094,46,46,100,7653.53821274731,14
"2094/2095",2095,46,46,100,3247.12008745689,97
"2095/2096",2096,46,46,100,9130.21965838131,12
"2096/2097",2097,46,46,100,3626.35750101693,52
"2097/2098",2098,46,46,100,5651.76708510052,6
"2098/2099",2099,46,46,100,6770.84940757044,6
"2099/2100",2100,46,46,100,7044.19061914925,7
