"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,10762.6108845267,0
"2001/2002",2002,46,46,100,6461.3160621686,1
"2002/2003",2003,46,46,100,9419.33019977572,0
"2003/2004",2004,46,46,100,8367.2135958242,7
"2004/2005",2005,46,46,100,9155.57211659342,11
"2005/2006",2006,46,46,100,9803.17392732739,11
"2006/2007",2007,46,46,100,10312.4087268917,0
"2007/2008",2008,46,46,100,10840.5357393131,0
"2008/2009",2009,46,46,100,10582.8039962279,4
"2009/2010",2010,46,46,100,10629.4643825506,0
"2010/2011",2011,46,46,100,11173.1344139805,0
"2011/2012",2012,46,46,100,9279.68452518689,7
"2012/2013",2013,46,46,100,11288.0128853644,0
"2013/2014",2014,46,46,100,7629.97206112929,0
"2014/2015",2015,46,46,100,7223.10106601822,10
"2015/2016",2016,46,46,100,8471.1796343904,7
"2016/2017",2017,46,46,100,8237.33697033045,0
"2017/2018",2018,46,46,100,9513.56506368984,6
"2018/2019",2019,46,46,100,7705.96590856812,12
"2019/2020",2020,46,46,100,11971.2912511236,0
"2020/2021",2021,46,46,100,11115.5803129082,6
"2021/2022",2022,46,46,100,13361.0689923335,12
"2022/2023",2023,46,46,100,11140.6211879901,0
"2023/2024",2024,46,46,100,8478.08606957388,0
"2024/2025",2025,46,46,100,8832.12639218569,4
"2025/2026",2026,46,46,100,11249.6671956447,0
"2026/2027",2027,46,46,100,10516.8853154178,6
"2027/2028",2028,46,46,100,11034.6813853048,0
"2028/2029",2029,46,46,100,12121.2618533899,0
"2029/2030",2030,46,46,100,9494.36754629994,0
"2030/2031",2031,46,46,100,8297.92933135992,0
"2031/2032",2032,46,46,100,8933.33147607232,0
"2032/2033",2033,46,46,100,9818.27758533647,0
"2033/2034",2034,46,46,100,10980.7125869128,0
"2034/2035",2035,46,46,100,8903.70491306577,9
"2035/2036",2036,46,46,100,10407.5094492161,7
"2036/2037",2037,46,46,100,7911.31532743527,13
"2037/2038",2038,46,46,100,9704.83111510519,0
"2038/2039",2039,46,46,100,6165.41279020254,0
"2039/2040",2040,46,46,100,8920.69605438691,0
"2040/2041",2041,46,46,100,9217.30198579095,15
"2041/2042",2042,46,46,100,9798.3152852226,5
"2042/2043",2043,46,46,100,9485.88495538151,0
"2043/2044",2044,46,46,100,11810.6937542516,0
"2044/2045",2045,46,46,100,9033.86148492433,0
"2045/2046",2046,46,46,100,8731.32073720545,3
"2046/2047",2047,46,46,100,10788.1160860639,0
"2047/2048",2048,46,46,100,10395.6309574116,2
"2048/2049",2049,46,46,100,8490.43572970992,1
"2049/2050",2050,46,46,100,11440.8594133728,0
"2050/2051",2051,46,46,100,7961.15896337572,0
"2051/2052",2052,46,46,100,7084.6026223246,0
"2052/2053",2053,46,46,100,9697.89278286789,0
"2053/2054",2054,46,46,100,9288.72590153664,0
"2054/2055",2055,46,46,100,10539.9453601902,0
"2055/2056",2056,46,46,100,11923.4459261531,0
"2056/2057",2057,46,46,100,9713.49506388605,2
"2057/2058",2058,46,46,100,11751.9965846688,0
"2058/2059",2059,46,46,100,10476.2111578602,0
"2059/2060",2060,46,46,100,11060.9439103538,0
"2060/2061",2061,46,46,100,8769.68688803073,2
"2061/2062",2062,46,46,100,10976.7677782616,0
"2062/2063",2063,46,46,100,9093.83864325751,4
"2063/2064",2064,46,46,100,7352.40245475993,16
"2064/2065",2065,46,46,100,12058.871770503,0
"2065/2066",2066,46,46,100,11984.7628292833,2
"2066/2067",2067,46,46,100,9957.30290257651,0
"2067/2068",2068,46,46,100,12665.3130181562,0
"2068/2069",2069,46,46,100,10887.9794511264,0
"2069/2070",2070,46,46,100,9433.82526837103,0
"2070/2071",2071,46,46,100,9241.84406814538,0
"2071/2072",2072,46,46,100,7968.49602885731,9
"2072/2073",2073,46,46,100,9857.98792104051,0
"2073/2074",2074,46,46,100,10966.9059661916,0
"2074/2075",2075,46,46,100,11770.0332943685,0
"2075/2076",2076,46,46,100,7450.67325019557,3
"2076/2077",2077,46,46,100,10200.1109238574,0
"2077/2078",2078,46,46,100,7754.63205066044,6
"2078/2079",2079,46,46,100,10003.8512652945,0
"2079/2080",2080,46,46,100,12211.2007724354,0
"2080/2081",2081,46,46,100,11343.4958462957,0
"2081/2082",2082,46,46,100,10519.3318152661,10
"2082/2083",2083,46,46,100,7135.46576947905,13
"2083/2084",2084,46,46,100,12922.7267025206,0
"2084/2085",2085,46,46,100,8032.96688333433,10
"2085/2086",2086,46,46,100,8517.16617659293,0
"2086/2087",2087,46,46,100,10814.1785662835,22
"2087/2088",2088,46,46,100,13095.7541954173,0
"2088/2089",2089,46,46,100,9944.74075276777,0
"2089/2090",2090,46,46,100,10667.1341608409,4
"2090/2091",2091,46,46,100,8139.42640737072,5
"2091/2092",2092,46,46,100,10403.6548144296,0
"2092/2093",2093,46,46,100,9545.09769290593,0
"2093/2094",2094,46,46,100,11104.0557732694,1
"2094/2095",2095,46,46,100,6150.2558147721,11
"2095/2096",2096,46,46,100,12349.6211616602,0
"2096/2097",2097,46,46,100,6683.49600787181,3
"2097/2098",2098,46,46,100,9489.90270203631,0
"2098/2099",2099,46,46,100,10428.7931802804,0
"2099/2100",2100,46,46,100,10513.1226867009,0
