"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,5799.20894668468,8
"2001/2002",2002,46,46,100,2772.19562238917,104
"2002/2003",2003,46,46,100,4696.15176860776,42
"2003/2004",2004,46,46,100,4045.97177841645,80
"2004/2005",2005,46,46,100,4424.63901698604,47
"2005/2006",2006,46,46,100,5433.74066289677,103
"2006/2007",2007,46,46,100,5185.21458342555,30
"2007/2008",2008,46,46,100,5323.27839132451,14
"2008/2009",2009,46,46,100,5522.64406951371,55
"2009/2010",2010,46,46,100,5658.51158334012,24
"2010/2011",2011,46,46,100,5628.16211937822,7
"2011/2012",2012,46,46,100,5296.96313352149,107
"2012/2013",2013,46,46,100,5802.56518130493,8
"2013/2014",2014,46,46,100,3450.92054357857,88
"2014/2015",2015,46,46,100,3012.36464168434,110
"2015/2016",2016,46,46,100,3836.55120014341,75
"2016/2017",2017,46,46,100,3735.23675892409,39
"2017/2018",2018,46,46,100,5096.70882741618,78
"2018/2019",2019,46,46,100,3122.50450497074,82
"2019/2020",2020,46,46,100,6855.1388953221,2
"2020/2021",2021,46,46,100,6475.83980940795,60
"2021/2022",2022,46,46,100,7985.91654389119,43
"2022/2023",2023,46,46,100,5731.62701508962,9
"2023/2024",2024,46,46,100,4122.90060407831,51
"2024/2025",2025,46,46,100,4239.01302243583,66
"2025/2026",2026,46,46,100,5813.44964807364,18
"2026/2027",2027,46,46,100,5367.47855766979,57
"2027/2028",2028,46,46,100,5555.16641860455,7
"2028/2029",2029,46,46,100,6958.71517687407,7
"2029/2030",2030,46,46,100,4162.39284879947,40
"2030/2031",2031,46,46,100,3932.41618066863,46
"2031/2032",2032,46,46,100,3661.34439035854,16
"2032/2033",2033,46,46,100,4651.30080618733,20
"2033/2034",2034,46,46,100,6284.7393399803,18
"2034/2035",2035,46,46,100,4867.55663329363,53
"2035/2036",2036,46,46,100,5212.71701802034,12
"2036/2037",2037,46,46,100,3817.54846029449,73
"2037/2038",2038,46,46,100,4858.83410064178,27
"2038/2039",2039,46,46,100,2108.22065162705,80
"2039/2040",2040,46,46,100,3884.64940098301,19
"2040/2041",2041,46,46,100,4151.794267972,83
"2041/2042",2042,46,46,100,5150.64337410918,65
"2042/2043",2043,46,46,100,5238.45558690559,41
"2043/2044",2044,46,46,100,5993.42632480524,20
"2044/2045",2045,46,46,100,4341.33144078031,43
"2045/2046",2046,46,46,100,3953.10113344528,34
"2046/2047",2047,46,46,100,5906.23788137361,16
"2047/2048",2048,46,46,100,6006.91410212778,33
"2048/2049",2049,46,46,100,4320.45642310195,84
"2049/2050",2050,46,46,100,6450.38605816383,41
"2050/2051",2051,46,46,100,2895.06401132699,33
"2051/2052",2052,46,46,100,2842.33266333723,49
"2052/2053",2053,46,46,100,4237.04821853247,15
"2053/2054",2054,46,46,100,4187.39810901787,44
"2054/2055",2055,46,46,100,4888.44045416173,14
"2055/2056",2056,46,46,100,6654.31615461502,9
"2056/2057",2057,46,46,100,4998.12340638554,33
"2057/2058",2058,46,46,100,6845.36708855163,17
"2058/2059",2059,46,46,100,5648.49989392888,25
"2059/2060",2060,46,46,100,5702.55462367274,9
"2060/2061",2061,46,46,100,4001.17507815687,35
"2061/2062",2062,46,46,100,5613.41688924283,10
"2062/2063",2063,46,46,100,4718.64789149398,71
"2063/2064",2064,46,46,100,3113.09197958698,107
"2064/2065",2065,46,46,100,6773.88462568773,12
"2065/2066",2066,46,46,100,6768.58833853994,27
"2066/2067",2067,46,46,100,4564.88081957633,24
"2067/2068",2068,46,46,100,7768.5034995568,17
"2068/2069",2069,46,46,100,5660.9811931476,13
"2069/2070",2070,46,46,100,5036.90508058108,61
"2070/2071",2071,46,46,100,4205.63878514804,34
"2071/2072",2072,46,46,100,3600.08992492128,87
"2072/2073",2073,46,46,100,5013.74467751943,29
"2073/2074",2074,46,46,100,6204.32184533775,47
"2074/2075",2075,46,46,100,6743.00907293987,4
"2075/2076",2076,46,46,100,3192.72497338243,89
"2076/2077",2077,46,46,100,4887.03541892115,21
"2077/2078",2078,46,46,100,3757.568849965,127
"2078/2079",2079,46,46,100,4800.69848246593,46
"2079/2080",2080,46,46,100,6802.21020966209,18
"2080/2081",2081,46,46,100,5890.68600437045,9
"2081/2082",2082,46,46,100,5502.22265185602,55
"2082/2083",2083,46,46,100,2821.4306201553,104
"2083/2084",2084,46,46,100,7036.67153235991,4
"2084/2085",2085,46,46,100,3277.03981920704,52
"2085/2086",2086,46,46,100,3680.82198602334,65
"2086/2087",2087,46,46,100,6270.62234868295,71
"2087/2088",2088,46,46,100,7775.03263875097,6
"2088/2089",2089,46,46,100,4869.59391282033,18
"2089/2090",2090,46,46,100,5607.2296477193,21
"2090/2091",2091,46,46,100,3625.82476778328,92
"2091/2092",2092,46,46,100,5534.94995739963,40
"2092/2093",2093,46,46,100,4849.8168667499,21
"2093/2094",2094,46,46,100,6265.40552038513,30
"2094/2095",2095,46,46,100,2345.31013855152,175
"2095/2096",2096,46,46,100,7716.41303834599,22
"2096/2097",2097,46,46,100,2668.04760564398,104
"2097/2098",2098,46,46,100,4317.6814748859,19
"2098/2099",2099,46,46,100,5446.36401084438,23
"2099/2100",2100,46,46,100,5769.26820469648,19
