"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,9954.57253818529,0
"2001/2002",2002,46,46,100,5811.59786694817,4
"2002/2003",2003,46,46,100,8598.50815397777,0
"2003/2004",2004,46,46,100,7627.92087751246,19
"2004/2005",2005,46,46,100,8326.72165501741,12
"2005/2006",2006,46,46,100,9224.63883017795,25
"2006/2007",2007,46,46,100,9509.88296438107,0
"2007/2008",2008,46,46,100,9906.43591559271,0
"2008/2009",2009,46,46,100,9847.99859894335,9
"2009/2010",2010,46,46,100,9846.22076828824,0
"2010/2011",2011,46,46,100,10304.1977544939,0
"2011/2012",2012,46,46,100,8658.03702977323,14
"2012/2013",2013,46,46,100,10435.5125755132,1
"2013/2014",2014,46,46,100,6919.43782821437,3
"2014/2015",2015,46,46,100,6343.15288256155,12
"2015/2016",2016,46,46,100,7644.16540191695,12
"2016/2017",2017,46,46,100,7449.93763751141,0
"2017/2018",2018,46,46,100,8836.59288721369,7
"2018/2019",2019,46,46,100,6836.77196211624,14
"2019/2020",2020,46,46,100,11232.6693082538,0
"2020/2021",2021,46,46,100,10490.2131013586,10
"2021/2022",2022,46,46,100,12684.2064879665,20
"2022/2023",2023,46,46,100,10323.8617768162,0
"2023/2024",2024,46,46,100,7718.41985168564,0
"2024/2025",2025,46,46,100,8067.0044180823,5
"2025/2026",2026,46,46,100,10407.8092049214,0
"2026/2027",2027,46,46,100,9690.67345731473,7
"2027/2028",2028,46,46,100,10132.2145854873,0
"2028/2029",2029,46,46,100,11412.9558383105,0
"2029/2030",2030,46,46,100,8576.28616190888,1
"2030/2031",2031,46,46,100,7641.31009658333,4
"2031/2032",2032,46,46,100,7964.42077471223,0
"2032/2033",2033,46,46,100,8973.82958904887,0
"2033/2034",2034,46,46,100,10259.682029522,0
"2034/2035",2035,46,46,100,8175.90589314932,10
"2035/2036",2036,46,46,100,9630.79711542511,8
"2036/2037",2037,46,46,100,7284.83838841459,19
"2037/2038",2038,46,46,100,8895.67814263469,0
"2038/2039",2039,46,46,100,5301.84699135926,0
"2039/2040",2040,46,46,100,8080.19910526136,2
"2040/2041",2041,46,46,100,8309.41610599728,18
"2041/2042",2042,46,46,100,9136.05128761381,7
"2042/2043",2043,46,46,100,8790.78636668436,0
"2043/2044",2044,46,46,100,10903.0554105323,0
"2044/2045",2045,46,46,100,8279.24876467278,0
"2045/2046",2046,46,46,100,7898.97305592522,6
"2046/2047",2047,46,46,100,10026.8695800519,0
"2047/2048",2048,46,46,100,9672.63722517667,3
"2048/2049",2049,46,46,100,7837.95348939486,1
"2049/2050",2050,46,46,100,10637.3750507925,0
"2050/2051",2051,46,46,100,7039.78864143323,0
"2051/2052",2052,46,46,100,6293.52027802076,2
"2052/2053",2053,46,46,100,8820.34479541238,0
"2053/2054",2054,46,46,100,8495.78319883719,0
"2054/2055",2055,46,46,100,9610.14953251462,1
"2055/2056",2056,46,46,100,11140.99351722,0
"2056/2057",2057,46,46,100,8979.37011395022,3
"2057/2058",2058,46,46,100,11051.8227889258,0
"2058/2059",2059,46,46,100,9744.02412646729,0
"2059/2060",2060,46,46,100,10258.7409016164,0
"2060/2061",2061,46,46,100,8020.74092418049,3
"2061/2062",2062,46,46,100,10107.7693141289,0
"2062/2063",2063,46,46,100,8405.09372966457,5
"2063/2064",2064,46,46,100,6574.32193856034,23
"2064/2065",2065,46,46,100,11311.5450044638,0
"2065/2066",2066,46,46,100,11277.0311358077,4
"2066/2067",2067,46,46,100,9020.77505006734,0
"2067/2068",2068,46,46,100,11907.5318336235,0
"2068/2069",2069,46,46,100,10113.4300627736,0
"2069/2070",2070,46,46,100,8656.66355261672,1
"2070/2071",2071,46,46,100,8398.44677408691,2
"2071/2072",2072,46,46,100,7208.44727539085,12
"2072/2073",2073,46,46,100,9087.79104978591,0
"2073/2074",2074,46,46,100,10278.8904103488,4
"2074/2075",2075,46,46,100,11068.0547652915,0
"2075/2076",2076,46,46,100,6702.80243365839,5
"2076/2077",2077,46,46,100,9355.05591908284,0
"2077/2078",2078,46,46,100,7136.72066477034,16
"2078/2079",2079,46,46,100,9082.15088441502,0
"2079/2080",2080,46,46,100,11455.4501261916,0
"2080/2081",2081,46,46,100,10570.2630870715,1
"2081/2082",2082,46,46,100,9738.59167677443,14
"2082/2083",2083,46,46,100,6340.1657761652,15
"2083/2084",2084,46,46,100,12057.7849421641,0
"2084/2085",2085,46,46,100,7225.1258295048,13
"2085/2086",2086,46,46,100,7770.52730863634,6
"2086/2087",2087,46,46,100,10181.1455611177,28
"2087/2088",2088,46,46,100,12408.6386350505,0
"2088/2089",2089,46,46,100,9152.17420364544,0
"2089/2090",2090,46,46,100,9912.97694138996,4
"2090/2091",2091,46,46,100,7474.78706853371,6
"2091/2092",2092,46,46,100,9645.55098715425,0
"2092/2093",2093,46,46,100,8785.38848568965,0
"2093/2094",2094,46,46,100,10408.553216083,5
"2094/2095",2095,46,46,100,5509.15499969851,18
"2095/2096",2096,46,46,100,11712.0823736815,0
"2096/2097",2097,46,46,100,5961.97716308385,4
"2097/2098",2098,46,46,100,8634.83292243816,0
"2098/2099",2099,46,46,100,9622.5883426154,0
"2099/2100",2100,46,46,100,9766.30114187207,0
