"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7779.43994834145,0
"2001/2002",2002,46,46,100,4047.5523131675,23
"2002/2003",2003,46,46,100,6544.88217054142,4
"2003/2004",2004,46,46,100,5608.30052330662,34
"2004/2005",2005,46,46,100,6248.91447214992,26
"2005/2006",2006,46,46,100,7110.40192397335,41
"2006/2007",2007,46,46,100,7167.90455047874,7
"2007/2008",2008,46,46,100,7495.27488750557,0
"2008/2009",2009,46,46,100,7541.20037802833,22
"2009/2010",2010,46,46,100,7636.12645226927,2
"2010/2011",2011,46,46,100,7784.11022796563,2
"2011/2012",2012,46,46,100,6869.314054013,43
"2012/2013",2013,46,46,100,8033.5067119,3
"2013/2014",2014,46,46,100,4872.31728566159,25
"2014/2015",2015,46,46,100,4611.22020687908,48
"2015/2016",2016,46,46,100,5527.91492773453,25
"2016/2017",2017,46,46,100,5343.49664530647,9
"2017/2018",2018,46,46,100,6792.51243829099,18
"2018/2019",2019,46,46,100,4808.31134656747,46
"2019/2020",2020,46,46,100,9005.44865842909,0
"2020/2021",2021,46,46,100,8322.33427061001,15
"2021/2022",2022,46,46,100,10258.7178375253,27
"2022/2023",2023,46,46,100,7820.46205534483,0
"2023/2024",2024,46,46,100,5789.21327138413,6
"2024/2025",2025,46,46,100,6047.66557446099,29
"2025/2026",2026,46,46,100,7972.24549767096,4
"2026/2027",2027,46,46,100,7497.34721730417,30
"2027/2028",2028,46,46,100,7776.52189800655,0
"2028/2029",2029,46,46,100,9051.24858815619,0
"2029/2030",2030,46,46,100,6183.74875573255,10
"2030/2031",2031,46,46,100,5455.12257723184,11
"2031/2032",2032,46,46,100,5678.02546253474,5
"2032/2033",2033,46,46,100,6635.92718864232,2
"2033/2034",2034,46,46,100,8144.93390431534,1
"2034/2035",2035,46,46,100,6563.5805890495,31
"2035/2036",2036,46,46,100,7197.94383053202,8
"2036/2037",2037,46,46,100,5214.8633786859,32
"2037/2038",2038,46,46,100,6689.42763873888,1
"2038/2039",2039,46,46,100,3560.51177317137,18
"2039/2040",2040,46,46,100,5724.5068908399,5
"2040/2041",2041,46,46,100,6132.69582574535,51
"2041/2042",2042,46,46,100,6882.81080335705,13
"2042/2043",2043,46,46,100,6926.13518650876,12
"2043/2044",2044,46,46,100,8315.76942507643,2
"2044/2045",2045,46,46,100,6045.23754593963,5
"2045/2046",2046,46,46,100,5746.35444164928,13
"2046/2047",2047,46,46,100,7916.70766782854,0
"2047/2048",2048,46,46,100,7891.31388489297,11
"2048/2049",2049,46,46,100,5866.95975167817,18
"2049/2050",2050,46,46,100,8478.47273135977,3
"2050/2051",2051,46,46,100,4754.93300203281,12
"2051/2052",2052,46,46,100,4300.18437004276,10
"2052/2053",2053,46,46,100,6281.86822510092,2
"2053/2054",2054,46,46,100,6005.08812243026,5
"2054/2055",2055,46,46,100,7156.00404057791,6
"2055/2056",2056,46,46,100,8900.05855253385,0
"2056/2057",2057,46,46,100,6801.15723433439,11
"2057/2058",2058,46,46,100,8943.99322325177,0
"2058/2059",2059,46,46,100,7528.30067146942,1
"2059/2060",2060,46,46,100,7786.91377504636,0
"2060/2061",2061,46,46,100,5743.89257891849,14
"2061/2062",2062,46,46,100,7770.96439043526,0
"2062/2063",2063,46,46,100,6331.04700005706,12
"2063/2064",2064,46,46,100,4683.19821755681,57
"2064/2065",2065,46,46,100,8969.76480887551,0
"2065/2066",2066,46,46,100,8855.20136461779,6
"2066/2067",2067,46,46,100,6645.71247515827,4
"2067/2068",2068,46,46,100,10037.2031049756,5
"2068/2069",2069,46,46,100,7720.55728076212,3
"2069/2070",2070,46,46,100,6903.39789601974,36
"2070/2071",2071,46,46,100,6062.12049720995,9
"2071/2072",2072,46,46,100,5225.01457540877,40
"2072/2073",2073,46,46,100,6868.23929508682,4
"2073/2074",2074,46,46,100,8124.34343039524,11
"2074/2075",2075,46,46,100,8870.20702771004,0
"2075/2076",2076,46,46,100,4651.13329574279,15
"2076/2077",2077,46,46,100,6859.17820107006,2
"2077/2078",2078,46,46,100,5162.93998382706,42
"2078/2079",2079,46,46,100,6881.70170220174,14
"2079/2080",2080,46,46,100,9002.56722390279,0
"2080/2081",2081,46,46,100,8021.8969233511,5
"2081/2082",2082,46,46,100,7397.66795517597,24
"2082/2083",2083,46,46,100,4361.08484586701,38
"2083/2084",2084,46,46,100,9476.10764830653,1
"2084/2085",2085,46,46,100,4923.08922234271,24
"2085/2086",2086,46,46,100,5363.06957941689,19
"2086/2087",2087,46,46,100,8021.50715291221,38
"2087/2088",2088,46,46,100,10072.9359133299,0
"2088/2089",2089,46,46,100,6739.54479885288,3
"2089/2090",2090,46,46,100,7621.54025966767,8
"2090/2091",2091,46,46,100,5144.00447088014,20
"2091/2092",2092,46,46,100,7529.00916710775,11
"2092/2093",2093,46,46,100,6670.46327576227,5
"2093/2094",2094,46,46,100,8300.00228806306,13
"2094/2095",2095,46,46,100,3574.77563378122,63
"2095/2096",2096,46,46,100,9818.96556627192,12
"2096/2097",2097,46,46,100,4063.52879416198,35
"2097/2098",2098,46,46,100,6237.03600987326,6
"2098/2099",2099,46,46,100,7398.07677579857,5
"2099/2100",2100,46,46,100,7723.49447955098,6
