"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7960.65445445001,0
"2001/2002",2002,46,46,100,4072.73839004977,12
"2002/2003",2003,46,46,100,6631.4509223596,0
"2003/2004",2004,46,46,100,5725.81338122059,31
"2004/2005",2005,46,46,100,6342.80531950336,21
"2005/2006",2006,46,46,100,7368.29018557037,34
"2006/2007",2007,46,46,100,7346.97707268276,2
"2007/2008",2008,46,46,100,7636.61363427533,0
"2008/2009",2009,46,46,100,7755.54590202239,14
"2009/2010",2010,46,46,100,7872.04666139558,0
"2010/2011",2011,46,46,100,8030.34998621431,0
"2011/2012",2012,46,46,100,7006.45116403664,22
"2012/2013",2013,46,46,100,8263.54021597595,0
"2013/2014",2014,46,46,100,4983.10927696573,10
"2014/2015",2015,46,46,100,4472.74963491561,23
"2015/2016",2016,46,46,100,5608.01988058025,13
"2016/2017",2017,46,46,100,5455.08751324727,0
"2017/2018",2018,46,46,100,7003.88946379721,12
"2018/2019",2019,46,46,100,4832.74017239991,27
"2019/2020",2020,46,46,100,9300.41994730709,0
"2020/2021",2021,46,46,100,8643.38311052183,12
"2021/2022",2022,46,46,100,10661.0386927614,26
"2022/2023",2023,46,46,100,8043.95740911015,0
"2023/2024",2024,46,46,100,5838.374210604,0
"2024/2025",2025,46,46,100,6127.78448391426,14
"2025/2026",2026,46,46,100,8183.57147107925,1
"2026/2027",2027,46,46,100,7626.32781343791,14
"2027/2028",2028,46,46,100,7945.1590211119,0
"2028/2029",2029,46,46,100,9362.08045121864,0
"2029/2030",2030,46,46,100,6301.72994517675,2
"2030/2031",2031,46,46,100,5738.81505179685,5
"2031/2032",2032,46,46,100,5763.93926424859,0
"2032/2033",2033,46,46,100,6806.7663591411,0
"2033/2034",2034,46,46,100,8386.54081211053,0
"2034/2035",2035,46,46,100,6597.092574446,19
"2035/2036",2036,46,46,100,7480.93508184934,8
"2036/2037",2037,46,46,100,5449.70052225748,24
"2037/2038",2038,46,46,100,6813.49539996637,0
"2038/2039",2039,46,46,100,3488.30846253317,5
"2039/2040",2040,46,46,100,5942.28852059599,2
"2040/2041",2041,46,46,100,6161.93522604229,36
"2041/2042",2042,46,46,100,7150.89400850004,8
"2042/2043",2043,46,46,100,7054.3046112773,1
"2043/2044",2044,46,46,100,8553.88553907303,0
"2044/2045",2045,46,46,100,6223.66684221337,0
"2045/2046",2046,46,46,100,5889.50493083475,11
"2046/2047",2047,46,46,100,8088.70228220802,0
"2047/2048",2048,46,46,100,8050.07740157191,5
"2048/2049",2049,46,46,100,5988.66752404487,6
"2049/2050",2050,46,46,100,8646.06408948218,0
"2050/2051",2051,46,46,100,4872.51789745595,2
"2051/2052",2052,46,46,100,4374.4105471801,6
"2052/2053",2053,46,46,100,6512.2007675725,0
"2053/2054",2054,46,46,100,6300.88882954465,1
"2054/2055",2055,46,46,100,7335.1768628615,3
"2055/2056",2056,46,46,100,9113.65727589559,0
"2056/2057",2057,46,46,100,7010.89146353072,7
"2057/2058",2058,46,46,100,9151.4382080487,0
"2058/2059",2059,46,46,100,7767.26193095185,0
"2059/2060",2060,46,46,100,8054.80400400516,0
"2060/2061",2061,46,46,100,5968.25465398654,7
"2061/2062",2062,46,46,100,7950.55845922697,0
"2062/2063",2063,46,46,100,6508.49458714481,6
"2063/2064",2064,46,46,100,4693.63099842146,36
"2064/2065",2065,46,46,100,9219.14046121482,0
"2065/2066",2066,46,46,100,9184.70309451781,4
"2066/2067",2067,46,46,100,6765.80560631119,0
"2067/2068",2068,46,46,100,10181.0625176514,0
"2068/2069",2069,46,46,100,7949.58270778414,0
"2069/2070",2070,46,46,100,6957.9436081443,13
"2070/2071",2071,46,46,100,6189.77629149519,3
"2071/2072",2072,46,46,100,5283.75540601835,22
"2072/2073",2073,46,46,100,7026.73200096097,0
"2073/2074",2074,46,46,100,8396.49025950767,5
"2074/2075",2075,46,46,100,9144.34789114259,0
"2075/2076",2076,46,46,100,4710.05317134131,6
"2076/2077",2077,46,46,100,7057.16684878152,0
"2077/2078",2078,46,46,100,5361.55094770622,28
"2078/2079",2079,46,46,100,6936.9759206539,4
"2079/2080",2080,46,46,100,9261.27945618331,0
"2080/2081",2081,46,46,100,8312.68993117101,2
"2081/2082",2082,46,46,100,7576.90464014839,18
"2082/2083",2083,46,46,100,4393.39031591266,28
"2083/2084",2084,46,46,100,9757.79562817235,0
"2084/2085",2085,46,46,100,5077.45199871436,20
"2085/2086",2086,46,46,100,5599.82717976626,12
"2086/2087",2087,46,46,100,8274.46307910513,31
"2087/2088",2088,46,46,100,10406.5206636209,0
"2088/2089",2089,46,46,100,6946.26387101505,0
"2089/2090",2090,46,46,100,7856.72020953801,6
"2090/2091",2091,46,46,100,5428.25845607836,11
"2091/2092",2092,46,46,100,7721.32397825271,3
"2092/2093",2093,46,46,100,6802.02968867775,2
"2093/2094",2094,46,46,100,8570.48692206666,8
"2094/2095",2095,46,46,100,3658.59052012581,36
"2095/2096",2096,46,46,100,10110.3148699105,0
"2096/2097",2097,46,46,100,4152.38637434877,20
"2097/2098",2098,46,46,100,6417.29154696036,0
"2098/2099",2099,46,46,100,7548.11913163867,0
"2099/2100",2100,46,46,100,7853.11872433219,0
