"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7238.66508572001,0
"2001/2002",2002,46,46,100,3672.38662591178,28
"2002/2003",2003,46,46,100,6029.39586934715,4
"2003/2004",2004,46,46,100,5187.95812602062,47
"2004/2005",2005,46,46,100,5703.61908299284,24
"2005/2006",2006,46,46,100,6760.13742504269,60
"2006/2007",2007,46,46,100,6648.48440957326,8
"2007/2008",2008,46,46,100,6873.28054279176,0
"2008/2009",2009,46,46,100,7048.44572434621,27
"2009/2010",2010,46,46,100,7130.02762812912,1
"2010/2011",2011,46,46,100,7246.44162608008,2
"2011/2012",2012,46,46,100,6478.76206140651,53
"2012/2013",2013,46,46,100,7444.29241104366,4
"2013/2014",2014,46,46,100,4534.29858544399,37
"2014/2015",2015,46,46,100,4001.37749297323,47
"2015/2016",2016,46,46,100,5036.71402090369,31
"2016/2017",2017,46,46,100,4906.32904513157,7
"2017/2018",2018,46,46,100,6372.07066353224,36
"2018/2019",2019,46,46,100,4298.27048657252,47
"2019/2020",2020,46,46,100,8461.73111508298,0
"2020/2021",2021,46,46,100,7930.15560712642,28
"2021/2022",2022,46,46,100,9791.34087799885,33
"2022/2023",2023,46,46,100,7295.97810344328,0
"2023/2024",2024,46,46,100,5278.93720047292,5
"2024/2025",2025,46,46,100,5504.88994100876,30
"2025/2026",2026,46,46,100,7410.05532948347,4
"2026/2027",2027,46,46,100,6885.27658099821,28
"2027/2028",2028,46,46,100,7154.94353265036,0
"2028/2029",2029,46,46,100,8587.70972731989,0
"2029/2030",2030,46,46,100,5615.2746949594,11
"2030/2031",2031,46,46,100,5162.61476669041,15
"2031/2032",2032,46,46,100,5047.85367529187,4
"2032/2033",2033,46,46,100,6104.64273294061,1
"2033/2034",2034,46,46,100,7690.19210949866,4
"2034/2035",2035,46,46,100,5981.44608657155,31
"2035/2036",2036,46,46,100,6738.07660699775,8
"2036/2037",2037,46,46,100,4969.59580367059,39
"2037/2038",2038,46,46,100,6196.05518825911,2
"2038/2039",2039,46,46,100,3047.84544163803,16
"2039/2040",2040,46,46,100,5271.50974361552,7
"2040/2041",2041,46,46,100,5533.94483824959,52
"2041/2042",2042,46,46,100,6521.66107987007,21
"2042/2043",2043,46,46,100,6456.40546507575,13
"2043/2044",2044,46,46,100,7716.96549747605,3
"2044/2045",2045,46,46,100,5652.257518386,12
"2045/2046",2046,46,46,100,5241.93650756124,17
"2046/2047",2047,46,46,100,7337.54922754457,2
"2047/2048",2048,46,46,100,7337.79683007719,10
"2048/2049",2049,46,46,100,5494.17313599773,25
"2049/2050",2050,46,46,100,7938.41971872421,8
"2050/2051",2051,46,46,100,4226.27395687718,11
"2051/2052",2052,46,46,100,3890.24683021568,11
"2052/2053",2053,46,46,100,5794.2977519338,2
"2053/2054",2054,46,46,100,5650.09261092031,9
"2054/2055",2055,46,46,100,6515.089661479,6
"2055/2056",2056,46,46,100,8300.68259775545,0
"2056/2057",2057,46,46,100,6368.19869121071,13
"2057/2058",2058,46,46,100,8381.5030026692,0
"2058/2059",2059,46,46,100,7071.50113511225,0
"2059/2060",2060,46,46,100,7296.43585684802,0
"2060/2061",2061,46,46,100,5361.46182818245,14
"2061/2062",2062,46,46,100,7195.03838174976,0
"2062/2063",2063,46,46,100,5928.54389606137,23
"2063/2064",2064,46,46,100,4202.02103218902,63
"2064/2065",2065,46,46,100,8394.25512671378,0
"2065/2066",2066,46,46,100,8414.00707811769,8
"2066/2067",2067,46,46,100,6048.14305484202,3
"2067/2068",2068,46,46,100,9381.90802745614,4
"2068/2069",2069,46,46,100,7205.44776415825,5
"2069/2070",2070,46,46,100,6291.23961143848,37
"2070/2071",2071,46,46,100,5540.39770881273,9
"2071/2072",2072,46,46,100,4761.55557902995,46
"2072/2073",2073,46,46,100,6397.69590695389,2
"2073/2074",2074,46,46,100,7692.98011185415,16
"2074/2075",2075,46,46,100,8321.04950587079,0
"2075/2076",2076,46,46,100,4264.44907188602,22
"2076/2077",2077,46,46,100,6368.60354446527,5
"2077/2078",2078,46,46,100,4899.42903210968,55
"2078/2079",2079,46,46,100,6233.27863835171,11
"2079/2080",2080,46,46,100,8462.60184128024,0
"2080/2081",2081,46,46,100,7514.72426818777,6
"2081/2082",2082,46,46,100,6940.48177213874,31
"2082/2083",2083,46,46,100,3915.58066162094,44
"2083/2084",2084,46,46,100,8868.05451484956,0
"2084/2085",2085,46,46,100,4526.22709999606,27
"2085/2086",2086,46,46,100,5027.3166235704,25
"2086/2087",2087,46,46,100,7670.92132929992,44
"2087/2088",2088,46,46,100,9526.7322872486,0
"2088/2089",2089,46,46,100,6308.14490312804,2
"2089/2090",2090,46,46,100,7123.29267531168,8
"2090/2091",2091,46,46,100,4914.00349454209,38
"2091/2092",2092,46,46,100,7002.2719595572,14
"2092/2093",2093,46,46,100,6183.08503898419,5
"2093/2094",2094,46,46,100,7789.15164284315,13
"2094/2095",2095,46,46,100,3302.43490982894,86
"2095/2096",2096,46,46,100,9265.97632364091,11
"2096/2097",2097,46,46,100,3701.25914387405,50
"2097/2098",2098,46,46,100,5762.24328157958,4
"2098/2099",2099,46,46,100,6882.14279214665,5
"2099/2100",2100,46,46,100,7165.57166492939,6
