"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7136.78194515448,10
"2001/2002",2002,46,46,100,3833.05331464187,79
"2002/2003",2003,46,46,100,6073.10136551558,37
"2003/2004",2004,46,46,100,5260.39463947937,68
"2004/2005",2005,46,46,100,5713.39664056012,39
"2005/2006",2006,46,46,100,6656.49630623794,89
"2006/2007",2007,46,46,100,6619.53262616694,32
"2007/2008",2008,46,46,100,6849.94770165643,13
"2008/2009",2009,46,46,100,6957.13342654938,53
"2009/2010",2010,46,46,100,6922.19548902416,19
"2010/2011",2011,46,46,100,7143.27146563237,7
"2011/2012",2012,46,46,100,6469.12690347806,91
"2012/2013",2013,46,46,100,7259.04185978975,8
"2013/2014",2014,46,46,100,4700.79681230965,78
"2014/2015",2015,46,46,100,4264.63458139484,96
"2015/2016",2016,46,46,100,5137.6012357506,60
"2016/2017",2017,46,46,100,4972.29708683211,28
"2017/2018",2018,46,46,100,6286.7888620575,59
"2018/2019",2019,46,46,100,4418.16019314528,73
"2019/2020",2020,46,46,100,8151.53056775429,1
"2020/2021",2021,46,46,100,7707.37451721565,52
"2021/2022",2022,46,46,100,9428.32629217161,37
"2022/2023",2023,46,46,100,7265.83199210698,9
"2023/2024",2024,46,46,100,5369.17374620889,48
"2024/2025",2025,46,46,100,5486.65972307744,60
"2025/2026",2026,46,46,100,7323.61384429852,16
"2026/2027",2027,46,46,100,6779.70869015926,49
"2027/2028",2028,46,46,100,7033.3685282215,4
"2028/2029",2029,46,46,100,8390.32243400533,6
"2029/2030",2030,46,46,100,5657.66964871064,36
"2030/2031",2031,46,46,100,5039.27207460487,34
"2031/2032",2032,46,46,100,5028.74192590453,12
"2032/2033",2033,46,46,100,6073.56053772895,14
"2033/2034",2034,46,46,100,7547.91882783966,16
"2034/2035",2035,46,46,100,5916.54153032368,43
"2035/2036",2036,46,46,100,6579.50261359662,9
"2036/2037",2037,46,46,100,4976.78427325422,63
"2037/2038",2038,46,46,100,6266.2001557285,27
"2038/2039",2039,46,46,100,3231.96197806904,68
"2039/2040",2040,46,46,100,5190.76654427079,17
"2040/2041",2041,46,46,100,5620.0282089361,77
"2041/2042",2042,46,46,100,6449.25383962458,54
"2042/2043",2043,46,46,100,6407.85729118064,33
"2043/2044",2044,46,46,100,7588.03470291849,16
"2044/2045",2045,46,46,100,5680.31327741081,35
"2045/2046",2046,46,46,100,5164.97217758326,27
"2046/2047",2047,46,46,100,7177.14033149555,16
"2047/2048",2048,46,46,100,7126.55366311735,32
"2048/2049",2049,46,46,100,5558.91098744888,66
"2049/2050",2050,46,46,100,7909.27166072885,37
"2050/2051",2051,46,46,100,4195.40930839488,27
"2051/2052",2052,46,46,100,4005.13756063953,34
"2052/2053",2053,46,46,100,5700.83104113117,8
"2053/2054",2054,46,46,100,5555.95062811114,37
"2054/2055",2055,46,46,100,6359.76033721957,13
"2055/2056",2056,46,46,100,8117.90161490161,10
"2056/2057",2057,46,46,100,6291.11735400558,30
"2057/2058",2058,46,46,100,8188.35686977534,18
"2058/2059",2059,46,46,100,6958.9494345272,14
"2059/2060",2060,46,46,100,7155.74775480106,6
"2060/2061",2061,46,46,100,5299.27500068676,31
"2061/2062",2062,46,46,100,7092.03895502537,7
"2062/2063",2063,46,46,100,5917.11381407222,64
"2063/2064",2064,46,46,100,4319.14795428468,95
"2064/2065",2065,46,46,100,8207.09254279826,13
"2065/2066",2066,46,46,100,8231.25648805592,27
"2066/2067",2067,46,46,100,6053.92444160488,22
"2067/2068",2068,46,46,100,9135.89158522338,17
"2068/2069",2069,46,46,100,7092.83465497848,13
"2069/2070",2070,46,46,100,6191.35258293897,53
"2070/2071",2071,46,46,100,5607.64166637603,31
"2071/2072",2072,46,46,100,4868.60966287181,74
"2072/2073",2073,46,46,100,6403.24022885505,24
"2073/2074",2074,46,46,100,7490.47555652447,45
"2074/2075",2075,46,46,100,8065.24116165936,4
"2075/2076",2076,46,46,100,4466.45389338862,69
"2076/2077",2077,46,46,100,6393.95673256833,14
"2077/2078",2078,46,46,100,4911.04488052893,99
"2078/2079",2079,46,46,100,6259.79107331485,38
"2079/2080",2080,46,46,100,8339.93430967722,14
"2080/2081",2081,46,46,100,7381.10270882025,9
"2081/2082",2082,46,46,100,7013.76902689785,53
"2082/2083",2083,46,46,100,4071.68898153864,89
"2083/2084",2084,46,46,100,8633.87665183656,5
"2084/2085",2085,46,46,100,4611.49086665548,43
"2085/2086",2086,46,46,100,5031.03678194992,55
"2086/2087",2087,46,46,100,7627.30966541078,68
"2087/2088",2088,46,46,100,9167.21812135912,4
"2088/2089",2089,46,46,100,6343.59779221565,20
"2089/2090",2090,46,46,100,6970.05363008846,18
"2090/2091",2091,46,46,100,4906.86069431063,75
"2091/2092",2092,46,46,100,6839.31260823738,34
"2092/2093",2093,46,46,100,6192.51515982952,17
"2093/2094",2094,46,46,100,7529.11277676187,27
"2094/2095",2095,46,46,100,3501.66271544714,149
"2095/2096",2096,46,46,100,8826.8231534278,20
"2096/2097",2097,46,46,100,3786.81656528171,82
"2097/2098",2098,46,46,100,5750.72457442526,14
"2098/2099",2099,46,46,100,6872.3941957904,23
"2099/2100",2100,46,46,100,7111.23412292637,20
