"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,8532.45082205123,0
"2001/2002",2002,46,46,100,4620.64903964711,17
"2002/2003",2003,46,46,100,7275.09680050559,1
"2003/2004",2004,46,46,100,6284.32953515006,28
"2004/2005",2005,46,46,100,6963.4138736226,22
"2005/2006",2006,46,46,100,7816.60770480114,33
"2006/2007",2007,46,46,100,7960.92936041235,5
"2007/2008",2008,46,46,100,8328.50703141897,0
"2008/2009",2009,46,46,100,8326.33208645962,18
"2009/2010",2010,46,46,100,8400.60998460988,1
"2010/2011",2011,46,46,100,8649.69358984765,1
"2011/2012",2012,46,46,100,7500.24638434779,31
"2012/2013",2013,46,46,100,8866.79118450684,2
"2013/2014",2014,46,46,100,5548.70615035645,15
"2014/2015",2015,46,46,100,5210.12740672263,34
"2015/2016",2016,46,46,100,6232.04879524792,14
"2016/2017",2017,46,46,100,6043.69249580218,1
"2017/2018",2018,46,46,100,7480.3477076327,13
"2018/2019",2019,46,46,100,5503.88380999351,34
"2019/2020",2020,46,46,100,9802.83386553102,0
"2020/2021",2021,46,46,100,9066.11229112186,12
"2021/2022",2022,46,46,100,11118.8309966309,23
"2022/2023",2023,46,46,100,8671.31953230989,0
"2023/2024",2024,46,46,100,6453.47902271873,2
"2024/2025",2025,46,46,100,6729.97982170945,19
"2025/2026",2026,46,46,100,8817.77238773275,2
"2026/2027",2027,46,46,100,8265.25209338567,19
"2027/2028",2028,46,46,100,8590.89405990974,0
"2028/2029",2029,46,46,100,9868.41565993801,0
"2029/2030",2030,46,46,100,6993.76905650692,4
"2030/2031",2031,46,46,100,6160.12488492904,6
"2031/2032",2032,46,46,100,6454.64773447346,3
"2032/2033",2033,46,46,100,7443.34094037395,0
"2033/2034",2034,46,46,100,8877.96093476331,0
"2034/2035",2035,46,46,100,7133.52415075433,21
"2035/2036",2036,46,46,100,8030.8612473784,8
"2036/2037",2037,46,46,100,5888.08247247105,23
"2037/2038",2038,46,46,100,7450.27523039794,0
"2038/2039",2039,46,46,100,4152.5108094248,10
"2039/2040",2040,46,46,100,6507.34746792447,4
"2040/2041",2041,46,46,100,6891.25388318766,42
"2041/2042",2042,46,46,100,7637.38474467909,8
"2042/2043",2043,46,46,100,7575.31606773054,4
"2043/2044",2044,46,46,100,9210.49349455163,0
"2044/2045",2045,46,46,100,6798.81513762521,2
"2045/2046",2046,46,46,100,6461.36316829594,11
"2046/2047",2047,46,46,100,8650.32169762067,0
"2047/2048",2048,46,46,100,8528.76792689599,7
"2048/2049",2049,46,46,100,6541.35355887329,10
"2049/2050",2050,46,46,100,9256.66167681804,1
"2050/2051",2051,46,46,100,5518.89383310592,6
"2051/2052",2052,46,46,100,4952.52465634514,6
"2052/2053",2053,46,46,100,7128.42682829406,0
"2053/2054",2054,46,46,100,6829.95972098969,3
"2054/2055",2055,46,46,100,7993.92907716334,4
"2055/2056",2056,46,46,100,9721.85287133697,0
"2056/2057",2057,46,46,100,7544.63226897176,10
"2057/2058",2058,46,46,100,9696.91526339669,0
"2058/2059",2059,46,46,100,8289.44310162403,0
"2059/2060",2060,46,46,100,8633.6751783574,0
"2060/2061",2061,46,46,100,6510.35416988563,10
"2061/2062",2062,46,46,100,8585.86937601306,0
"2062/2063",2063,46,46,100,7020.68127322383,6
"2063/2064",2064,46,46,100,5313.40597114805,43
"2064/2065",2065,46,46,100,9784.43507622089,0
"2065/2066",2066,46,46,100,9712.23392227292,4
"2066/2067",2067,46,46,100,7462.73199069034,1
"2067/2068",2068,46,46,100,10758.1846914319,1
"2068/2069",2069,46,46,100,8537.66815765947,1
"2069/2070",2070,46,46,100,7525.78859989438,22
"2070/2071",2071,46,46,100,6834.41484271921,5
"2071/2072",2072,46,46,100,5891.00976921059,27
"2072/2073",2073,46,46,100,7629.50519542117,0
"2073/2074",2074,46,46,100,8874.5739896046,6
"2074/2075",2075,46,46,100,9659.29198378883,0
"2075/2076",2076,46,46,100,5317.68443310913,9
"2076/2077",2077,46,46,100,7694.37984067108,0
"2077/2078",2078,46,46,100,5815.6779710399,28
"2078/2079",2079,46,46,100,7645.33365280088,7
"2079/2080",2080,46,46,100,9851.6470765518,0
"2080/2081",2081,46,46,100,8877.64570721425,4
"2081/2082",2082,46,46,100,8200.63586650416,21
"2082/2083",2083,46,46,100,5018.39295866434,27
"2083/2084",2084,46,46,100,10379.1333383927,0
"2084/2085",2085,46,46,100,5680.36014195904,21
"2085/2086",2086,46,46,100,6147.95806191582,14
"2086/2087",2087,46,46,100,8769.66805208847,31
"2087/2088",2088,46,46,100,10894.7869884595,0
"2088/2089",2089,46,46,100,7560.53998797573,1
"2089/2090",2090,46,46,100,8409.78604384698,7
"2090/2091",2091,46,46,100,5903.56860873941,13
"2091/2092",2092,46,46,100,8276.85053871013,5
"2092/2093",2093,46,46,100,7395.6708207,4
"2093/2094",2094,46,46,100,9038.42640858795,10
"2094/2095",2095,46,46,100,4185.66599964164,42
"2095/2096",2096,46,46,100,10485.426486196,8
"2096/2097",2097,46,46,100,4691.53288319055,24
"2097/2098",2098,46,46,100,7042.51308033336,1
"2098/2099",2099,46,46,100,8171.08294873312,1
"2099/2100",2100,46,46,100,8440.01327178441,3
