"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,8041.01348917032,0
"2001/2002",2002,46,46,100,4230.87582240213,20
"2002/2003",2003,46,46,100,6769.51648313648,1
"2003/2004",2004,46,46,100,5868.96500989731,35
"2004/2005",2005,46,46,100,6493.81825304561,23
"2005/2006",2006,46,46,100,7385.09807799273,44
"2006/2007",2007,46,46,100,7444.90572905942,5
"2007/2008",2008,46,46,100,7786.35730901046,0
"2008/2009",2009,46,46,100,7787.62924528692,21
"2009/2010",2010,46,46,100,7922.28815833968,1
"2010/2011",2011,46,46,100,8095.20068433112,1
"2011/2012",2012,46,46,100,7113.39125623181,39
"2012/2013",2013,46,46,100,8320.67080121243,3
"2013/2014",2014,46,46,100,5122.94513111666,24
"2014/2015",2015,46,46,100,4765.96495812107,41
"2015/2016",2016,46,46,100,5793.03652836697,25
"2016/2017",2017,46,46,100,5608.01414311468,4
"2017/2018",2018,46,46,100,7061.84047446563,18
"2018/2019",2019,46,46,100,5007.75195738976,35
"2019/2020",2020,46,46,100,9304.56129266741,0
"2020/2021",2021,46,46,100,8652.46888419101,16
"2021/2022",2022,46,46,100,10593.0521937802,27
"2022/2023",2023,46,46,100,8132.42648286372,0
"2023/2024",2024,46,46,100,6021.90091623669,2
"2024/2025",2025,46,46,100,6229.43674446363,23
"2025/2026",2026,46,46,100,8284.51486773742,2
"2026/2027",2027,46,46,100,7714.42695399327,22
"2027/2028",2028,46,46,100,8044.10884734313,0
"2028/2029",2029,46,46,100,9359.61978860246,0
"2029/2030",2030,46,46,100,6439.95312294853,7
"2030/2031",2031,46,46,100,5726.93775280844,10
"2031/2032",2032,46,46,100,5926.04160563694,3
"2032/2033",2033,46,46,100,6924.45542220864,1
"2033/2034",2034,46,46,100,8431.00039999932,2
"2034/2035",2035,46,46,100,6721.72266124468,26
"2035/2036",2036,46,46,100,7515.06145188864,8
"2036/2037",2037,46,46,100,5466.64738781657,29
"2037/2038",2038,46,46,100,6941.86281151138,1
"2038/2039",2039,46,46,100,3712.38498383807,12
"2039/2040",2040,46,46,100,5985.48689151555,5
"2040/2041",2041,46,46,100,6352.41274687089,45
"2041/2042",2042,46,46,100,7205.21515640849,13
"2042/2043",2043,46,46,100,7137.67742201127,6
"2043/2044",2044,46,46,100,8640.31384820584,2
"2044/2045",2045,46,46,100,6333.64608575078,5
"2045/2046",2046,46,46,100,5991.37801144039,13
"2046/2047",2047,46,46,100,8164.12722405465,0
"2047/2048",2048,46,46,100,8118.53217046987,7
"2048/2049",2049,46,46,100,6090.55027909623,11
"2049/2050",2050,46,46,100,8787.7367838514,3
"2050/2051",2051,46,46,100,4985.4541256316,6
"2051/2052",2052,46,46,100,4535.43525597174,9
"2052/2053",2053,46,46,100,6550.36655711615,1
"2053/2054",2054,46,46,100,6324.16762317903,4
"2054/2055",2055,46,46,100,7415.64846853772,4
"2055/2056",2056,46,46,100,9173.85034337407,0
"2056/2057",2057,46,46,100,7070.72289307695,10
"2057/2058",2058,46,46,100,9186.85618158476,0
"2058/2059",2059,46,46,100,7831.60565787042,0
"2059/2060",2060,46,46,100,8107.54986504838,0
"2060/2061",2061,46,46,100,5996.53650772199,11
"2061/2062",2062,46,46,100,8033.64209989924,0
"2062/2063",2063,46,46,100,6610.73323880881,12
"2063/2064",2064,46,46,100,4860.41623435263,51
"2064/2065",2065,46,46,100,9254.07794689201,0
"2065/2066",2066,46,46,100,9206.3971289359,6
"2066/2067",2067,46,46,100,6920.78008755948,3
"2067/2068",2068,46,46,100,10239.0999063151,1
"2068/2069",2069,46,46,100,7991.07719646487,3
"2069/2070",2070,46,46,100,7059.33337501623,25
"2070/2071",2071,46,46,100,6338.78864254989,7
"2071/2072",2072,46,46,100,5411.54694765992,31
"2072/2073",2073,46,46,100,7123.33984969184,1
"2073/2074",2074,46,46,100,8430.47023565508,11
"2074/2075",2075,46,46,100,9175.66715094913,0
"2075/2076",2076,46,46,100,4884.13883183151,16
"2076/2077",2077,46,46,100,7170.08137719706,3
"2077/2078",2078,46,46,100,5389.47736958135,36
"2078/2079",2079,46,46,100,7122.44430524949,10
"2079/2080",2080,46,46,100,9303.78381750546,0
"2080/2081",2081,46,46,100,8309.07244835328,5
"2081/2082",2082,46,46,100,7704.24133144226,24
"2082/2083",2083,46,46,100,4540.75525039807,31
"2083/2084",2084,46,46,100,9782.62671599444,0
"2084/2085",2085,46,46,100,5186.79416027013,21
"2085/2086",2086,46,46,100,5646.78430440463,18
"2086/2087",2087,46,46,100,8307.4745667642,35
"2087/2088",2088,46,46,100,10370.0824383451,0
"2088/2089",2089,46,46,100,7027.77814983577,0
"2089/2090",2090,46,46,100,7898.26736524422,7
"2090/2091",2091,46,46,100,5434.21213357989,16
"2091/2092",2092,46,46,100,7779.48193584941,9
"2092/2093",2093,46,46,100,6890.80578430742,4
"2093/2094",2094,46,46,100,8566.13763887528,11
"2094/2095",2095,46,46,100,3775.21494014375,57
"2095/2096",2096,46,46,100,10081.6075126324,9
"2096/2097",2097,46,46,100,4268.31478424557,32
"2097/2098",2098,46,46,100,6504.00028544944,4
"2098/2099",2099,46,46,100,7650.13370562065,1
"2099/2100",2100,46,46,100,7941.59169959836,4
