"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,8362.10177761509,0
"2001/2002",2002,46,46,100,4470.17366771505,16
"2002/2003",2003,46,46,100,7089.2667866241,1
"2003/2004",2004,46,46,100,6122.58911921579,31
"2004/2005",2005,46,46,100,6781.15357337339,22
"2005/2006",2006,46,46,100,7676.61259781406,35
"2006/2007",2007,46,46,100,7782.88556605158,5
"2007/2008",2008,46,46,100,8113.75217543088,0
"2008/2009",2009,46,46,100,8165.06837217556,19
"2009/2010",2010,46,46,100,8233.36051070911,0
"2010/2011",2011,46,46,100,8454.5201517375,0
"2011/2012",2012,46,46,100,7379.67067631008,32
"2012/2013",2013,46,46,100,8671.16548942018,2
"2013/2014",2014,46,46,100,5396.04514335189,17
"2014/2015",2015,46,46,100,4999.92823740724,31
"2015/2016",2016,46,46,100,6055.63045654981,18
"2016/2017",2017,46,46,100,5872.36350152153,0
"2017/2018",2018,46,46,100,7342.77158379694,14
"2018/2019",2019,46,46,100,5293.58769073314,33
"2019/2020",2020,46,46,100,9644.77133271401,0
"2020/2021",2021,46,46,100,8939.14883120637,14
"2021/2022",2022,46,46,100,10958.2040912868,26
"2022/2023",2023,46,46,100,8484.53693669569,0
"2023/2024",2024,46,46,100,6292.51242960244,0
"2024/2025",2025,46,46,100,6539.75659354869,18
"2025/2026",2026,46,46,100,8626.26293412945,2
"2026/2027",2027,46,46,100,8045.5253883719,17
"2027/2028",2028,46,46,100,8376.65086417831,0
"2028/2029",2029,46,46,100,9710.81269400287,0
"2029/2030",2030,46,46,100,6789.36863945052,6
"2030/2031",2031,46,46,100,6033.67270044237,8
"2031/2032",2032,46,46,100,6236.60231327079,2
"2032/2033",2033,46,46,100,7241.50457065413,0
"2033/2034",2034,46,46,100,8736.21047614748,0
"2034/2035",2035,46,46,100,6969.65374922939,22
"2035/2036",2036,46,46,100,7858.50837425701,8
"2036/2037",2037,46,46,100,5765.04811420385,26
"2037/2038",2038,46,46,100,7265.92998096161,1
"2038/2039",2039,46,46,100,3949.30839236546,8
"2039/2040",2040,46,46,100,6324.38707389496,5
"2040/2041",2041,46,46,100,6668.02628200967,40
"2041/2042",2042,46,46,100,7507.3509375127,10
"2042/2043",2043,46,46,100,7426.5928572421,5
"2043/2044",2044,46,46,100,9006.24313133443,1
"2044/2045",2045,46,46,100,6638.72982844897,3
"2045/2046",2046,46,46,100,6288.96857994748,12
"2046/2047",2047,46,46,100,8472.86003286671,0
"2047/2048",2048,46,46,100,8390.53003562242,7
"2048/2049",2049,46,46,100,6396.66878366517,10
"2049/2050",2050,46,46,100,9072.10069998121,0
"2050/2051",2051,46,46,100,5310.03134472203,4
"2051/2052",2052,46,46,100,4785.74477654183,7
"2052/2053",2053,46,46,100,6939.11996728927,0
"2053/2054",2054,46,46,100,6670.65046188049,4
"2054/2055",2055,46,46,100,7768.34552632552,4
"2055/2056",2056,46,46,100,9524.12199677993,0
"2056/2057",2057,46,46,100,7395.13370521925,8
"2057/2058",2058,46,46,100,9532.47583065182,0
"2058/2059",2059,46,46,100,8123.1094527524,0
"2059/2060",2060,46,46,100,8461.20705421828,0
"2060/2061",2061,46,46,100,6344.86663924064,10
"2061/2062",2062,46,46,100,8389.7900134474,0
"2062/2063",2063,46,46,100,6882.3984393701,6
"2063/2064",2064,46,46,100,5148.6162945535,47
"2064/2065",2065,46,46,100,9603.30676355865,0
"2065/2066",2066,46,46,100,9556.85933516547,5
"2066/2067",2067,46,46,100,7242.91282214876,1
"2067/2068",2068,46,46,100,10569.536282273,1
"2068/2069",2069,46,46,100,8358.98868350778,2
"2069/2070",2070,46,46,100,7346.71915648226,19
"2070/2071",2071,46,46,100,6649.82501901686,6
"2071/2072",2072,46,46,100,5717.58962144237,27
"2072/2073",2073,46,46,100,7443.4973518895,0
"2073/2074",2074,46,46,100,8737.76865981985,8
"2074/2075",2075,46,46,100,9501.59679580107,0
"2075/2076",2076,46,46,100,5164.50452397671,10
"2076/2077",2077,46,46,100,7504.498338921,1
"2077/2078",2078,46,46,100,5683.4264836926,31
"2078/2079",2079,46,46,100,7412.28622238897,5
"2079/2080",2080,46,46,100,9676.95219918713,0
"2080/2081",2081,46,46,100,8697.12104824465,5
"2081/2082",2082,46,46,100,8024.8714053696,22
"2082/2083",2083,46,46,100,4839.98642508127,28
"2083/2084",2084,46,46,100,10174.4882522272,0
"2084/2085",2085,46,46,100,5499.8436316438,21
"2085/2086",2086,46,46,100,5987.82520381082,16
"2086/2087",2087,46,46,100,8630.14826693572,34
"2087/2088",2088,46,46,100,10719.6895697145,0
"2088/2089",2089,46,46,100,7372.78370528389,0
"2089/2090",2090,46,46,100,8237.6492053289,7
"2090/2091",2091,46,46,100,5762.82504033949,14
"2091/2092",2092,46,46,100,8109.64322763029,5
"2092/2093",2093,46,46,100,7218.02249729726,3
"2093/2094",2094,46,46,100,8894.62486269511,11
"2094/2095",2095,46,46,100,4049.78419100121,44
"2095/2096",2096,46,46,100,10326.0171347512,7
"2096/2097",2097,46,46,100,4520.75783344638,24
"2097/2098",2098,46,46,100,6855.42816999555,0
"2098/2099",2099,46,46,100,7984.5881732069,0
"2099/2100",2100,46,46,100,8244.57367005479,2
