"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,6905.09514370328,2
"2001/2002",2002,46,46,100,3428.32997460823,40
"2002/2003",2003,46,46,100,5691.1088792349,10
"2003/2004",2004,46,46,100,4884.64556049512,47
"2004/2005",2005,46,46,100,5438.38594346499,31
"2005/2006",2006,46,46,100,6355.89964024408,58
"2006/2007",2007,46,46,100,6275.38821482152,13
"2007/2008",2008,46,46,100,6552.01231646712,1
"2008/2009",2009,46,46,100,6625.76387531252,30
"2009/2010",2010,46,46,100,6782.85726344911,3
"2010/2011",2011,46,46,100,6817.94989187398,2
"2011/2012",2012,46,46,100,6140.09034871124,63
"2012/2013",2013,46,46,100,7064.46784163371,4
"2013/2014",2014,46,46,100,4161.76714347058,44
"2014/2015",2015,46,46,100,3895.54945354548,68
"2015/2016",2016,46,46,100,4760.07309845462,35
"2016/2017",2017,46,46,100,4597.68366162188,15
"2017/2018",2018,46,46,100,6033.5543035015,36
"2018/2019",2019,46,46,100,4020.62242267583,60
"2019/2020",2020,46,46,100,8082.67930821213,0
"2020/2021",2021,46,46,100,7515.32738827402,25
"2021/2022",2022,46,46,100,9287.85514845699,32
"2022/2023",2023,46,46,100,6876.9486189608,1
"2023/2024",2024,46,46,100,5029.54558515246,13
"2024/2025",2025,46,46,100,5246.48183424049,42
"2025/2026",2026,46,46,100,7020.23130282387,6
"2026/2027",2027,46,46,100,6592.46332661272,39
"2027/2028",2028,46,46,100,6827.60335820937,1
"2028/2029",2029,46,46,100,8123.38407478109,1
"2029/2030",2030,46,46,100,5260.47479931568,16
"2030/2031",2031,46,46,100,4728.59535234142,16
"2031/2032",2032,46,46,100,4794.44202642399,8
"2032/2033",2033,46,46,100,5750.16338329902,7
"2033/2034",2034,46,46,100,7317.37816343922,5
"2034/2035",2035,46,46,100,5845.37332433602,38
"2035/2036",2036,46,46,100,6293.11853832193,8
"2036/2037",2037,46,46,100,4513.05071773147,39
"2037/2038",2038,46,46,100,5837.65322450083,5
"2038/2039",2039,46,46,100,2877.7828150983,39
"2039/2040",2040,46,46,100,4872.62155130692,8
"2040/2041",2041,46,46,100,5242.78167862818,61
"2041/2042",2042,46,46,100,6076.4699987541,23
"2042/2043",2043,46,46,100,6165.95764082298,21
"2043/2044",2044,46,46,100,7307.77129828231,9
"2044/2045",2045,46,46,100,5234.36000902252,14
"2045/2046",2046,46,46,100,4939.64625893347,18
"2046/2047",2047,46,46,100,7063.98524624109,5
"2047/2048",2048,46,46,100,7092.14032116486,13
"2048/2049",2049,46,46,100,5114.5999054946,31
"2049/2050",2050,46,46,100,7597.78366841516,15
"2050/2051",2051,46,46,100,3902.05712504406,18
"2051/2052",2052,46,46,100,3604.20658944501,12
"2052/2053",2053,46,46,100,5341.89745411836,3
"2053/2054",2054,46,46,100,5131.78653924493,11
"2054/2055",2055,46,46,100,6192.51870782627,8
"2055/2056",2056,46,46,100,7926.76303477678,2
"2056/2057",2057,46,46,100,5962.21261406271,15
"2057/2058",2058,46,46,100,8032.36256426945,0
"2058/2059",2059,46,46,100,6697.24445809377,2
"2059/2060",2060,46,46,100,6852.24734346848,1
"2060/2061",2061,46,46,100,4906.9678198183,17
"2061/2062",2062,46,46,100,6811.99513376039,2
"2062/2063",2063,46,46,100,5594.52902386943,31
"2063/2064",2064,46,46,100,3943.051322944,73
"2064/2065",2065,46,46,100,8032.57445984147,5
"2065/2066",2066,46,46,100,7923.37076411024,9
"2066/2067",2067,46,46,100,5722.79965242092,10
"2067/2068",2068,46,46,100,9091.13662940264,6
"2068/2069",2069,46,46,100,6791.94945716951,7
"2069/2070",2070,46,46,100,6112.77843312267,43
"2070/2071",2071,46,46,100,5214.48855819926,17
"2071/2072",2072,46,46,100,4463.81980934367,57
"2072/2073",2073,46,46,100,6014.61261246167,12
"2073/2074",2074,46,46,100,7269.66613595933,21
"2074/2075",2075,46,46,100,7959.73075651471,0
"2075/2076",2076,46,46,100,3927.70193833951,26
"2076/2077",2077,46,46,100,5951.37650574092,5
"2077/2078",2078,46,46,100,4461.51386445947,55
"2078/2079",2079,46,46,100,5996.69117059186,22
"2079/2080",2080,46,46,100,8031.17484244052,1
"2080/2081",2081,46,46,100,7068.33605955914,6
"2081/2082",2082,46,46,100,6514.34934029635,34
"2082/2083",2083,46,46,100,3615.53942108527,52
"2083/2084",2084,46,46,100,8429.60626675282,2
"2084/2085",2085,46,46,100,4128.58985223994,29
"2085/2086",2086,46,46,100,4546.4037132496,25
"2086/2087",2087,46,46,100,7198.80753129721,47
"2087/2088",2088,46,46,100,9126.7378830323,0
"2088/2089",2089,46,46,100,5853.30823692121,4
"2089/2090",2090,46,46,100,6721.71846643742,9
"2090/2091",2091,46,46,100,4376.30731758475,39
"2091/2092",2092,46,46,100,6643.01260104217,17
"2092/2093",2093,46,46,100,5830.25976812467,7
"2093/2094",2094,46,46,100,7415.44314426742,14
"2094/2095",2095,46,46,100,2940.15092491917,98
"2095/2096",2096,46,46,100,9031.74665304087,15
"2096/2097",2097,46,46,100,3389.9932005275,59
"2097/2098",2098,46,46,100,5342.10802197736,10
"2098/2099",2099,46,46,100,6509.76821634825,9
"2099/2100",2100,46,46,100,6880.78926138207,9
