"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,6620.97558762533,1
"2001/2002",2002,46,46,100,3253.66411243111,52
"2002/2003",2003,46,46,100,5432.08387846273,12
"2003/2004",2004,46,46,100,4689.76734552777,61
"2004/2005",2005,46,46,100,5122.74001917202,30
"2005/2006",2006,46,46,100,6211.45637138677,80
"2006/2007",2007,46,46,100,6009.76569060661,15
"2007/2008",2008,46,46,100,6170.46746053325,0
"2008/2009",2009,46,46,100,6386.16822099278,41
"2009/2010",2010,46,46,100,6509.04742068215,9
"2010/2011",2011,46,46,100,6543.73749325925,3
"2011/2012",2012,46,46,100,5995.88469904743,72
"2012/2013",2013,46,46,100,6716.2898405568,7
"2013/2014",2014,46,46,100,4065.66132987326,58
"2014/2015",2015,46,46,100,3484.2034191268,62
"2015/2016",2016,46,46,100,4497.45050571684,45
"2016/2017",2017,46,46,100,4395.88375432999,11
"2017/2018",2018,46,46,100,5841.83578825975,55
"2018/2019",2019,46,46,100,3737.04869877826,55
"2019/2020",2020,46,46,100,7798.86518981075,0
"2020/2021",2021,46,46,100,7358.59172557807,49
"2021/2022",2022,46,46,100,9055.70337325614,38
"2022/2023",2023,46,46,100,6620.73384860414,5
"2023/2024",2024,46,46,100,4757.27757498762,20
"2024/2025",2025,46,46,100,4907.11348381732,47
"2025/2026",2026,46,46,100,6715.98671442783,8
"2026/2027",2027,46,46,100,6167.42370843678,35
"2027/2028",2028,46,46,100,6416.56166108651,0
"2028/2029",2029,46,46,100,7912.82895513508,4
"2029/2030",2030,46,46,100,4951.14253392722,19
"2030/2031",2031,46,46,100,4661.79317741375,25
"2031/2032",2032,46,46,100,4398.06911910698,6
"2032/2033",2033,46,46,100,5451.13040715037,4
"2033/2034",2034,46,46,100,7114.09339526389,8
"2034/2035",2035,46,46,100,5455.91617832845,35
"2035/2036",2036,46,46,100,6103.34104579128,9
"2036/2037",2037,46,46,100,4493.5599816246,54
"2037/2038",2038,46,46,100,5599.72113451082,9
"2038/2039",2039,46,46,100,2568.16414137371,28
"2039/2040",2040,46,46,100,4655.6224240372,12
"2040/2041",2041,46,46,100,4886.71460148832,60
"2041/2042",2042,46,46,100,5973.21522126347,41
"2042/2043",2043,46,46,100,5921.18879864551,23
"2043/2044",2044,46,46,100,6968.84585770965,7
"2044/2045",2045,46,46,100,5099.86419727327,23
"2045/2046",2046,46,46,100,4677.61192022217,23
"2046/2047",2047,46,46,100,6700.14191859309,5
"2047/2048",2048,46,46,100,6769.82514112536,16
"2048/2049",2049,46,46,100,4999.38990577497,40
"2049/2050",2050,46,46,100,7301.79748626193,22
"2050/2051",2051,46,46,100,3607.31501187105,16
"2051/2052",2052,46,46,100,3419.32493898598,21
"2052/2053",2053,46,46,100,5104.56199862016,5
"2053/2054",2054,46,46,100,5050.30752005521,24
"2054/2055",2055,46,46,100,5756.83158945944,7
"2055/2056",2056,46,46,100,7569.40510074329,0
"2056/2057",2057,46,46,100,5794.2903140299,18
"2057/2058",2058,46,46,100,7720.11083781719,2
"2058/2059",2059,46,46,100,6461.80737804482,6
"2059/2060",2060,46,46,100,6629.92343556974,4
"2060/2061",2061,46,46,100,4776.76178079331,20
"2061/2062",2062,46,46,100,6495.31813881034,0
"2062/2063",2063,46,46,100,5428.93767965538,49
"2063/2064",2064,46,46,100,3697.98578182608,76
"2064/2065",2065,46,46,100,7689.47192171402,3
"2065/2066",2066,46,46,100,7757.98893746827,15
"2066/2067",2067,46,46,100,5366.36431395449,7
"2067/2068",2068,46,46,100,8671.99543471634,5
"2068/2069",2069,46,46,100,6539.23695240915,10
"2069/2070",2070,46,46,100,5693.79745854065,42
"2070/2071",2071,46,46,100,4943.50490493141,23
"2071/2072",2072,46,46,100,4220.33802914526,62
"2072/2073",2073,46,46,100,5782.56547971349,4
"2073/2074",2074,46,46,100,7093.1449411558,30
"2074/2075",2075,46,46,100,7666.14512353577,0
"2075/2076",2076,46,46,100,3797.77432281058,47
"2076/2077",2077,46,46,100,5728.53455004282,11
"2077/2078",2078,46,46,100,4424.36189851351,77
"2078/2079",2079,46,46,100,5541.86426794156,24
"2079/2080",2080,46,46,100,7761.41503635328,4
"2080/2081",2081,46,46,100,6800.98205571529,8
"2081/2082",2082,46,46,100,6325.78172447998,38
"2082/2083",2083,46,46,100,3395.37299990281,58
"2083/2084",2084,46,46,100,8076.56273594592,1
"2084/2085",2085,46,46,100,3965.59777257591,35
"2085/2086",2086,46,46,100,4458.37465220038,43
"2086/2087",2087,46,46,100,7112.73364149686,56
"2087/2088",2088,46,46,100,8787.53567609191,3
"2088/2089",2089,46,46,100,5682.12344573438,5
"2089/2090",2090,46,46,100,6474.36809231527,11
"2090/2091",2091,46,46,100,4387.15207908582,63
"2091/2092",2092,46,46,100,6365.92080749944,22
"2092/2093",2093,46,46,100,5583.0299674375,6
"2093/2094",2094,46,46,100,7138.88483081944,19
"2094/2095",2095,46,46,100,2877.0566506153,124
"2095/2096",2096,46,46,100,8575.19180787541,13
"2096/2097",2097,46,46,100,3223.09941341262,64
"2097/2098",2098,46,46,100,5126.09810197353,8
"2098/2099",2099,46,46,100,6247.31975676864,11
"2099/2100",2100,46,46,100,6512.02453461848,7
