"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7594.47935309539,0
"2001/2002",2002,46,46,100,3957.1345741339,26
"2002/2003",2003,46,46,100,6394.74419434741,3
"2003/2004",2004,46,46,100,5506.30209677707,45
"2004/2005",2005,46,46,100,6064.91086710425,24
"2005/2006",2006,46,46,100,7069.93018417276,54
"2006/2007",2007,46,46,100,7027.00924723624,8
"2007/2008",2008,46,46,100,7287.97728793253,0
"2008/2009",2009,46,46,100,7426.63599205238,26
"2009/2010",2010,46,46,100,7471.53079063352,1
"2010/2011",2011,46,46,100,7648.01780452824,2
"2011/2012",2012,46,46,100,6783.29413204757,48
"2012/2013",2013,46,46,100,7829.04377673822,4
"2013/2014",2014,46,46,100,4845.54469023924,34
"2014/2015",2015,46,46,100,4355.44644911517,46
"2015/2016",2016,46,46,100,5385.70400385885,27
"2016/2017",2017,46,46,100,5236.58242871822,6
"2017/2018",2018,46,46,100,6689.43756549852,30
"2018/2019",2019,46,46,100,4640.57537502679,43
"2019/2020",2020,46,46,100,8820.68096326967,0
"2020/2021",2021,46,46,100,8240.9740740878,24
"2021/2022",2022,46,46,100,10157.5342140412,32
"2022/2023",2023,46,46,100,7694.44389386452,0
"2023/2024",2024,46,46,100,5627.38453508914,6
"2024/2025",2025,46,46,100,5838.44186671055,27
"2025/2026",2026,46,46,100,7811.72904101457,4
"2026/2027",2027,46,46,100,7264.47071802616,26
"2027/2028",2028,46,46,100,7561.06467917166,0
"2028/2029",2029,46,46,100,8951.13265964971,0
"2029/2030",2030,46,46,100,6016.86490502162,11
"2030/2031",2031,46,46,100,5453.22609842243,15
"2031/2032",2032,46,46,100,5433.99356614659,3
"2032/2033",2033,46,46,100,6488.21224671835,1
"2033/2034",2034,46,46,100,8024.50459175929,3
"2034/2035",2035,46,46,100,6279.31923489179,27
"2035/2036",2036,46,46,100,7097.55649279431,8
"2036/2037",2037,46,46,100,5255.55211100029,37
"2037/2038",2038,46,46,100,6569.25087803928,2
"2038/2039",2039,46,46,100,3363.34096852969,16
"2039/2040",2040,46,46,100,5623.68215873325,7
"2040/2041",2041,46,46,100,5916.09417337412,50
"2041/2042",2042,46,46,100,6851.74970968394,19
"2042/2043",2043,46,46,100,6773.88958683563,13
"2043/2044",2044,46,46,100,8139.17596711125,3
"2044/2045",2045,46,46,100,5991.23291173112,11
"2045/2046",2046,46,46,100,5571.36410782207,17
"2046/2047",2047,46,46,100,7692.13367627887,2
"2047/2048",2048,46,46,100,7655.97690621251,10
"2048/2049",2049,46,46,100,5806.03952762531,21
"2049/2050",2050,46,46,100,8313.45593000529,7
"2050/2051",2051,46,46,100,4580.64063724084,9
"2051/2052",2052,46,46,100,4201.89190730406,10
"2052/2053",2053,46,46,100,6185.33281896403,2
"2053/2054",2054,46,46,100,5994.52054013358,9
"2054/2055",2055,46,46,100,6923.63758152165,6
"2055/2056",2056,46,46,100,8690.39587144181,0
"2056/2057",2057,46,46,100,6708.53581954958,13
"2057/2058",2058,46,46,100,8737.15123611782,0
"2058/2059",2059,46,46,100,7408.1776228277,0
"2059/2060",2060,46,46,100,7677.23384529725,0
"2060/2061",2061,46,46,100,5693.55513214879,14
"2061/2062",2062,46,46,100,7585.1224269839,0
"2062/2063",2063,46,46,100,6247.80685819685,22
"2063/2064",2064,46,46,100,4528.31349977013,61
"2064/2065",2065,46,46,100,8777.47667595558,0
"2065/2066",2066,46,46,100,8783.77489688247,8
"2066/2067",2067,46,46,100,6452.10511494149,3
"2067/2068",2068,46,46,100,9739.10169587284,4
"2068/2069",2069,46,46,100,7578.65933359135,5
"2069/2070",2070,46,46,100,6619.27416309807,32
"2070/2071",2071,46,46,100,5915.91534416284,8
"2071/2072",2072,46,46,100,5099.52080332953,41
"2072/2073",2073,46,46,100,6752.58019895945,2
"2073/2074",2074,46,46,100,8021.64754145034,15
"2074/2075",2075,46,46,100,8677.85355074704,0
"2075/2076",2076,46,46,100,4591.69594410341,20
"2076/2077",2077,46,46,100,6754.56733968016,4
"2077/2078",2078,46,46,100,5178.32244423404,51
"2078/2079",2079,46,46,100,6626.11625296436,10
"2079/2080",2080,46,46,100,8866.19922562782,0
"2080/2081",2081,46,46,100,7905.72956354637,6
"2081/2082",2082,46,46,100,7322.25758955628,29
"2082/2083",2083,46,46,100,4253.42421569955,41
"2083/2084",2084,46,46,100,9285.21845780313,0
"2084/2085",2085,46,46,100,4876.22107700817,26
"2085/2086",2086,46,46,100,5368.89900130499,24
"2086/2087",2087,46,46,100,7995.93593311869,41
"2087/2088",2088,46,46,100,9893.49978497345,0
"2088/2089",2089,46,46,100,6678.40039144456,3
"2089/2090",2090,46,46,100,7479.96124023013,8
"2090/2091",2091,46,46,100,5222.45275623817,31
"2091/2092",2092,46,46,100,7347.93069952633,13
"2092/2093",2093,46,46,100,6529.49859650247,5
"2093/2094",2094,46,46,100,8131.48750786576,13
"2094/2095",2095,46,46,100,3590.68968553003,80
"2095/2096",2096,46,46,100,9579.0907478435,10
"2096/2097",2097,46,46,100,3986.80935849063,47
"2097/2098",2098,46,46,100,6135.68695386034,4
"2098/2099",2099,46,46,100,7253.46427206974,4
"2099/2100",2100,46,46,100,7527.22905016597,5
