"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,6958.1186406321,2
"2001/2002",2002,46,46,100,3480.96969807135,37
"2002/2003",2003,46,46,100,5757.55637358516,7
"2003/2004",2004,46,46,100,4969.27245288732,48
"2004/2005",2005,46,46,100,5520.07139966084,31
"2005/2006",2006,46,46,100,6450.0694406773,61
"2006/2007",2007,46,46,100,6354.80659485853,10
"2007/2008",2008,46,46,100,6651.79911127745,1
"2008/2009",2009,46,46,100,6691.05488986068,27
"2009/2010",2010,46,46,100,6856.55931375863,3
"2010/2011",2011,46,46,100,6924.95211048087,2
"2011/2012",2012,46,46,100,6208.87809798843,64
"2012/2013",2013,46,46,100,7145.04785447672,4
"2013/2014",2014,46,46,100,4244.0999707256,40
"2014/2015",2015,46,46,100,3936.97489585634,65
"2015/2016",2016,46,46,100,4843.77243116684,37
"2016/2017",2017,46,46,100,4690.27214929496,14
"2017/2018",2018,46,46,100,6111.66397470632,35
"2018/2019",2019,46,46,100,4088.1408088922,52
"2019/2020",2020,46,46,100,8173.46274717385,0
"2020/2021",2021,46,46,100,7609.50208857586,25
"2021/2022",2022,46,46,100,9404.03335207142,32
"2022/2023",2023,46,46,100,6974.58595429175,0
"2023/2024",2024,46,46,100,5100.18521636794,11
"2024/2025",2025,46,46,100,5270.14373215754,36
"2025/2026",2026,46,46,100,7118.36398176826,5
"2026/2027",2027,46,46,100,6663.98432050436,33
"2027/2028",2028,46,46,100,6925.62312932103,2
"2028/2029",2029,46,46,100,8216.46658852347,0
"2029/2030",2030,46,46,100,5330.39906005585,13
"2030/2031",2031,46,46,100,4822.82229068805,15
"2031/2032",2032,46,46,100,4868.07308758073,9
"2032/2033",2033,46,46,100,5855.24747150019,10
"2033/2034",2034,46,46,100,7389.81051216228,5
"2034/2035",2035,46,46,100,5847.98406974971,35
"2035/2036",2036,46,46,100,6397.72333408613,8
"2036/2037",2037,46,46,100,4597.58677594271,38
"2037/2038",2038,46,46,100,5915.59898787504,2
"2038/2039",2039,46,46,100,2926.99284973601,37
"2039/2040",2040,46,46,100,4960.89475892624,7
"2040/2041",2041,46,46,100,5294.78213885194,59
"2041/2042",2042,46,46,100,6173.93131723534,21
"2042/2043",2043,46,46,100,6214.94444906479,20
"2043/2044",2044,46,46,100,7404.21668456774,8
"2044/2045",2045,46,46,100,5332.16088787839,13
"2045/2046",2046,46,46,100,4986.78052407596,17
"2046/2047",2047,46,46,100,7129.62985249376,4
"2047/2048",2048,46,46,100,7141.44314286811,11
"2048/2049",2049,46,46,100,5163.16382987332,27
"2049/2050",2050,46,46,100,7694.22646338213,11
"2050/2051",2051,46,46,100,3963.84880492883,17
"2051/2052",2052,46,46,100,3677.83269789908,12
"2052/2053",2053,46,46,100,5421.65472766478,2
"2053/2054",2054,46,46,100,5239.48247169238,9
"2054/2055",2055,46,46,100,6280.15216965694,7
"2055/2056",2056,46,46,100,8018.26284414204,2
"2056/2057",2057,46,46,100,6039.96434841584,14
"2057/2058",2058,46,46,100,8080.79494796414,0
"2058/2059",2059,46,46,100,6788.97125619231,2
"2059/2060",2060,46,46,100,6948.76099465741,0
"2060/2061",2061,46,46,100,4976.8851280543,16
"2061/2062",2062,46,46,100,6882.63885097811,3
"2062/2063",2063,46,46,100,5684.04116377467,33
"2063/2064",2064,46,46,100,3964.19720634818,67
"2064/2065",2065,46,46,100,8109.28003958892,7
"2065/2066",2066,46,46,100,8022.12612669356,8
"2066/2067",2067,46,46,100,5815.93741060887,11
"2067/2068",2068,46,46,100,9130.82609189767,5
"2068/2069",2069,46,46,100,6857.74725938495,5
"2069/2070",2070,46,46,100,6120.36687845271,42
"2070/2071",2071,46,46,100,5286.6094955029,13
"2071/2072",2072,46,46,100,4513.40844899509,49
"2072/2073",2073,46,46,100,6095.86763050966,12
"2073/2074",2074,46,46,100,7353.47908541933,20
"2074/2075",2075,46,46,100,8048.27899978496,0
"2075/2076",2076,46,46,100,3985.18011491746,24
"2076/2077",2077,46,46,100,6045.10902286973,5
"2077/2078",2078,46,46,100,4537.17278868519,54
"2078/2079",2079,46,46,100,6080.25372222997,21
"2079/2080",2080,46,46,100,8105.50210260134,1
"2080/2081",2081,46,46,100,7140.98593380209,6
"2081/2082",2082,46,46,100,6621.27541918866,34
"2082/2083",2083,46,46,100,3674.84083742741,51
"2083/2084",2084,46,46,100,8517.32405083906,2
"2084/2085",2085,46,46,100,4227.83494995069,26
"2085/2086",2086,46,46,100,4643.03297553863,25
"2086/2087",2087,46,46,100,7278.89168659318,44
"2087/2088",2088,46,46,100,9225.98425945826,0
"2088/2089",2089,46,46,100,5953.84019615594,4
"2089/2090",2090,46,46,100,6792.18134423904,8
"2090/2091",2091,46,46,100,4484.35183568392,35
"2091/2092",2092,46,46,100,6708.90336231422,15
"2092/2093",2093,46,46,100,5874.91449295543,6
"2093/2094",2094,46,46,100,7490.63368554413,13
"2094/2095",2095,46,46,100,2998.61700511537,89
"2095/2096",2096,46,46,100,9125.3937631892,15
"2096/2097",2097,46,46,100,3457.85507145338,57
"2097/2098",2098,46,46,100,5421.39034472406,10
"2098/2099",2099,46,46,100,6583.5917044431,9
"2099/2100",2100,46,46,100,6959.68677796144,9
