"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7231.77649314049,1
"2001/2002",2002,46,46,100,3764.90672843966,47
"2002/2003",2003,46,46,100,6078.08284278492,12
"2003/2004",2004,46,46,100,5261.19435182764,54
"2004/2005",2005,46,46,100,5734.690787787,29
"2005/2006",2006,46,46,100,6784.10793489765,71
"2006/2007",2007,46,46,100,6679.85524657479,15
"2007/2008",2008,46,46,100,6896.1478884113,0
"2008/2009",2009,46,46,100,7053.52916787192,37
"2009/2010",2010,46,46,100,7093.59006396099,8
"2010/2011",2011,46,46,100,7256.50279766356,3
"2011/2012",2012,46,46,100,6522.10008391226,65
"2012/2013",2013,46,46,100,7405.06661838642,6
"2013/2014",2014,46,46,100,4650.99157206644,52
"2014/2015",2015,46,46,100,4095.2777335248,60
"2015/2016",2016,46,46,100,5111.06619758403,41
"2016/2017",2017,46,46,100,4979.9477567646,11
"2017/2018",2018,46,46,100,6384.90959959477,49
"2018/2019",2019,46,46,100,4366.50217206101,52
"2019/2020",2020,46,46,100,8389.2026527971,0
"2020/2021",2021,46,46,100,7908.93959063338,38
"2021/2022",2022,46,46,100,9715.33018270391,35
"2022/2023",2023,46,46,100,7333.72942658165,3
"2023/2024",2024,46,46,100,5345.53183246055,15
"2024/2025",2025,46,46,100,5503.93417396606,42
"2025/2026",2026,46,46,100,7423.84345670976,5
"2026/2027",2027,46,46,100,6856.53746911092,32
"2027/2028",2028,46,46,100,7139.96196234832,0
"2028/2029",2029,46,46,100,8569.65823438833,2
"2029/2030",2030,46,46,100,5664.49700191594,17
"2030/2031",2031,46,46,100,5182.6624228952,19
"2031/2032",2032,46,46,100,5060.82190437429,6
"2032/2033",2033,46,46,100,6136.5830796333,5
"2033/2034",2034,46,46,100,7684.89595385501,7
"2034/2035",2035,46,46,100,5942.77428744175,33
"2035/2036",2036,46,46,100,6738.94850960607,8
"2036/2037",2037,46,46,100,5039.55877322331,48
"2037/2038",2038,46,46,100,6262.55896449601,10
"2038/2039",2039,46,46,100,3127.46436162712,28
"2039/2040",2040,46,46,100,5287.94307199772,11
"2040/2041",2041,46,46,100,5585.10111257341,58
"2041/2042",2042,46,46,100,6565.41802149452,33
"2042/2043",2043,46,46,100,6459.16109318472,20
"2043/2044",2044,46,46,100,7713.74142790725,6
"2044/2045",2045,46,46,100,5723.8873695666,22
"2045/2046",2046,46,46,100,5243.24580076942,22
"2046/2047",2047,46,46,100,7296.00904209539,5
"2047/2048",2048,46,46,100,7277.65962168295,14
"2048/2049",2049,46,46,100,5562.89911480434,36
"2049/2050",2050,46,46,100,7972.45343298186,19
"2050/2051",2051,46,46,100,4244.64535212284,14
"2051/2052",2052,46,46,100,3975.89699036162,18
"2052/2053",2053,46,46,100,5806.74048836296,4
"2053/2054",2054,46,46,100,5692.03406209452,20
"2054/2055",2055,46,46,100,6480.52983820112,7
"2055/2056",2056,46,46,100,8264.32096053194,0
"2056/2057",2057,46,46,100,6390.98501634598,18
"2057/2058",2058,46,46,100,8331.72755609592,1
"2058/2059",2059,46,46,100,7073.70151642384,4
"2059/2060",2060,46,46,100,7300.90002430324,2
"2060/2061",2061,46,46,100,5393.50895484956,17
"2061/2062",2062,46,46,100,7188.89392557135,1
"2062/2063",2063,46,46,100,5977.69035570323,43
"2063/2064",2064,46,46,100,4266.63268646598,72
"2064/2065",2065,46,46,100,8356.09425619198,3
"2065/2066",2066,46,46,100,8417.70561241126,13
"2066/2067",2067,46,46,100,6083.48132109642,6
"2067/2068",2068,46,46,100,9288.06344158296,6
"2068/2069",2069,46,46,100,7203.11861907877,8
"2069/2070",2070,46,46,100,6243.93936138693,40
"2070/2071",2071,46,46,100,5604.54701018054,19
"2071/2072",2072,46,46,100,4825.71596393269,56
"2072/2073",2073,46,46,100,6441.90095157456,7
"2073/2074",2074,46,46,100,7677.4716578573,27
"2074/2075",2075,46,46,100,8266.24146314338,0
"2075/2076",2076,46,46,100,4387.51478846371,38
"2076/2077",2077,46,46,100,6431.60684621334,9
"2077/2078",2078,46,46,100,4961.93505468965,67
"2078/2079",2079,46,46,100,6255.23686842434,22
"2079/2080",2080,46,46,100,8465.70514221862,3
"2080/2081",2081,46,46,100,7502.86710606143,7
"2081/2082",2082,46,46,100,7027.31687713414,38
"2082/2083",2083,46,46,100,4004.24121141154,55
"2083/2084",2084,46,46,100,8820.82840343844,1
"2084/2085",2085,46,46,100,4611.20899525099,33
"2085/2086",2086,46,46,100,5098.46324383002,36
"2086/2087",2087,46,46,100,7718.44852221664,51
"2087/2088",2088,46,46,100,9436.93747996632,2
"2088/2089",2089,46,46,100,6376.64569887985,7
"2089/2090",2090,46,46,100,7110.51555844303,8
"2090/2091",2091,46,46,100,4994.63461257331,54
"2091/2092",2092,46,46,100,6973.93498621229,17
"2092/2093",2093,46,46,100,6216.05711264163,6
"2093/2094",2094,46,46,100,7724.50451227836,17
"2094/2095",2095,46,46,100,3425.80489104893,111
"2095/2096",2096,46,46,100,9116.59725305438,13
"2096/2097",2097,46,46,100,3772.31743792444,59
"2097/2098",2098,46,46,100,5804.77395600826,7
"2098/2099",2099,46,46,100,6913.58974306937,12
"2099/2100",2100,46,46,100,7164.4309816733,9
