"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,6613.00395618371,3
"2001/2002",2002,46,46,100,3251.86454057062,48
"2002/2003",2003,46,46,100,5443.75026014516,12
"2003/2004",2004,46,46,100,4668.69638623623,53
"2004/2005",2005,46,46,100,5168.03870698431,31
"2005/2006",2006,46,46,100,6149.93396237859,71
"2006/2007",2007,46,46,100,6001.08509229356,17
"2007/2008",2008,46,46,100,6235.43920186447,1
"2008/2009",2009,46,46,100,6367.4403596489,35
"2009/2010",2010,46,46,100,6499.21428885451,5
"2010/2011",2011,46,46,100,6534.03607959673,3
"2011/2012",2012,46,46,100,5931.07606632099,68
"2012/2013",2013,46,46,100,6752.79974076711,5
"2013/2014",2014,46,46,100,3997.36710230599,51
"2014/2015",2015,46,46,100,3626.3317028227,72
"2015/2016",2016,46,46,100,4514.94261272077,41
"2016/2017",2017,46,46,100,4375.74268632324,15
"2017/2018",2018,46,46,100,5802.156932818,46
"2018/2019",2019,46,46,100,3787.67052521068,62
"2019/2020",2020,46,46,100,7778.67878757627,0
"2020/2021",2021,46,46,100,7272.78472526721,32
"2021/2022",2022,46,46,100,9003.63332553441,35
"2022/2023",2023,46,46,100,6597.23039397877,2
"2023/2024",2024,46,46,100,4783.44237077539,17
"2024/2025",2025,46,46,100,4971.35400701012,44
"2025/2026",2026,46,46,100,6720.70162847568,6
"2026/2027",2027,46,46,100,6286.63662902266,40
"2027/2028",2028,46,46,100,6511.57813360775,2
"2028/2029",2029,46,46,100,7859.21801285772,2
"2029/2030",2030,46,46,100,4980.2779595952,18
"2030/2031",2031,46,46,100,4558.85210901173,18
"2031/2032",2032,46,46,100,4483.53472865233,9
"2032/2033",2033,46,46,100,5478.07036892604,8
"2033/2034",2034,46,46,100,7063.54838857427,7
"2034/2035",2035,46,46,100,5554.64655745681,41
"2035/2036",2036,46,46,100,6039.63169545215,8
"2036/2037",2037,46,46,100,4380.16411563335,45
"2037/2038",2038,46,46,100,5592.83585544908,8
"2038/2039",2039,46,46,100,2658.91585451504,44
"2039/2040",2040,46,46,100,4641.8876503068,11
"2040/2041",2041,46,46,100,4956.38141486468,65
"2041/2042",2042,46,46,100,5866.56948960898,27
"2042/2043",2043,46,46,100,5924.9307722277,24
"2043/2044",2044,46,46,100,6982.37556201173,10
"2044/2045",2045,46,46,100,5029.65972166788,20
"2045/2046",2046,46,46,100,4678.13418679731,21
"2046/2047",2047,46,46,100,6755.19684940157,6
"2047/2048",2048,46,46,100,6803.43939845404,15
"2048/2049",2049,46,46,100,4925.38737074099,37
"2049/2050",2050,46,46,100,7309.4530508453,18
"2050/2051",2051,46,46,100,3645.39857637882,20
"2051/2052",2052,46,46,100,3408.90560284955,14
"2052/2053",2053,46,46,100,5088.67079672171,4
"2053/2054",2054,46,46,100,4933.62478108006,17
"2054/2055",2055,46,46,100,5864.20063835802,8
"2055/2056",2056,46,46,100,7614.5025601387,5
"2056/2057",2057,46,46,100,5733.47150878655,18
"2057/2058",2058,46,46,100,7730.22067875508,0
"2058/2059",2059,46,46,100,6439.85605003918,3
"2059/2060",2060,46,46,100,6579.6282560071,2
"2060/2061",2061,46,46,100,4708.32367383549,18
"2061/2062",2062,46,46,100,6516.92538879951,3
"2062/2063",2063,46,46,100,5374.56297554821,43
"2063/2064",2064,46,46,100,3716.24709332269,76
"2064/2065",2065,46,46,100,7712.68230757955,7
"2065/2066",2066,46,46,100,7657.61512362631,12
"2066/2067",2067,46,46,100,5427.14287681784,10
"2067/2068",2068,46,46,100,8751.62737616152,8
"2068/2069",2069,46,46,100,6513.81953921448,7
"2069/2070",2070,46,46,100,5809.52633779217,47
"2070/2071",2071,46,46,100,4947.9191183839,20
"2071/2072",2072,46,46,100,4244.22618529201,64
"2072/2073",2073,46,46,100,5773.85421360284,14
"2073/2074",2074,46,46,100,7018.54274990875,26
"2074/2075",2075,46,46,100,7649.10711029451,0
"2075/2076",2076,46,46,100,3742.02454760484,33
"2076/2077",2077,46,46,100,5693.39443927724,6
"2077/2078",2078,46,46,100,4325.74373992905,64
"2078/2079",2079,46,46,100,5678.72845971771,24
"2079/2080",2080,46,46,100,7731.26925559714,2
"2080/2081",2081,46,46,100,6787.49782581069,7
"2081/2082",2082,46,46,100,6278.52260742616,36
"2082/2083",2083,46,46,100,3417.15713753086,62
"2083/2084",2084,46,46,100,8094.96569759306,2
"2084/2085",2085,46,46,100,3933.87532776035,32
"2085/2086",2086,46,46,100,4366.08971429616,31
"2086/2087",2087,46,46,100,6997.20145091135,49
"2087/2088",2088,46,46,100,8807.05166184809,0
"2088/2089",2089,46,46,100,5631.17992353998,7
"2089/2090",2090,46,46,100,6452.33769518137,9
"2090/2091",2091,46,46,100,4246.39725110494,51
"2091/2092",2092,46,46,100,6366.84644820169,20
"2092/2093",2093,46,46,100,5585.61895528156,8
"2093/2094",2094,46,46,100,7137.37090209499,16
"2094/2095",2095,46,46,100,2811.69209261332,113
"2095/2096",2096,46,46,100,8712.78068086132,16
"2096/2097",2097,46,46,100,3219.82162850164,66
"2097/2098",2098,46,46,100,5101.03954650834,10
"2098/2099",2099,46,46,100,6248.47325848043,12
"2099/2100",2100,46,46,100,6603.80215371866,10
