"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,6526.85908395033,2
"2001/2002",2002,46,46,100,3157.53174541269,44
"2002/2003",2003,46,46,100,5329.46394097424,9
"2003/2004",2004,46,46,100,4578.90494319494,53
"2004/2005",2005,46,46,100,5083.42824339971,31
"2005/2006",2006,46,46,100,6065.21943218575,67
"2006/2007",2007,46,46,100,5896.74659270368,14
"2007/2008",2008,46,46,100,6125.74475259683,1
"2008/2009",2009,46,46,100,6262.79174488585,35
"2009/2010",2010,46,46,100,6430.52594520815,4
"2010/2011",2011,46,46,100,6426.78827016172,2
"2011/2012",2012,46,46,100,5859.51310464623,67
"2012/2013",2013,46,46,100,6639.04214461427,5
"2013/2014",2014,46,46,100,3886.49571539718,51
"2014/2015",2015,46,46,100,3511.52498987003,70
"2015/2016",2016,46,46,100,4417.84860456991,41
"2016/2017",2017,46,46,100,4290.0948647121,14
"2017/2018",2018,46,46,100,5727.29185252101,47
"2018/2019",2019,46,46,100,3661.55953553063,57
"2019/2020",2020,46,46,100,7717.06192264729,0
"2020/2021",2021,46,46,100,7206.48740220675,33
"2021/2022",2022,46,46,100,8923.25977342995,35
"2022/2023",2023,46,46,100,6486.73936482146,2
"2023/2024",2024,46,46,100,4691.20080884919,13
"2024/2025",2025,46,46,100,4864.52141064662,44
"2025/2026",2026,46,46,100,6615.58751913719,5
"2026/2027",2027,46,46,100,6164.85845058225,37
"2027/2028",2028,46,46,100,6394.26501711365,1
"2028/2029",2029,46,46,100,7761.7655151966,2
"2029/2030",2030,46,46,100,4855.75182836014,16
"2030/2031",2031,46,46,100,4493.92262408859,18
"2031/2032",2032,46,46,100,4383.53427372128,9
"2032/2033",2033,46,46,100,5374.18630625121,7
"2033/2034",2034,46,46,100,6986.23983920924,6
"2034/2035",2035,46,46,100,5470.84249758581,38
"2035/2036",2036,46,46,100,5954.47451822693,8
"2036/2037",2037,46,46,100,4283.98583463766,46
"2037/2038",2038,46,46,100,5484.06739986315,7
"2038/2039",2039,46,46,100,2545.14570490085,39
"2039/2040",2040,46,46,100,4540.85804177355,11
"2040/2041",2041,46,46,100,4818.20197956311,61
"2041/2042",2042,46,46,100,5782.52053253585,28
"2042/2043",2043,46,46,100,5848.89188464452,24
"2043/2044",2044,46,46,100,6876.51047465531,9
"2044/2045",2045,46,46,100,4926.65740828123,18
"2045/2046",2046,46,46,100,4589.84495183732,21
"2046/2047",2047,46,46,100,6684.52191080851,5
"2047/2048",2048,46,46,100,6732.63388250628,14
"2048/2049",2049,46,46,100,4825.44653352769,35
"2049/2050",2050,46,46,100,7202.92914026929,18
"2050/2051",2051,46,46,100,3531.48430079361,17
"2051/2052",2052,46,46,100,3309.89076055679,13
"2052/2053",2053,46,46,100,4976.19895520341,4
"2053/2054",2054,46,46,100,4833.35847144946,17
"2054/2055",2055,46,46,100,5750.81899184082,7
"2055/2056",2056,46,46,100,7503.08751117205,2
"2056/2057",2057,46,46,100,5640.54278747085,17
"2057/2058",2058,46,46,100,7637.62365540769,0
"2058/2059",2059,46,46,100,6353.12695123767,2
"2059/2060",2060,46,46,100,6489.0164152584,2
"2060/2061",2061,46,46,100,4597.03878460173,17
"2061/2062",2062,46,46,100,6400.51804218115,2
"2062/2063",2063,46,46,100,5308.23662331654,42
"2063/2064",2064,46,46,100,3610.29388189502,74
"2064/2065",2065,46,46,100,7621.72230051737,6
"2065/2066",2066,46,46,100,7574.64446067531,12
"2066/2067",2067,46,46,100,5308.1500959713,10
"2067/2068",2068,46,46,100,8648.02529837564,5
"2068/2069",2069,46,46,100,6409.87999856286,7
"2069/2070",2070,46,46,100,5712.63851451688,42
"2070/2071",2071,46,46,100,4839.98836003337,18
"2071/2072",2072,46,46,100,4133.52983052563,61
"2072/2073",2073,46,46,100,5658.21878113225,10
"2073/2074",2074,46,46,100,6939.73673860822,25
"2074/2075",2075,46,46,100,7582.1314287819,0
"2075/2076",2076,46,46,100,3632.42951281834,33
"2076/2077",2077,46,46,100,5574.70024040248,7
"2077/2078",2078,46,46,100,4219.01213512477,64
"2078/2079",2079,46,46,100,5550.05429197196,23
"2079/2080",2080,46,46,100,7630.71558187157,2
"2080/2081",2081,46,46,100,6677.62397337798,7
"2081/2082",2082,46,46,100,6157.14345957432,34
"2082/2083",2083,46,46,100,3297.21354538575,58
"2083/2084",2084,46,46,100,7986.1422131611,2
"2084/2085",2085,46,46,100,3822.48214159254,33
"2085/2086",2086,46,46,100,4259.47510446608,31
"2086/2087",2087,46,46,100,6897.52325239219,49
"2087/2088",2088,46,46,100,8727.41348015517,0
"2088/2089",2089,46,46,100,5508.02834988572,4
"2089/2090",2090,46,46,100,6352.14299335331,8
"2090/2091",2091,46,46,100,4140.05414717179,48
"2091/2092",2092,46,46,100,6269.95038473979,19
"2092/2093",2093,46,46,100,5462.72587935813,7
"2093/2094",2094,46,46,100,7053.88775940333,16
"2094/2095",2095,46,46,100,2701.93187425192,110
"2095/2096",2096,46,46,100,8642.5709379781,15
"2096/2097",2097,46,46,100,3105.07208613679,64
"2097/2098",2098,46,46,100,4984.95832561702,9
"2098/2099",2099,46,46,100,6134.55947555788,11
"2099/2100",2100,46,46,100,6482.10529136006,9
