"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,7792.43039282669,0
"2001/2002",2002,46,46,100,4101.6021698892,26
"2002/2003",2003,46,46,100,6564.6895207116,3
"2003/2004",2004,46,46,100,5677.98286998877,41
"2004/2005",2005,46,46,100,6257.21405665547,24
"2005/2006",2006,46,46,100,7197.67508565396,53
"2006/2007",2007,46,46,100,7211.77310047817,8
"2007/2008",2008,46,46,100,7512.87664351525,0
"2008/2009",2009,46,46,100,7566.45544420695,25
"2009/2010",2010,46,46,100,7657.49473498401,2
"2010/2011",2011,46,46,100,7829.28966801509,2
"2011/2012",2012,46,46,100,6922.07132658921,46
"2012/2013",2013,46,46,100,8042.91991336737,4
"2013/2014",2014,46,46,100,4984.51448996901,33
"2014/2015",2015,46,46,100,4586.64480558841,48
"2015/2016",2016,46,46,100,5581.93162838637,31
"2016/2017",2017,46,46,100,5411.13065895764,9
"2017/2018",2018,46,46,100,6838.63736177026,23
"2018/2019",2019,46,46,100,4832.08648873074,44
"2019/2020",2020,46,46,100,8999.96588874143,0
"2020/2021",2021,46,46,100,8399.77181107644,19
"2021/2022",2022,46,46,100,10306.6992377753,30
"2022/2023",2023,46,46,100,7883.49135352205,1
"2023/2024",2024,46,46,100,5811.14638817892,6
"2024/2025",2025,46,46,100,6036.87995877885,30
"2025/2026",2026,46,46,100,8015.3783863408,4
"2026/2027",2027,46,46,100,7474.18427374563,28
"2027/2028",2028,46,46,100,7769.54984654812,0
"2028/2029",2029,46,46,100,9105.47513401019,0
"2029/2030",2030,46,46,100,6212.50627475302,11
"2030/2031",2031,46,46,100,5544.89688724349,14
"2031/2032",2032,46,46,100,5665.89360447321,5
"2032/2033",2033,46,46,100,6680.35771392984,3
"2033/2034",2034,46,46,100,8185.81590538006,3
"2034/2035",2035,46,46,100,6495.08257065015,29
"2035/2036",2036,46,46,100,7259.57868826063,8
"2036/2037",2037,46,46,100,5328.84404251026,34
"2037/2038",2038,46,46,100,6738.05581122264,2
"2038/2039",2039,46,46,100,3554.75687714433,16
"2039/2040",2040,46,46,100,5767.45289892191,7
"2040/2041",2041,46,46,100,6147.98818107322,51
"2041/2042",2042,46,46,100,6990.48038481642,19
"2042/2043",2043,46,46,100,6930.01437031943,14
"2043/2044",2044,46,46,100,8352.53784920694,3
"2044/2045",2045,46,46,100,6143.51374265738,11
"2045/2046",2046,46,46,100,5763.2888119109,17
"2046/2047",2047,46,46,100,7897.36816591723,2
"2047/2048",2048,46,46,100,7841.10582780885,10
"2048/2049",2049,46,46,100,5940.08586470131,21
"2049/2050",2050,46,46,100,8532.5096183503,9
"2050/2051",2051,46,46,100,4772.71564628975,10
"2051/2052",2052,46,46,100,4363.2157055987,11
"2052/2053",2053,46,46,100,6326.54540899256,2
"2053/2054",2054,46,46,100,6116.49516647961,7
"2054/2055",2055,46,46,100,7138.47800636804,6
"2055/2056",2056,46,46,100,8895.13332597353,0
"2056/2057",2057,46,46,100,6853.34242012957,13
"2057/2058",2058,46,46,100,8931.03739836672,0
"2058/2059",2059,46,46,100,7591.88919021748,1
"2059/2060",2060,46,46,100,7850.04542642506,0
"2060/2061",2061,46,46,100,5816.26197783602,14
"2061/2062",2062,46,46,100,7780.29264367558,0
"2062/2063",2063,46,46,100,6402.1060881922,21
"2063/2064",2064,46,46,100,4697.59879691899,61
"2064/2065",2065,46,46,100,8979.45843363274,1
"2065/2066",2066,46,46,100,8948.21523541119,9
"2066/2067",2067,46,46,100,6668.80711178947,5
"2067/2068",2068,46,46,100,9962.85466116574,3
"2068/2069",2069,46,46,100,7756.59545480926,5
"2069/2070",2070,46,46,100,6824.92651614547,34
"2070/2071",2071,46,46,100,6117.3348398516,10
"2071/2072",2072,46,46,100,5252.59527836554,40
"2072/2073",2073,46,46,100,6924.52603508439,3
"2073/2074",2074,46,46,100,8180.81317721866,15
"2074/2075",2075,46,46,100,8878.85708716325,0
"2075/2076",2076,46,46,100,4741.10252156109,22
"2076/2077",2077,46,46,100,6946.10127914324,4
"2077/2078",2078,46,46,100,5262.70681916643,48
"2078/2079",2079,46,46,100,6875.94321641326,14
"2079/2080",2080,46,46,100,9042.10314273927,0
"2080/2081",2081,46,46,100,8066.45079941861,5
"2081/2082",2082,46,46,100,7494.33715077303,29
"2082/2083",2083,46,46,100,4393.21621568501,39
"2083/2084",2084,46,46,100,9489.91688952968,1
"2084/2085",2085,46,46,100,5013.55984144192,25
"2085/2086",2086,46,46,100,5480.30964849424,22
"2086/2087",2087,46,46,100,8125.1222553337,40
"2087/2088",2088,46,46,100,10077.2313037859,0
"2088/2089",2089,46,46,100,6835.24318842683,3
"2089/2090",2090,46,46,100,7653.89993858337,8
"2090/2091",2091,46,46,100,5296.14048992656,28
"2091/2092",2092,46,46,100,7533.47873458173,13
"2092/2093",2093,46,46,100,6703.05963864643,5
"2093/2094",2094,46,46,100,8290.74288006593,13
"2094/2095",2095,46,46,100,3685.66972892825,70
"2095/2096",2096,46,46,100,9771.73799199145,12
"2096/2097",2097,46,46,100,4135.34410544764,46
"2097/2098",2098,46,46,100,6294.80050464347,6
"2098/2099",2099,46,46,100,7432.75188143551,5
"2099/2100",2100,46,46,100,7719.05859169271,6
