"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,6529.49101871868,4
"2001/2002",2002,46,46,100,3215.90945369436,53
"2002/2003",2003,46,46,100,5377.64814500915,15
"2003/2004",2004,46,46,100,4622.38383447978,56
"2004/2005",2005,46,46,100,5103.42241764168,34
"2005/2006",2006,46,46,100,6091.161804565,75
"2006/2007",2007,46,46,100,5927.61894575797,17
"2007/2008",2008,46,46,100,6157.31480060896,2
"2008/2009",2009,46,46,100,6286.39880820387,39
"2009/2010",2010,46,46,100,6411.46139088762,8
"2010/2011",2011,46,46,100,6453.98182050732,3
"2011/2012",2012,46,46,100,5875.98109992361,77
"2012/2013",2013,46,46,100,6660.7719817342,6
"2013/2014",2014,46,46,100,3963.93142204883,54
"2014/2015",2015,46,46,100,3576.04896116315,77
"2015/2016",2016,46,46,100,4460.02312020818,45
"2016/2017",2017,46,46,100,4329.72381110815,16
"2017/2018",2018,46,46,100,5738.94852273189,49
"2018/2019",2019,46,46,100,3736.34950607899,65
"2019/2020",2020,46,46,100,7683.73503557034,0
"2020/2021",2021,46,46,100,7198.44747380237,35
"2021/2022",2022,46,46,100,8905.62629885064,35
"2022/2023",2023,46,46,100,6522.41036736919,3
"2023/2024",2024,46,46,100,4729.34059548355,21
"2024/2025",2025,46,46,100,4892.38037085021,46
"2025/2026",2026,46,46,100,6639.62061837083,6
"2026/2027",2027,46,46,100,6198.54145168024,42
"2027/2028",2028,46,46,100,6423.24310116936,3
"2028/2029",2029,46,46,100,7774.72543283738,2
"2029/2030",2030,46,46,100,4905.92955473298,22
"2030/2031",2031,46,46,100,4507.04060330824,19
"2031/2032",2032,46,46,100,4406.67388285836,10
"2032/2033",2033,46,46,100,5411.13014151994,11
"2033/2034",2034,46,46,100,6987.1482302309,7
"2034/2035",2035,46,46,100,5469.63429396646,41
"2035/2036",2036,46,46,100,5965.69084344804,8
"2036/2037",2037,46,46,100,4339.88019318646,47
"2037/2038",2038,46,46,100,5529.27751068072,10
"2038/2039",2039,46,46,100,2615.09788765432,48
"2039/2040",2040,46,46,100,4574.86282533966,11
"2040/2041",2041,46,46,100,4884.03098416841,67
"2041/2042",2042,46,46,100,5808.4706306234,32
"2042/2043",2043,46,46,100,5854.42271966673,25
"2043/2044",2044,46,46,100,6889.38011886226,12
"2044/2045",2045,46,46,100,4979.20141904661,22
"2045/2046",2046,46,46,100,4602.18580411887,21
"2046/2047",2047,46,46,100,6666.25016058935,6
"2047/2048",2048,46,46,100,6715.70665004989,17
"2048/2049",2049,46,46,100,4872.27245608438,42
"2049/2050",2050,46,46,100,7238.96275004465,21
"2050/2051",2051,46,46,100,3574.64900762867,22
"2051/2052",2052,46,46,100,3369.6285656481,18
"2052/2053",2053,46,46,100,5008.86847030604,5
"2053/2054",2054,46,46,100,4874.87164272042,19
"2054/2055",2055,46,46,100,5771.07036382798,9
"2055/2056",2056,46,46,100,7525.4695123178,6
"2056/2057",2057,46,46,100,5668.02393178875,19
"2057/2058",2058,46,46,100,7636.20686186245,1
"2058/2059",2059,46,46,100,6367.97267260402,4
"2059/2060",2060,46,46,100,6498.61920902878,2
"2060/2061",2061,46,46,100,4644.30838184291,19
"2061/2062",2062,46,46,100,6429.23348751804,4
"2062/2063",2063,46,46,100,5323.25067463797,46
"2063/2064",2064,46,46,100,3656.56212283578,78
"2064/2065",2065,46,46,100,7618.5819591498,7
"2065/2066",2066,46,46,100,7574.08360477816,12
"2066/2067",2067,46,46,100,5353.77792338096,13
"2067/2068",2068,46,46,100,8642.82867419347,8
"2068/2069",2069,46,46,100,6429.31579210702,8
"2069/2070",2070,46,46,100,5720.45039474405,48
"2070/2071",2071,46,46,100,4883.11994657014,21
"2071/2072",2072,46,46,100,4187.34397964086,64
"2072/2073",2073,46,46,100,5712.27690276876,14
"2073/2074",2074,46,46,100,6941.78823350091,28
"2074/2075",2075,46,46,100,7560.38516781386,0
"2075/2076",2076,46,46,100,3701.36841289233,39
"2076/2077",2077,46,46,100,5627.65643848944,8
"2077/2078",2078,46,46,100,4284.92356495,70
"2078/2079",2079,46,46,100,5605.21646849904,27
"2079/2080",2080,46,46,100,7638.84603572544,4
"2080/2081",2081,46,46,100,6695.38884226698,7
"2081/2082",2082,46,46,100,6223.15862030443,39
"2082/2083",2083,46,46,100,3373.71629380621,67
"2083/2084",2084,46,46,100,7990.21778297052,2
"2084/2085",2085,46,46,100,3887.34851183929,34
"2085/2086",2086,46,46,100,4315.76508032717,35
"2086/2087",2087,46,46,100,6934.98452805448,53
"2087/2088",2088,46,46,100,8705.39403718896,1
"2088/2089",2089,46,46,100,5573.1069160942,8
"2089/2090",2090,46,46,100,6369.75577306841,9
"2090/2091",2091,46,46,100,4205.23295171745,54
"2091/2092",2092,46,46,100,6285.16162480414,21
"2092/2093",2093,46,46,100,5515.04204753134,8
"2093/2094",2094,46,46,100,7049.07111043576,16
"2094/2095",2095,46,46,100,2782.08047190681,122
"2095/2096",2096,46,46,100,8607.99126201309,16
"2096/2097",2097,46,46,100,3181.65422261134,71
"2097/2098",2098,46,46,100,5033.62522945367,11
"2098/2099",2099,46,46,100,6177.48164586257,16
"2099/2100",2100,46,46,100,6531.15001720376,12
