"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,33.1990333884145,125.052880432892,63.6256623042552,84.7162323643323,1820.30767660367,1784.5,1795.09266218894,1735.5,1799,1098,1777.5,83.4271039387339
"2002/2003",2003,120,120,100,33.7496664703984,111.295729286089,67.3450241561829,86.0466017002509,1889.42539691393,1767.5,1869.88755966415,1702,1872.5,1139,1852,87.0906213261848
"2003/2004",2004,120,120,100,47.8872503748932,171.343907155948,70.8961723966893,93.3585099197206,2069.40593281436,1839.5,1803.22848164481,1874,1897.5,1481,1887.5,87.9815315317097
"2004/2005",2005,121,121,100,50.1245749982908,181.262240966311,64.3450800471001,89.9879324548155,2233.77925512001,2125.5,2125.51962507714,2072,2191,1564,2178.5,90.8156343658904
"2005/2006",2006,120,120,100,39.3172363240638,151.761944510092,59.7131176843505,84.0789698487339,2008.70436883672,2026.5,2034.67243586554,1903,2046,1258,2029,87.798224580362
"2006/2007",2007,120,120,100,38.8787795866956,153.698622716345,64.7074217593846,86.273633079918,1967.91683533114,1874.5,1926.61810437349,1810,1976,1246,1947,86.4095122412486
"2007/2008",2008,120,120,100,47.1534863468329,168.072253970735,73.2495061646236,93.4835120441191,2082.15936181835,1900,1803.93032898818,1961.5,1891,1625,1883.5,84.8041802605129
"2008/2009",2009,121,121,100,40.6574094949406,174.878927454591,66.809461187142,90.8579224469168,2073.54706039244,1929,1932.17310165443,1905,1973,1431,1968,90.5239308722141
"2009/2010",2010,120,120,100,41.1563304443405,146.547746132934,66.4519745698891,88.3847182545793,2023.22068508657,1908,1951.84986327411,1876.5,1971,1323,1966,88.8481620819534
"2010/2011",2011,120,120,100,49.8740680011005,165.792750769558,65.1077895402204,88.2258438041323,2177.75706443875,2120,2099.51165364632,2054,2168,1524,2168,90.6744662914905
"2011/2012",2012,120,120,100,52.5118936711196,168.381460709842,67.0844467792108,90.9905640644366,2244.42116477541,2152.5,2065.32909336909,2094.5,2180,1634,2173.5,88.1421487457035
"2012/2013",2013,121,121,100,41.7886444437714,162.674866317367,67.8584236651858,90.8909721370178,1983.58160647264,1806.5,1821.95018280786,1841,1860.5,1346,1846,87.2588363260131
"2013/2014",2014,120,120,100,51.2191019369085,168.156286431474,70.8382424646254,92.6898859398943,2179.12086803839,2014.5,1919.81171936965,2020.5,2019,1668,2012.5,86.8762953894429
"2014/2015",2015,120,120,100,32.6103478495944,123.941464940993,76.6916864570758,94.2924932083032,1647.64203483074,1364,1226.09130752494,1531.5,1296.5,1287,1249,74.4046222611935
"2015/2016",2016,120,120,100,42.2859255750753,141.393262977493,65.1788107359797,88.1983589635541,2051.33245845627,1947.5,1990.80438475304,1906.5,2015,1351,2004.5,89.3894541018017
"2016/2017",2017,121,121,100,39.9972244796775,150.539497609881,66.7346531554154,88.5256230323098,1858.6720157961,1751.5,1640.76393159011,1741.5,1757.5,1307,1715,81.5894204851193
"2017/2018",2018,120,120,100,33.7718438409699,123.00554151474,70.1622721183332,88.9125743387354,1787.56213569969,1644,1609.11704241103,1659.5,1663,1163,1629,79.9245966118883
"2018/2019",2019,120,120,100,45.5244190172837,145.396960460149,77.3896469925554,94.0491626180803,1985.97673296656,1762.5,1667.13017700725,1833,1752,1545,1730,82.301787298235
"2019/2020",2020,120,120,100,37.7545596396272,143.810401247015,64.1322432174452,87.4149157970449,1948.46816508269,1848,1809.08852155736,1829,1848.5,1307,1823.5,86.2425336959814
"2020/2021",2021,121,121,100,36.3704208211223,136.393065442997,61.3024702336401,85.2063748792463,1924.5112403163,1836,1910.98790138932,1769.5,1932,1123,1897,87.614761302932
"2021/2022",2022,120,120,100,50.5600863911434,176.02383840518,76.1073102713532,94.1627687046855,1936.06682528133,1771.5,1599.21158120127,1853,1707,1563,1704.5,82.6912527604277
"2022/2023",2023,120,120,100,51.6188774251453,158.368355523584,68.6533794208267,90.8214646372908,2036.51666505591,1918,1769.811679855,1935.5,1915,1564,1882.5,84.3956878772938
"2023/2024",2024,120,120,100,40.938157047033,159.842891464768,60.2967613863572,85.2902031412092,2090.13750369741,2038,2080.69023193843,1943.5,2099.5,1322,2083,90.0029868982874
"2024/2025",2025,121,121,100,48.0711077142654,156.485649358602,64.1928996386691,88.003796403786,2166.71018656201,2106,2120.94129998605,2044.5,2176,1441,2166,91.565072005727
"2025/2026",2026,120,120,100,43.4207734969666,143.494441659455,65.434932348552,88.4982294961544,2063.68587970435,1970,1910.04017921674,1921.5,1986.5,1408,1966.5,86.7886609817106
