"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.7733910937556,169.308462408375,69.4290760492955,90.312111298459,1954.29541221806,1809.5,1815.80558899705,1817.5,1835.5,1358,1830,86.8623081835458
"2002/2003",2003,120,120,100,44.1066576283662,163.927485148636,73.3220423248882,91.5864010868781,2045.67193951077,1913,1857.87075803889,1891,1952,1492,1944,86.7202634320498
"2003/2004",2004,120,120,100,52.0322458625407,197.314167465504,77.3295230173396,98.5965608669351,2033.76429416232,1759.5,1602.72592650338,1882.5,1728,1689,1720.5,84.8168145290241
"2004/2005",2005,121,121,100,59.544491053254,227.091177935789,70.2245118576415,96.4454631729572,2292.05731847948,2113,1955.42570124791,2158,2123.5,1874,2117.5,90.4993780444079
"2005/2006",2006,120,120,100,51.9466331140193,205.915170270285,65.0894657773868,90.9591917264324,2199.98579914621,2092.5,2030.82613445705,2083.5,2109.5,1621,2103,90.0547887190021
"2006/2007",2007,120,120,100,52.0690943544828,210.343013485148,70.2159927043002,92.4160238957962,2127.0451478018,1975,1891.39204301474,1969,2018.5,1597,2001,86.9926308471616
"2007/2008",2008,120,120,100,51.9361635292898,191.745155984105,80.1188385878339,97.5707769620297,2009.98452323358,1767,1614.94043820136,1884.5,1735,1623,1733.5,81.4881803052732
"2008/2009",2009,121,121,100,49.1780399044367,218.811036636622,72.9058440444366,95.9012054305411,2109.34500826335,1916.5,1816.3372253117,1966.5,1912,1655,1912,85.3307731113416
"2009/2010",2010,120,120,100,50.9317850244189,186.864109392753,72.3690959839579,94.5847120989025,2167.80999698531,1982,1886.76217528406,2016.5,1999,1622,1996,88.1055207337608
"2010/2011",2011,120,120,100,59.6930927182032,215.033682639978,70.9688858343573,94.9572623626943,2323.72747953604,2152,2006.80348900241,2173,2144.5,1854,2144.5,89.7031994983449
"2011/2012",2012,120,120,100,60.9233617115399,202.285469038014,73.216020924488,97.1632036084577,2261.30807274401,2063.5,1881.32478651334,2138.5,2036.5,1883,2034,88.6850758832873
"2012/2013",2013,121,121,100,47.778868247028,190.406472009291,73.8133215341871,96.6432255382724,2070.0685694521,1830,1753.13308963429,1915,1854,1566,1850.5,88.1107219824405
"2013/2014",2014,120,120,100,54.905921746499,195.336770499033,77.1620505926292,98.2681527221147,2142.07766077745,1872,1692.88530763969,2012.5,1824.5,1832,1820.5,86.2203141923628
"2014/2015",2015,120,120,100,28.4901033588228,120.091902943768,83.4348058106489,96.8925934004175,1518.18710436119,1215.5,1112.25723200288,1412.5,1179.5,1145,1161.5,72.9161302960688
"2015/2016",2016,120,120,100,51.5200072623705,181.404365751807,71.0517985043144,94.3042177219138,2175.90243823686,1995,1898.83958302878,2005.5,2026.5,1605,2023,88.1909500321767
"2016/2017",2017,121,121,100,42.873280069833,183.736347195954,72.5741548045585,94.0529081120854,1930.42082264654,1741.5,1620.13198472497,1804.5,1701.5,1484,1687,83.6576476498308
"2017/2018",2018,120,120,100,37.7918238090524,155.897956622917,76.7787465121095,92.9730859659089,1810.42493111659,1595.5,1555.19088987921,1664,1621,1319,1609,77.2389295021867
"2018/2019",2019,120,120,100,48.1356606823784,163.223425486878,84.5067916050679,98.0242661581229,1914.72380619323,1639,1484.30807722386,1784,1627.5,1589,1615,77.9340182484916
"2019/2020",2020,120,120,100,43.4201455918602,183.816574904458,69.9064401029597,92.9446031616974,2016.87386350866,1823,1758.1776849455,1882.5,1814.5,1501,1805,86.8156911666142
"2020/2021",2021,121,121,100,45.5215372958467,187.622830049053,66.841662046653,91.7036954170698,2101.47462952431,1943.5,1924.91379342701,1926.5,2008,1489,1987,89.09522601362
"2021/2022",2022,120,120,100,48.0638249771588,184.63570065301,82.7747298515658,99.1359025513318,1867.98899481549,1593.5,1416.44834195999,1767.5,1521.5,1581,1521.5,80.9851074838734
"2022/2023",2023,120,120,100,52.6895932774457,179.113059457168,74.8070044191144,96.5634826971758,2042.2999817635,1827,1640.11110544986,1932,1758.5,1659,1745,83.1638328840559
"2023/2024",2024,120,120,100,53.4898442696582,223.680768111659,65.606810446959,92.313930160826,2279.0682847851,2124.5,2042.73793873884,2118.5,2149,1713,2145,91.5340899239623
"2024/2025",2025,121,121,100,55.653738144206,194.510351964566,70.1001830209147,94.8925717171023,2278.72946284343,2056.5,2001.63275939235,2094,2104,1700,2102.5,89.3395103535909
"2025/2026",2026,120,120,100,46.3961744217876,178.334141873262,71.646239241409,94.1592279369166,2095.06051257443,1911,1774.54339172336,1969,1893.5,1620,1886.5,86.7879363124725
"2026/2027",2027,120,120,100,41.9996341928689,173.290122867932,85.5010514589128,99.4023284886501,1772.56625454588,1459,1332.9789797447,1617,1417,1421,1414.5,80.2439244066522
"2027/2028",2028,120,120,100,49.3516986571393,148.839254278307,75.4241903306176,96.2093362119111,2092.24858932386,1854,1767.20910867376,1947,1869.5,1629,1867,85.9174258830158
"2028/2029",2029,121,121,100,62.2255073392063,250.295987698601,74.9565553539137,98.8958548675347,2168.345258677,1941,1760.42552671378,2044,1903,1811,1903,87.343877344646
"2029/2030",2030,120,120,100,55.9984297121353,208.68417820643,75.4658064411809,96.8180473331954,2101.66978541945,1875.5,1741.73588921442,1966,1856.5,1662,1855,86.3608573677329
"2030/2031",2031,120,120,100,47.0737918880998,210.037635665276,67.8090360551901,92.3345048316593,2046.16203495346,1873,1819.3648773555,1915,1908.5,1494,1900.5,88.4972990710248
"2031/2032",2032,120,120,100,50.0378053356031,201.372928504778,74.6045942132522,95.8370316877267,2004.53724242655,1795,1621.72492868819,1862,1764,1629,1751,83.1981821214813
"2032/2033",2033,121,121,100,57.3946597039604,204.925527910955,74.8856066306577,95.9822950351119,2190.27334716587,1996,1877.02429317663,2033,2021,1729,2011,87.8197725485679
"2033/2034",2034,120,120,100,54.5052845821617,213.529941700739,76.9175036038891,98.6827678279444,2063.41739989586,1807.5,1647.85992997354,1927.5,1764,1692,1764,85.1126974013268
"2034/2035",2035,120,120,100,49.4903917911257,169.466406142749,81.7067607341098,98.9779170872838,1936.84776431334,1705,1510.76247198472,1817.5,1635.5,1592,1635.5,79.7116956027967
"2035/2036",2036,120,120,100,55.6413741060447,190.437951060795,73.1525242739374,96.1545204750914,2110.4537337912,1906.5,1723.25906880316,1981.5,1854,1718,1846.5,85.0649609154216
"2036/2037",2037,121,121,100,49.4021487447389,192.354028485851,72.5688024838594,93.9338239142432,2132.55087340478,1961.5,1919.4314850349,1954,2016,1541,2014.5,87.8893690465393
"2037/2038",2038,120,120,100,59.7566494398692,202.636971896903,82.9226919314281,100.831724166254,2074.86139518404,1782.5,1520.75524985051,1954.5,1688,1847,1686.5,82.796524453167
"2038/2039",2039,120,120,100,45.9123651962916,172.595807982187,71.091082142342,91.4529999279601,2072.13423973264,1963,1878.94982150786,1939.5,1980.5,1517,1974.5,87.0301096689554
"2039/2040",2040,120,120,100,42.7985383549454,167.621581882419,64.2086515320611,89.4790979759292,2132.78528289986,2015,2036.2415429461,1982,2075.5,1433,2065.5,90.5903232024784
"2040/2041",2041,121,121,100,52.6520770600164,199.701613653105,71.2342445861876,95.2464390818596,2205.21719278384,2013.5,1921.97150150649,2049.5,2020.5,1665,2020.5,89.8601983945591
"2041/2042",2042,120,120,100,59.9969407518182,183.496939354669,75.5950179393272,97.9710865288381,2307.57100044563,2075,1921.86633624545,2134.5,2084.5,1863,2084.5,89.320333759415
"2042/2043",2043,120,120,100,32.1483354553547,129.264500042968,66.3130147844489,84.8837311995564,1839.36723013307,1781,1830.16083774608,1701.5,1859,1124,1834,85.1297163843828
"2043/2044",2044,120,120,100,60.3767325823618,222.33075221095,78.6581163474728,100.351924093251,2187.09666729043,1938.5,1668.43740079208,2094.5,1858.5,1935,1858.5,85.6000821381585
"2044/2045",2045,121,121,100,61.0780470939461,208.675052277315,72.2096076381607,95.9439878227078,2337.25607162545,2196.5,2032.2138125367,2197,2192,1889,2189,88.8448763719261
"2045/2046",2046,120,120,100,47.7946441081619,189.304065205222,78.0718167972108,98.0077453339233,1974.54631486215,1733,1596.30869988816,1828,1708,1580,1708,84.1659848831841
"2046/2047",2047,120,120,100,56.081194063353,191.236449668252,78.2970444499725,99.0139613527648,2106.78915788725,1845.5,1646.01236338329,1942,1804.5,1766,1787,82.5636970741398
"2047/2048",2048,120,120,100,50.4228391318635,165.839263511791,80.9761538007179,94.0354152979208,2022.34349123825,1839,1758.1538624496,1846.5,1861.5,1538,1853.5,82.0927374032917
"2048/2049",2049,121,121,100,62.6356557706991,238.673270886151,71.1156709633685,97.997217204316,2349.71091850792,2166,1987.8038773498,2184.5,2148,1884,2148,91.0191385884291
"2049/2050",2050,120,120,100,59.9515940158712,223.073415273612,77.7930914759577,100.868015766638,2199.55909719772,1907.5,1681.26015137554,2045.5,1817.5,1924,1817.5,84.7174363812401
"2050/2051",2051,120,120,100,63.293354754884,228.722146461918,81.6073616462037,102.559974996166,2114.23228117125,1808.5,1493.9714422758,2011,1691.5,1935,1689,83.0969771022565
"2051/2052",2052,120,120,100,49.6856265959835,184.178231546404,73.9228525653512,96.7624634889504,2039.34372879923,1784,1646.06015947657,1887.5,1759.5,1596,1747.5,84.3569854046045
"2052/2053",2053,121,121,100,44.9376952954637,158.378568205919,73.9642471420222,91.7711289858994,1993.51806961498,1834,1769.05551954261,1853,1841.5,1496,1826,83.9842325125464
