"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.9021078899125,164.055531567664,67.1940528518597,88.9640462609526,1938.35028162875,1823.5,1827.46686381448,1805.5,1836,1295,1826,87.5615176018546
"2002/2003",2003,120,120,100,42.339290294631,155.749018770796,71.0778403899806,90.2240125037141,2023.75869703318,1898,1866.0937142881,1876,1939.5,1444,1924.5,86.2416091391211
"2003/2004",2004,120,120,100,51.1884022113598,195.878058426285,74.968922856929,97.2208511237353,2033.22552443947,1787,1641.31122288576,1889.5,1768,1624,1758.5,85.3079420543367
"2004/2005",2005,121,121,100,59.3655577606129,229.737863003113,67.9178112258698,94.8050556939584,2295.26118039342,2144.5,2005.7139449504,2153,2154,1826,2145.5,90.1439373584428
"2005/2006",2006,120,120,100,49.9460630196518,201.960655089389,63.0507793922637,89.1556113030152,2152.45864996668,2085,2028.29241076251,2041.5,2082,1548,2073,90.0057540967479
"2006/2007",2007,120,120,100,48.7413966167001,207.02722312361,68.0663575456237,90.9107601095343,2087.5011757733,1950,1884.7445017149,1935,1995.5,1548,1970,85.7950075219595
"2007/2008",2008,120,120,100,50.5757229070915,194.617842870147,77.5844612447934,96.6866097753428,2046.6768068934,1818.5,1680.82414640945,1920,1785,1624,1782.5,82.5698496586887
"2008/2009",2009,121,121,100,47.8415345890633,222.722909894482,70.3727656840649,94.9972344749088,2115.95958775954,1938.5,1849.96010028292,1972,1934,1631,1934,88.5363531223027
"2009/2010",2010,120,120,100,48.7511727846835,182.182761392621,70.1687775918608,92.9876948682117,2114.26429685032,1934.5,1873.13592557076,1956,1961,1539,1957,86.9249768329498
"2010/2011",2011,120,120,100,56.8218824966907,209.894744076204,68.7127321895326,93.2164024707381,2282.92754903242,2135.5,2027.7811812538,2124.5,2153.5,1728,2153.5,91.1122486237716
"2011/2012",2012,120,120,100,60.7210690634439,207.762743252196,70.9303311501239,95.8676983836794,2275.73068289766,2108.5,1929.73564027896,2156,2084,1871,2080,88.7154719578223
