"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.7807282831366,133.511825864593,67.2176966021008,87.6533091670087,1904.00407787905,1817,1836.71312695532,1809.5,1848.5,1230,1840.5,86.141966495895
"2002/2003",2003,120,120,100,39.3475470401821,121.795472471935,70.9948437006227,88.8774601978032,1990.09864719432,1870,1897.14018428357,1816,1929.5,1317,1920,85.8401279694714
"2003/2004",2004,120,120,100,51.1048186087186,173.089636607631,74.6985646162242,96.2322465969777,2109.6046530182,1861,1769.44582123589,1931,1886,1603,1879.5,87.4251071064458
"2004/2005",2005,121,121,100,53.7746831591599,184.279265676519,68.2091994792183,93.1395503111693,2285.59472192491,2138.5,2070.29729927442,2128,2194.5,1727,2183.5,92.0862957799817
"2005/2006",2006,120,120,100,45.6441996597861,161.078427490938,63.2380635073055,87.4376446748892,2108.25088136745,2064.5,2061.27461786507,1996,2100.5,1436,2094,90.4292206902461
"2006/2007",2007,120,120,100,44.3664993897298,164.605356000161,68.6148628997824,88.7912680092427,2044.96197698476,1946,1938.19727122131,1891.5,2005,1420,1987,87.021162902357
"2007/2008",2008,120,120,100,49.7008353157393,167.731494635134,77.5559551803272,95.7166507009722,2071.2655487466,1849,1723.79199846185,1957.5,1836.5,1646,1832.5,83.7390181342698
"2008/2009",2009,121,121,100,44.8997451200506,182.336211335684,70.8233734237304,93.2593015617959,2111.7163776541,1956.5,1913.13307923814,1971.5,1963.5,1557,1961.5,88.1384130994932
"2009/2010",2010,120,120,100,45.7998946105003,152.644452717058,70.1515180440634,91.2946940874381,2119.50379822975,1967,1975.15765587625,1966,2032.5,1469,2030,89.0325466209251
"2010/2011",2011,120,120,100,55.3914864876613,176.153255279054,68.6859643051391,91.4907359120351,2281.5695861429,2172.5,2112.07305777133,2129.5,2206.5,1679,2206.5,90.9963441819782
"2011/2012",2012,120,120,100,55.8914503356998,174.251293947556,70.9682031085981,94.090975902403,2278.40114787746,2137,1999.20057742449,2135.5,2119,1800,2115,88.59352159589
"2012/2013",2013,121,121,100,45.226495493687,164.473420923287,71.3767642069401,94.0903798084931,2089.14871820935,1887,1866.93703682829,1919.5,1913.5,1464,1909,89.1676381590339
"2013/2014",2014,120,120,100,51.4600134553849,164.41523299165,75.2104051713009,95.2184412787525,2163.31283621721,1949.5,1807.47275154848,2017,1898.5,1762,1891.5,85.4015481797248
"2014/2015",2015,120,120,100,30.092503972139,109.506787304765,81.2780046033694,95.5589509932791,1585.19078133113,1259.5,1153.71374432657,1467,1223.5,1245,1183,73.7938414478285
"2015/2016",2016,120,120,100,47.9627871426727,149.204582211529,68.7441038214695,91.3632985775135,2151.44740960147,2002.5,1990.67680953761,1995,2076.5,1517,2072.5,89.2147504975196
"2016/2017",2017,121,121,100,40.8642905467322,149.976212683112,70.7235240257868,90.9077133888673,1892.83563462919,1751.5,1646.57465935736,1773.5,1731,1364,1698,83.3210105795988
"2017/2018",2018,120,120,100,35.8524536023188,125.619951216256,74.3071260415259,91.0913005488546,1825.91996135194,1654,1609.56254857044,1698.5,1661,1255,1640,80.566281355992
"2018/2019",2019,120,120,100,47.48588144501,142.672922231485,81.6925114801792,96.1533272457771,1985.12013436944,1743,1608.94266060931,1858.5,1722.5,1607,1705.5,80.2126451189074
"2019/2020",2020,120,120,100,40.036802093409,146.92407285397,67.9434944805825,90.3191539840123,1996.18974852066,1842,1800.28862188729,1855.5,1833.5,1413,1820.5,85.9742257152443
"2020/2021",2021,121,121,100,41.0096083521313,143.802524934733,64.8888399376661,88.4517466595056,2029.1785630523,1916.5,1940.59714937183,1874.5,1975,1313,1946.5,88.2947787059197
"2021/2022",2022,120,120,100,49.7839956115342,166.412943424682,80.1282743151363,96.93194263127,1919.76853122724,1700,1510.40831861155,1830.5,1618,1580,1616.5,80.8510182210289
"2022/2023",2023,120,120,100,51.249931702403,153.167288065334,72.7616894286893,93.5494635026492,2045.0482094699,1876,1703.11937604577,1918.5,1847.5,1575,1823,83.739381655806
"2023/2024",2024,120,120,100,47.4004929510322,174.582016857437,63.6877450131368,88.7267990648838,2217.92219431289,2112.5,2130.27217653769,2058.5,2190.5,1518,2184.5,91.0229627709987
"2024/2025",2025,121,121,100,50.3524378745785,160.7779078797,67.9738024260879,91.3640312996467,2226.75107930857,2101,2084.84350007592,2083.5,2125.5,1574,2125.5,91.8571879563638
"2025/2026",2026,120,120,100,44.2211482454352,146.563309651467,69.3463651956759,91.455399864,2100.83984152973,1950.5,1872.56352407969,1962,1972,1530,1960,85.6998655034536
"2026/2027",2027,120,120,100,42.1754590891131,159.679740172107,83.3703219350455,98.1112788418114,1862.20712428796,1529,1443.99892594135,1691,1516.5,1447,1513.5,78.6684814730584
"2027/2028",2028,120,120,100,46.6073155268404,127.479347546479,73.168251521713,93.25213793739,2058.77845852966,1881,1802.45236986599,1915,1876,1515,1864.5,86.2265532448705
"2028/2029",2029,121,121,100,58.4775507917374,215.060074878455,72.7471644300417,95.9607790007413,2211.26632403862,2035,1912.36301120662,2079,2038,1747,2038,89.8642301940804
