"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.7323490506073,167.061959660382,67.1278409044927,89.2352324210186,1920.91387020642,1803.5,1806.941755523,1794,1832,1253,1820.5,87.1535324155269
"2002/2003",2003,120,120,100,44.6466553493289,166.805646317321,70.771606193392,90.6500539028036,2064.81215502787,1953,1905.06168822243,1918,1974.5,1494,1965.5,86.0454877288302
"2003/2004",2004,120,120,100,54.4769925539479,214.827848251997,74.6523365253682,97.6542406739777,2102.06875556984,1842,1697.9764936447,1943,1823.5,1694,1817,87.1076428081641
"2004/2005",2005,121,121,100,56.4751486550185,221.355003549749,68.12577146967,94.6885446706943,2262.79706298484,2106,1975.43008477492,2109.5,2119,1774,2106,89.9424939437106
"2005/2006",2006,120,120,100,49.9708724033538,200.198276669496,63.2305214112751,89.0250664753643,2105.73699498056,2029.5,1961.78350739696,1998.5,2031,1494,2018.5,88.7425521076282
"2006/2007",2007,120,120,100,46.923717123599,199.184902195657,68.3526165375176,90.2226634246173,2066.67312029621,1948,1898.19658088312,1922.5,1995,1499,1977.5,87.0754863339192
"2007/2008",2008,120,120,100,52.9514595938812,200.623973922886,77.3338358988195,97.3799559015759,2069.43161268644,1827,1670.94754841047,1943,1791,1666,1788.5,83.3970930113562
"2008/2009",2009,121,121,100,47.4813830820664,219.415835109909,70.6756609736308,94.3985047351838,2083.23421413662,1916,1841.67976274851,1951,1916.5,1596,1916.5,88.0810858753837
"2009/2010",2010,120,120,100,48.9775252850595,188.150132002244,70.1477415569221,92.9589149892065,2133.61133867287,1954,1907.06928412039,1987.5,1996.5,1575,1992.5,87.719927810208
"2010/2011",2011,120,120,100,55.0109188942678,206.084567718411,69.1184180634802,92.9372340315222,2237.293789369,2092,1973.40149412016,2096.5,2077,1725,2077,89.7690568357154
"2011/2012",2012,120,120,100,58.4659476776729,204.312480164073,70.911749051126,95.5464462605807,2270.92280265215,2095.5,1955.8777738568,2137.5,2092.5,1821,2091,88.6471110769555
"2012/2013",2013,121,121,100,47.3673771638669,196.57611511733,71.2395829786734,95.9164538192584,2091.97827760051,1869,1790.52098866398,1939,1873.5,1545,1869,87.9033981221344
"2013/2014",2014,120,120,100,53.0632119038791,189.496383072243,75.1574329118303,96.4655355955542,2119.6530334882,1876.5,1727.81548594289,1985.5,1843,1754,1835.5,85.4956808772424
"2014/2015",2015,120,120,100,32.4168999697476,136.620825804281,80.7482102322988,96.8801281151392,1606.67709570218,1283,1173.79356985007,1489.5,1239,1245,1210,74.7896738268357
"2015/2016",2016,120,120,100,51.8218862700448,191.757998956371,68.61873683173,93.2142622605418,2190.8353992968,2031,1958.15020908549,2036.5,2060.5,1621,2056.5,89.5255750250535
"2016/2017",2017,121,121,100,42.0921733900672,185.227481765589,70.4384054995484,92.3875930017312,1917.6999584509,1767.5,1642.70738901944,1811,1730,1428,1707.5,83.9080544835933
"2017/2018",2018,120,120,100,39.0350461357897,163.488660260622,74.1367007814327,92.5084400746025,1845.10350873933,1662.5,1586.99843335873,1717,1661,1328,1643,79.7866607465667
"2018/2019",2019,120,120,100,49.9875697188329,170.859342318805,81.7349853592966,97.3289165475316,1969.16455584953,1731.5,1558.38616432403,1852.5,1712.5,1615,1698,79.768986964958
"2019/2020",2020,120,120,100,41.1498014942098,181.570218982076,67.6362926322139,91.9151674235682,2008.53909278012,1838,1770.45443832492,1883.5,1812,1461,1800.5,87.6956397816798
"2020/2021",2021,121,121,100,43.1749864602415,183.346706335481,64.7683489901458,90.0265732127382,2055.81729903878,1920.5,1920.14862173252,1896,1979,1414,1951,88.3941733596857
"2021/2022",2022,120,120,100,48.9438665389058,189.865920475082,79.933556541923,98.5228742568779,1893.32562361295,1648,1451.18110731873,1802.5,1560.5,1599,1560.5,81.3922555299519
"2022/2023",2023,120,120,100,51.551336765935,179.459900447122,72.5503908730262,94.9061634021556,2037.61110368965,1850,1690.30994884342,1911,1799.5,1598,1785,83.2110186264358
"2023/2024",2024,120,120,100,50.3569009769548,216.438482776792,63.5298321120069,90.3467434992065,2233.07274804855,2108,2066.09886051759,2075,2150.5,1608,2146,91.2891109899851
"2024/2025",2025,121,121,100,53.1418511793958,193.812444527194,67.9863709130083,93.1108083645971,2246.81248388071,2060.5,2030.08553229883,2064,2119.5,1619,2119.5,92.4529324441696
"2025/2026",2026,120,120,100,46.6040606569149,180.333002588399,69.351207560927,93.0075595411142,2102.25185859887,1956.5,1813.94273371433,1976.5,1937.5,1576,1925,87.2854055368753
"2026/2027",2027,120,120,100,42.753133029318,180.273096621796,82.7000462782834,98.9545250809797,1805.39984949965,1499,1384.34760464742,1648.5,1479.5,1407,1476.5,80.0352112368942
"2027/2028",2028,120,120,100,46.7062667584007,149.300497372111,73.2495490907441,94.6692436257516,2070.88215092632,1878.5,1797.93592316841,1920.5,1860,1568,1855.5,88.106043022467
"2028/2029",2029,121,121,100,62.2089532801327,252.89218909378,72.5595686427053,97.6198489806463,2173.4233450185,1969,1804.05336427334,2044,1939,1769,1937.5,87.6712046355351
"2029/2030",2030,120,120,100,56.2011291321776,210.594074032062,73.0786825291034,95.5571581526371,2104.89346695787,1890.5,1776.28789917561,1980.5,1861.5,1646,1860.5,85.1120569206059
"2030/2031",2031,120,120,100,45.9876320873292,215.992678062245,65.4221660341488,90.9577538925024,2053.68612793856,1922,1877.44839047856,1944.5,1933.5,1509,1925.5,88.8447840069757
"2031/2032",2032,120,120,100,51.4530518728359,212.292837016288,71.835969693703,95.0985692054819,2069.07555195372,1870,1718.46810550679,1927.5,1857,1623,1845,84.2870967989256
"2032/2033",2033,121,121,100,53.4135421743254,201.657889700134,72.7302504631886,94.3822174026455,2142.45616018788,1966.5,1881.69003801784,1977.5,1984,1614,1968.5,87.4451034715958
"2033/2034",2034,120,120,100,55.0079431333502,219.981539561214,74.6184663909276,97.2338197286074,2078.81438095613,1844,1708.11755186126,1933,1812,1661,1810.5,85.2247682248244
"2034/2035",2035,120,120,100,50.9579827461529,177.890461849233,79.0666827042035,98.0233912475185,1980.55119839728,1765.5,1585.95380885264,1891.5,1717.5,1617,1717.5,81.8413794392354
"2035/2036",2036,120,120,100,54.7985243172713,192.61468822484,70.7352527879562,95.1360311930119,2127.92340498857,1957.5,1786.77805812527,2004.5,1924.5,1677,1917.5,86.0755248579289
"2036/2037",2037,121,121,100,47.347607676065,190.999414243167,70.2879244560744,92.50131048558,2095.15154470141,1935,1922.67162995083,1929,1983,1458,1979,89.2973186494346
"2037/2038",2038,120,120,100,58.2301674009246,204.700867644743,80.4239132365173,99.4938551844983,2083.89087786547,1805.5,1591.65986589973,1961,1752,1781,1750.5,84.2226323743071
"2038/2039",2039,120,120,100,41.3407563698102,161.888042413341,69.1837323136056,89.3265251308319,1995.56095717088,1913.5,1860.41523169901,1856,1931.5,1375,1922.5,86.61171366692
"2039/2040",2040,120,120,100,41.372710073922,167.142516592912,62.0675346640101,87.7785180034856,2110.21549455228,2021.5,2059.05464186069,1965.5,2077,1378,2068,90.6407008973856
"2040/2041",2041,121,121,100,54.7386203356604,209.758201337968,68.7136436931085,94.0319481376227,2247.85329299301,2070.5,2003.04410646678,2081.5,2102,1687,2100.5,91.1264937427231
"2041/2042",2042,120,120,100,59.7072168589309,187.933044783592,73.2263190197715,96.579773932967,2316.82523132241,2105,1981.49007170801,2146,2115.5,1841,2114.5,89.6698144346201
"2042/2043",2043,120,120,100,31.5653171162066,131.406283487026,64.000433203875,83.6053750199963,1801.19796454214,1766.5,1823.15614854977,1672.5,1820,1065,1789.5,83.7737258347761
"2043/2044",2044,120,120,100,61.322136227037,229.088817363861,76.3605703374783,98.623786525706,2215.95758585556,2002.5,1753.11330296368,2110.5,1940.5,1925,1940.5,86.7458779253775
"2044/2045",2045,121,121,100,57.431446110332,200.078995444227,70.1061170292243,94.1064588296015,2294.29515233045,2164.5,2057.39691299823,2137,2182.5,1766,2178.5,90.6566763619476
"2045/2046",2046,120,120,100,46.9196417386932,195.579787629235,75.7031566492627,96.9002628887652,1991.89783015943,1742.5,1636.3980353664,1841,1731.5,1564,1728.5,85.3892916272398
"2046/2047",2047,120,120,100,56.5327955579757,197.486063876443,75.7110346394977,98.0593020930399,2139.68245016006,1908.5,1713.18881982523,1977,1867,1768,1848.5,85.8807906657285
"2047/2048",2048,120,120,100,48.6082508266946,166.428786612656,78.1709949544135,93.1210256195037,2017.00006193953,1838,1789.78078216704,1839,1893,1473,1882.5,83.9268388922746
"2048/2049",2049,121,121,100,60.8474195734704,238.926077907241,68.8993021067042,96.1065021623289,2334.30332257392,2156,2051.50443831018,2177.5,2185,1829,2185,92.4683220650477
"2049/2050",2050,120,120,100,58.6292331943238,225.492335778677,75.3313668875677,99.878447574031,2217.06207309771,1941,1733.857931116,2076.5,1874.5,1888,1874.5,87.7590099142008
"2050/2051",2051,120,120,100,65.357505895943,241.145868617804,78.9244067231778,101.50798396941,2191.00989736558,1907.5,1607.1859688113,2076.5,1805.5,2034,1801.5,84.989247360194
"2051/2052",2052,120,120,100,51.6547905030628,193.579958406102,71.472817283062,95.6668833757179,2073.53192999237,1864,1695.4546901091,1928.5,1822,1614,1807,84.8113039079717
