"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.3412843475269,134.475806415684,64.4311139676734,85.9422943766742,1836.41441927811,1770.5,1782.22235622139,1719,1793.5,1145,1767.5,84.3623283077906
"2002/2003",2003,120,120,100,36.1894040227874,127.546493292855,68.0216967652108,87.3913346292945,1924.62919540856,1805.5,1838.83730768533,1752,1862,1254,1832.5,85.1143468633385
"2003/2004",2004,120,120,100,48.4633566467512,181.603972320936,72.011990702313,94.4117633833487,1998.94053424185,1776.5,1660.44656145227,1837,1777.5,1523,1755,84.998886455193
"2004/2005",2005,121,121,100,54.8813906901918,206.044229675851,65.0190189667608,91.167866194735,2243.3547737306,2137,2066.57709343918,2087,2164,1661,2152,90.2668106339535
"2005/2006",2006,120,120,100,42.8151958281973,166.755336419568,60.3076243598328,85.4804331161946,2067.04548935673,2060,2051.58512055195,1968,2084,1376,2071,91.1637879439594
"2006/2007",2007,120,120,100,44.2547739968804,187.258049905447,64.8664364272002,88.6381629614637,2066.60357163357,1942.5,1926.9428089117,1884,2013,1426,1976.5,86.7551503715445
"2007/2008",2008,120,120,100,43.6963441393557,167.64929669013,74.4307448696356,93.8195259566869,2009.52085631851,1813.5,1744.97200788101,1890.5,1826.5,1497,1824,86.058027626327
"2008/2009",2009,121,121,100,42.6776061553806,191.845016560818,67.4300536031101,92.1289890433834,2065.39035320738,1919.5,1882.83449060135,1901,1930.5,1452,1927,89.0658956970558
"2009/2010",2010,120,120,100,48.169380779914,168.110594577102,67.0512988854233,90.1815996117462,2086.75950384168,1939.5,1908.11536206675,1925.5,1981.5,1474,1969.5,88.4021645089574
"2010/2011",2011,120,120,100,51.3612564587961,188.851406705498,65.5663826049957,89.8952159354617,2232.61586448571,2144,2112.86704057191,2091,2191.5,1606,2191.5,92.6604016480644
"2011/2012",2012,120,120,100,55.2622030105767,187.517176097069,67.964875064862,92.5165092863939,2231.20103435266,2121.5,1979.00826289546,2110.5,2136,1705,2122.5,87.2622463699493
"2012/2013",2013,121,121,100,41.6535074644631,174.243017191552,68.5166456301107,92.0824655878451,2014.52814755237,1819.5,1813.69746291519,1839.5,1861,1360,1838.5,88.1391387052252
"2013/2014",2014,120,120,100,55.3257271424324,188.827367677572,71.275413220662,94.6298045094996,2229.60011051139,2052.5,1881.76156509775,2079.5,2014.5,1806,2004.5,87.5413348692623
