"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.9463146009975,179.92926123131,64.0015531368986,87.3016234999913,1868.3667017771,1782,1740.29195201085,1762.5,1802.5,1255,1780.5,84.4853810958954
"2002/2003",2003,120,120,100,36.5292202824945,163.019764027352,67.6657758933325,88.3418465348078,1923.53978993635,1796,1796.04593356738,1743.5,1863,1248,1834,85.2422626586226
"2003/2004",2004,120,120,100,48.3674575096576,205.733012399857,70.9345767444048,95.6556924338687,1999.61764273104,1808,1691.0800979039,1841.5,1815,1521,1799.5,84.6581179667594
"2004/2005",2005,121,121,100,55.5495717210004,246.802574619811,64.5051421063273,93.0074747880234,2239.24792130165,2106.5,1985.94973483291,2071.5,2126.5,1682,2108,90.0828063013696
"2005/2006",2006,120,120,100,45.2735343235634,216.696598095206,60.1047483533576,87.2812580461474,2084.07359929458,2047,2003.1861909869,1999,2056,1483,2047.5,89.0259535335374
"2006/2007",2007,120,120,100,45.1840266703559,219.471530949196,64.5872919037145,89.063971379767,1986.76689767426,1876.5,1821.5900334399,1843,1907,1388,1876,85.7254767835328
"2007/2008",2008,120,120,100,48.3908058690427,212.960168594641,74.239151552252,95.3624295798155,1994.31980531707,1784.5,1638.34791863708,1909,1754,1595,1750,83.7536564289909
"2008/2009",2009,121,121,100,44.9804614109752,239.420136674059,66.9870185326783,93.4427527416166,2057.51792352488,1899.5,1811.73196691377,1927.5,1898,1534,1892,87.4579866164315
"2009/2010",2010,120,120,100,45.4686271717679,195.541239323998,66.9322874608793,90.9743555957574,2065.10189074451,1940.5,1889.74692965071,1915,1973,1464,1962.5,88.4135351545049
"2010/2011",2011,120,120,100,55.3277983562721,229.343603615892,65.4692412666962,91.3878132595388,2214.87234343442,2106.5,2008.99417656522,2067.5,2113.5,1635,2113.5,90.0835626875883
