"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.5886356175208,138.526925570882,64.9887915564436,86.0453702462822,1814.33794314166,1747.5,1746.82368327355,1728,1750.5,1184,1728,83.5086224633322
"2002/2003",2003,120,120,100,33.4113977456703,125.54620902531,68.8402489610737,87.1967315497076,1854.13534030936,1737.5,1758.91487623448,1703.5,1798.5,1196,1771,84.03657543033
"2003/2004",2004,120,120,100,47.4363484409344,178.925780116244,72.1495714521575,94.9584758972971,2014.89992824406,1779.5,1691.62225101277,1841,1785,1508,1771,86.6706138302254
"2004/2005",2005,121,121,100,52.0947945523899,203.086057823539,65.5421988394574,91.5229738108867,2213.2338974475,2089.5,2034.15101152231,2060.5,2137,1644,2124.5,91.0307176407492
"2005/2006",2006,120,120,100,41.5288038010788,169.914528434909,60.5692289345973,86.1004359267639,2091.73814124661,2064,2085.15842247843,1970.5,2087.5,1369,2081,90.9472181943484
"2006/2007",2007,120,120,100,43.1318418916748,186.051661387711,65.4833686568953,88.3512503113208,2023.57812560783,1910,1900.32363798392,1875,1964,1424,1933,84.7653782790611
"2007/2008",2008,120,120,100,43.1894000139301,167.541302660733,75.2491092902682,93.4932918033583,1932.86987551291,1767.5,1656.03835201552,1823.5,1749.5,1447,1741.5,81.4798649277276
"2008/2009",2009,121,121,100,42.0899573458835,191.614700394049,68.020251723611,92.0733310321752,2065.00453472338,1901.5,1875.6804888523,1893,1950,1471,1944,88.6479723647738
"2009/2010",2010,120,120,100,44.3516926197751,165.054810472483,67.5420250295072,90.2058194055581,2087.0417320812,1950.5,1945.54804570556,1930.5,2007,1433,2000,88.6440574191618
"2010/2011",2011,120,120,100,54.4296026247012,198.713420355656,65.8031382862322,90.4215111607143,2308.12699243414,2229.5,2187.64820314055,2147.5,2288,1656,2288,93.4059915322259
"2011/2012",2012,120,120,100,52.7679896639523,184.208857459957,68.4873701674413,92.7992902625919,2191.92970931241,2069.5,1943.93444042919,2066.5,2067,1686,2059,87.597827152737
"2012/2013",2013,121,121,100,41.8249499544825,176.075560756236,69.0305878948865,92.1763246391122,1986.25650838005,1780,1792.68755980267,1806.5,1844,1338,1825.5,86.937697404238
"2013/2014",2014,120,120,100,51.0547597713211,183.071800654671,71.9864406628232,94.4744425419756,2155.75885105608,1952.5,1818.69018446777,1996,1920,1716,1913.5,85.4855342920459
"2014/2015",2015,120,120,100,27.6040936357146,117.021849856297,78.4431289084439,94.2170555968561,1496.74494805674,1214,1057.87025402847,1381,1143,1178,1084.5,70.8658309400998
"2015/2016",2016,120,120,100,43.1519178997338,153.573991013433,66.5482424478283,89.6360995423229,2018.96850274054,1875.5,1868.0048269882,1865,1946.5,1367,1928,87.1152043113507
"2016/2017",2017,121,121,100,41.0000765320668,170.015726137467,67.8112483164087,90.1604280342818,1882.86820621012,1723.5,1612.25492873563,1730.5,1740.5,1382,1683,81.6473105264477
"2017/2018",2018,120,120,100,31.2658634051383,130.076917379616,72.0402887051813,89.2250160391201,1699.45198599961,1530,1494.38962840603,1573,1536.5,1161,1500.5,77.045905888077
"2018/2019",2019,120,120,100,44.0933700225454,149.974221379559,79.3107202319917,94.5808752280574,1882.22729753438,1653.5,1533.86712655038,1731,1629,1456,1604,80.5416743124633
"2019/2020",2020,120,120,100,38.9351231483107,159.750562673655,65.3585199449471,88.6791278438583,1931.70321215823,1802,1748.57487373451,1793.5,1812.5,1341,1788,85.5812693524695
"2020/2021",2021,121,121,100,41.2163885928182,164.59079767611,62.3349425292553,87.2718137977858,1989.8709412995,1889,1885.41813820287,1840.5,1945,1329,1896.5,87.5280238267605
"2021/2022",2022,120,120,100,49.6864756705098,187.34732929196,77.6179743274749,95.1038846542848,1901.86608580468,1699,1530.54003218389,1791.5,1631.5,1550,1623,80.3399965237454
"2022/2023",2023,120,120,100,52.7958918152647,175.244529205511,70.138004450207,92.2333790489324,1993.71372741634,1847.5,1642.0057394653,1895,1796,1566,1763,82.1251041564374
"2023/2024",2024,120,120,100,44.079193671432,188.620844493729,61.2956304264597,87.3363093087798,2134.71043861104,2040,2033.02851723151,1977,2097,1440,2076,89.398262686087
"2024/2025",2025,121,121,100,46.4448287764035,167.945609057339,65.5104322286598,89.9142088114094,2131.89241109678,2019.5,2010.72609626558,2006,2049.5,1477,2037.5,90.4694046465829
