"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.2923694783907,159.621409659505,67.5477033535531,89.030565357199,1915.65001684374,1794.5,1806.23799287166,1808.5,1829,1275,1821,86.3420563719434
"2002/2003",2003,120,120,100,43.2157758742592,155.785187815808,71.2760161086044,90.3673869468046,2042.27643688363,1919,1894.45298248183,1902,1958,1458,1949.5,86.8483470030203
"2003/2004",2004,120,120,100,53.3163394856242,204.610921071069,75.0528078138747,97.5103621409758,2102.34277385141,1836,1707.54983568571,1942,1829.5,1690,1823,86.4258631057905
"2004/2005",2005,121,121,100,55.6968958705108,210.893649052283,68.5271875819605,94.4845957555364,2265.05527554702,2105,1991.41749174362,2112.5,2132.5,1769,2121.5,90.5075080679105
"2005/2006",2006,120,120,100,48.7034252086217,190.968581764808,63.5367481459238,88.8832838388982,2113.75917496181,2036,1990.90852056317,2001.5,2040.5,1477,2031,89.2176648299999
"2006/2007",2007,120,120,100,46.7758500234151,191.497633512063,68.7815338355822,90.0675846188333,2066.28410480763,1944,1911.23671095773,1929,2002,1507,1984,87.6070181289206
"2007/2008",2008,120,120,100,51.8073552362682,190.945550117457,77.844525785015,96.9929979354233,2050.28121052579,1815,1657.55467123211,1932,1788,1646,1785,82.9255677117018
"2008/2009",2009,121,121,100,46.9225057748344,208.737718364311,71.1574246051587,94.1351379221808,2084.34475962423,1919,1851.18079952507,1946,1928,1578,1926,86.5669399597839
"2009/2010",2010,120,120,100,48.6751301410843,181.309525561113,70.4988730461318,92.7532846930898,2140.90012227104,1966,1929.40389142659,1990,2018,1557,2015.5,88.2855105402182
"2010/2011",2011,120,120,100,55.4877066027696,200.355003820617,69.3381823671909,92.8660042811763,2261.68387364257,2121.5,2015.9982063256,2114.5,2121.5,1731,2121.5,90.8419221844804
"2011/2012",2012,120,120,100,57.3614197601033,195.776985824215,71.3021744421329,95.3640114541551,2259.94387729681,2094.5,1945.26115717417,2136.5,2077,1821,2074,87.1848920516436
"2012/2013",2013,121,121,100,46.8640641112664,188.788673985142,71.6915213871372,95.6832727330385,2096.97303578335,1873.5,1803.76825007214,1937.5,1882.5,1532,1878,88.7017605831627
"2013/2014",2014,120,120,100,51.992934239193,181.320282929985,75.5777436466989,96.2986012581776,2119.38050507589,1873,1738.98085292859,1982.5,1842.5,1738,1837.5,85.5980569068322
"2014/2015",2015,120,120,100,31.2120255829949,126.279305189004,81.455880828703,96.4485021265298,1577.18289670342,1244.5,1135.34231484768,1456.5,1210,1217,1175.5,73.9376702916652
"2015/2016",2016,120,120,100,51.0936423651769,181.18116808041,69.0675960568127,92.9696295369685,2179.19484973697,2012,1949.085287691,2030.5,2056,1611,2052,87.5179011257956
"2016/2017",2017,121,121,100,41.859109167819,175.940695441878,70.9249487998775,92.1703725049389,1913.84745505264,1760.5,1634.07517371606,1805,1729,1421,1700,82.5376667878249
"2017/2018",2018,120,120,100,38.5498990806059,155.224380572686,74.6226115486972,92.2711941020202,1841.32378549485,1658,1583.90051794546,1708.5,1663,1325,1644.5,80.7952318169973
"2018/2019",2019,120,120,100,48.640407340721,161.944822588072,82.2524315910283,97.0972068323637,1961.50611697997,1723.5,1553.39901155664,1838.5,1702,1621,1685.5,78.9195408586902
"2019/2020",2020,120,120,100,40.89318410626,172.384791631082,68.0904674187505,91.6930083900572,1998.73917282238,1833,1762.48859779844,1871,1804,1449,1792,86.2711785333536
"2020/2021",2021,121,121,100,43.2191904200737,175.049589636876,65.0934340943635,89.9590537615099,2056.10762411468,1928,1923.22703612772,1903.5,1975,1416,1949,88.2469900382339
"2021/2022",2022,120,120,100,48.3675749365778,181.778224174637,80.4909763006843,98.1906808729296,1881.86627040537,1635,1440.42211383883,1791.5,1550.5,1577,1550,80.2622182779983
"2022/2023",2023,120,120,100,51.1952469614262,170.827184335947,73.0661244939301,94.7138772899106,2026.99658040798,1839,1666.03124531219,1895.5,1793,1594,1773,83.4412340299336
"2023/2024",2024,120,120,100,49.5535342360649,203.953229718388,63.9362619495238,90.1931796127101,2228.12050062658,2108,2070.13969796281,2067.5,2153.5,1584,2147,90.4925391541847
"2024/2025",2025,121,121,100,51.994810795976,184.533396619557,68.3733407266852,92.9353248190097,2229.3843247218,2032,2026.26610693866,2054,2100,1611,2100,91.8796087661467
"2025/2026",2026,120,120,100,46.4763966856072,172.333040249216,69.7063451452592,92.8337284566077,2106.13026265596,1949.5,1829.97546729641,1977.5,1950.5,1567,1938,86.3022085635898
"2026/2027",2027,120,120,100,42.6819363783641,174.863262853744,83.2748351230841,98.7713122144024,1816.88263411706,1500,1395.01469729507,1654.5,1474,1403,1472,80.5707703100024
"2027/2028",2028,120,120,100,46.426740071235,142.615117526128,73.6683786767118,94.4374837002943,2056.15463434218,1862.5,1777.91388395446,1906,1847.5,1553,1838.5,87.084781869934
"2028/2029",2029,121,121,100,60.8043622547746,242.610590209486,73.0045260477538,97.4101001676586,2181.08231710411,1981.5,1820.19085471133,2057.5,1949.5,1779,1949.5,88.382869968525
"2029/2030",2030,120,120,100,55.1678029938508,200.331979743768,73.5708302583213,95.3329616960617,2099.84185540791,1885,1782.1812353917,1977,1870.5,1630,1869,85.8691553695799
"2030/2031",2031,120,120,100,45.4730993760774,204.43047687163,65.8901064373265,90.7897584894205,2046.3183410318,1914.5,1877.01528469672,1933,1931,1492,1922.5,88.7075689996054
"2031/2032",2032,120,120,100,50.6664275368386,200.855188079335,72.4277199405759,94.7806007246562,2059.56095657554,1868.5,1712.98253757245,1911,1846.5,1600,1834,84.831622076742
"2032/2033",2033,121,121,100,53.1316037330615,192.858176974779,73.1156347103248,94.1845089569568,2143.68748616305,1976.5,1889.93555576953,1982,1989,1620,1973,87.2569831116925
"2033/2034",2034,120,120,100,54.6128873047519,213.513151642169,75.0619371311493,97.019884269093,2081.26714601176,1841,1716.4017881718,1942,1828.5,1657,1828.5,85.784056459489
"2034/2035",2035,120,120,100,49.5160834154908,169.019279282374,79.6403999667346,97.7247526135358,1961.23679584783,1756.5,1572.42440020634,1880.5,1695,1603,1694.5,81.575179957812
"2035/2036",2036,120,120,100,53.5429482706068,182.593234687964,71.222059634458,94.8775543077533,2108.20590457006,1955,1768.09177965403,2000.5,1908.5,1675,1898.5,86.8916870541179
"2036/2037",2037,121,121,100,46.1343732751839,178.756234930419,70.7903527669489,92.2851967352487,2083.18108419063,1933.5,1916.94218062849,1919,1970,1446,1965.5,89.5010736984568
"2037/2038",2038,120,120,100,57.7640990477212,197.635584739386,80.9544623044769,99.2827746739224,2078.42269225595,1804,1581.03029594492,1955.5,1744.5,1787,1740,83.1577555557733
"2038/2039",2039,120,120,100,40.5089980516768,154.023450810014,69.5835817708021,89.148273349383,1989.92153937355,1906.5,1867.37292979482,1845.5,1933.5,1338,1926,87.3746470311107
"2039/2040",2040,120,120,100,40.4928839119233,154.859341895483,62.5117918252662,87.6279378876901,2097.11797534302,2012,2048.07709748759,1956.5,2066,1360,2056,91.0440408317854
"2040/2041",2041,121,121,100,53.1592905575299,197.027172891055,69.1816222858209,93.8115351495211,2225.70494698622,2062,1987.56572822684,2063.5,2071,1654,2069.5,90.980643375492
"2041/2042",2042,120,120,100,59.6706816469363,180.517662307649,73.5570162823083,96.4667075294848,2321.61810436004,2101.5,1990.78420159694,2154.5,2122.5,1860,2122.5,89.7074530346554
