"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.398466163165,165.604091059517,67.682561003865,89.2960164059137,1926.58974459914,1812,1801.68711224577,1807.5,1835.5,1287,1826,85.7567773004462
"2002/2003",2003,120,120,100,41.8236357472944,158.013044269302,71.6450855716986,90.3702061640943,2016.00791094684,1885.5,1853.60913822618,1867,1918,1430,1905.5,86.5087468921936
"2003/2004",2004,120,120,100,52.2565240119281,205.644873575648,75.2149189702399,97.6870902740477,2082.53920911198,1845,1693.35425752976,1927,1817.5,1676,1811,86.2131935178208
"2004/2005",2005,121,121,100,56.425064929281,220.666544086106,68.5402634857515,94.9533529585988,2275.70267319481,2109.5,1992.05470325016,2126.5,2133,1795,2123.5,90.3119829615126
"2005/2006",2006,120,120,100,49.5271961839592,199.252669680926,63.5884358298073,89.3512789652414,2133.05110177735,2053.5,2002.61164076699,2029.5,2064.5,1521,2055.5,88.995847746392
"2006/2007",2007,120,120,100,47.1354463754141,197.291188521763,68.8969869708988,90.2448854661955,2059.23954962771,1940,1893.61423802831,1910,1986,1489,1968,86.3046355021204
"2007/2008",2008,120,120,100,51.9303644287622,194.910432069572,78.0538086912879,97.2096458637552,2027.92676000682,1786,1626.14041205974,1919.5,1758.5,1636,1755.5,82.2490803014571
"2008/2009",2009,121,121,100,48.5371774718826,220.035340849028,71.1295234078405,94.7069941104439,2103.45527143755,1932.5,1844.6504320443,1967,1940.5,1624,1939,87.2370827540076
"2009/2010",2010,120,120,100,48.4254413116064,184.408611214957,70.7837422208435,92.6412939149026,2124.02925089181,1972,1918.63938378335,1967,2008.5,1524,2007,88.0828369995438
"2010/2011",2011,120,120,100,56.6792774697211,207.674678144197,69.4715054047736,93.361208290225,2275.6773100961,2126.5,2008.95387134011,2128.5,2125.5,1782,2125.5,90.5305467689982
"2011/2012",2012,120,120,100,58.0784526777304,199.341995650868,71.4247964551412,95.896749129853,2264.1160181031,2092,1934.3563071703,2140,2080.5,1834,2077.5,87.798634632202
"2012/2013",2013,121,121,100,45.6567282072082,190.355755349812,71.9649563247407,95.5779239778311,2050.67885962452,1831,1763.05835176565,1871,1837,1471,1832.5,88.7224800320155
"2013/2014",2014,120,120,100,51.793267817822,189.034160177279,75.6607200376147,96.6506742721591,2110.78901047162,1858.5,1723.3078491128,1972.5,1820.5,1753,1816.5,86.3427156539653
"2014/2015",2015,120,120,100,29.2583796292236,122.663237185806,81.7495987067893,95.9215188944744,1529.34246211353,1221.5,1115.06538446943,1412.5,1190,1138,1155.5,73.3786662595783
"2015/2016",2016,120,120,100,50.7694077228721,184.061842935521,69.2678644168977,93.005639879768,2158.6350689167,1989,1926.79448967389,2001,2038,1583,2034,89.0586062687935
"2016/2017",2017,121,121,100,41.479212884233,177.930122944606,71.0632034825501,92.2325800511382,1882.67061019411,1733.5,1599.54843427176,1773.5,1690,1402,1662,81.8345085100486
"2017/2018",2018,120,120,100,38.5980722782053,158.950406739401,74.7994587480485,92.3741590450793,1823.67171177577,1640.5,1559.2344890737,1693,1640,1327,1619.5,79.5507468856922
"2018/2019",2019,120,120,100,47.5426942715714,162.457567054847,82.5299043101255,97.4454245429113,1921.72846650003,1670.5,1503.57493285474,1801.5,1640,1581,1623.5,79.0232012928118
"2019/2020",2020,120,120,100,41.4997761539322,179.042517927935,68.1992185328534,92.0924330286317,1995.2399268701,1820,1748.4104100322,1866,1793.5,1466,1781.5,85.9528099070262
