"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.4227481721003,154.013293356392,67.8706877735183,89.0625604074842,1919.47277249251,1807,1823.80076869206,1798,1834,1261,1825.5,86.9999961549616
"2002/2003",2003,120,120,100,45.1282686699595,152.717261721925,71.4908420264722,90.6812883155957,2075.36188216413,1968.5,1927.14892534762,1920,1999,1485,1989.5,88.0420355879489
"2003/2004",2004,120,120,100,54.5455500163973,200.893127742096,75.6023377303838,97.7100755005313,2114.00266358747,1835,1698.05881116837,1942.5,1815,1727,1808,85.8407887714516
"2004/2005",2005,121,121,100,56.0922314748032,203.730386043768,68.9893041404987,94.5398737953345,2261.41144384366,2111,1981.68635049985,2115.5,2125,1772,2112,88.4362417103705
"2005/2006",2006,120,120,100,49.0662745758698,187.97634158816,63.8936868466951,88.9650323967825,2111.34413726054,2041,1978.94306097212,1998.5,2052.5,1495,2044,88.7726416737959
"2006/2007",2007,120,120,100,47.3128671616592,184.537657684327,69.0534654904891,90.4261616780929,2085.45779967484,1958,1923.7894455892,1934.5,2015.5,1506,1998.5,88.7859409407781
"2007/2008",2008,120,120,100,51.879613592996,187.360769326436,78.2424309826685,96.8194873178902,2075.0940054587,1831,1701.24593919008,1943,1820,1655,1818.5,82.268474442773
"2008/2009",2009,121,121,100,46.0607359529987,200.646220599938,71.5532427298131,94.2446259671251,2088.02628420572,1913,1855.88075767891,1949.5,1914.5,1573,1914,87.8628344548749
"2009/2010",2010,120,120,100,49.3018004359674,176.256265207321,70.735698703776,93.239591869547,2155.77795987602,1967,1918.49358931585,1991.5,1997,1566,1994,88.1206639814898
"2010/2011",2011,120,120,100,56.4652253440548,195.065004490731,69.6409781094896,92.8957337087157,2272.64068995361,2126.5,2028.8664468673,2130.5,2143,1746,2143,90.7282692471811
"2011/2012",2012,120,120,100,58.0011550645291,192.321933648642,71.6405310116552,95.3644760863623,2265.76495486582,2081.5,1954.53621224477,2132.5,2078,1818,2075,88.9568277600431
"2012/2013",2013,121,121,100,49.1398747319998,191.564350144041,71.8866344369851,95.9816123784598,2152.61117958051,1921.5,1846.85121592064,2007.5,1934.5,1630,1930.5,89.5413040161789
