"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.3707971923765,137.805964677673,64.6994675948343,86.1448433516583,1816.53894552978,1757.5,1764.1663662872,1717,1763,1155,1740.5,83.414357848049
"2002/2003",2003,120,120,100,37.478885481395,132.665521681451,68.1431648607058,87.7061597459289,1937.40120474192,1841.5,1856.54285574595,1795.5,1895.5,1308,1873.5,86.1792582692461
"2003/2004",2004,120,120,100,49.8486188026968,186.834638999014,71.9853835586884,95.0318046695113,2047.22785557908,1789.5,1703.15990861833,1881,1807,1569,1791.5,86.6348859644588
"2004/2005",2005,121,121,100,51.7893968889049,197.084494018703,65.5019120312013,91.2808431093985,2200.92633741782,2086,2016.9562175525,2047,2114.5,1636,2099,89.5864413597461
"2005/2006",2006,120,120,100,41.5544310998824,165.865184786961,60.5927659381881,85.7175619539679,2047.20433036289,2029,2019.97426979273,1927.5,2039,1334,2030,90.6545763164266
"2006/2007",2007,120,120,100,43.0183478801368,180.70743644467,65.2882175698244,88.3180310089102,2040.02639351638,1928.5,1925.37572204224,1892.5,1986,1436,1957.5,85.629555479605
"2007/2008",2008,120,120,100,44.9956677544584,170.945982906253,74.8200108744062,93.7076039828437,1996.20320305511,1820,1726.82808602494,1875.5,1818.5,1497,1810.5,83.6583228619506
"2008/2009",2009,121,121,100,40.7480452057907,186.236087614694,67.9856541829193,91.7156117257187,2031.74101911581,1870,1859.66486007807,1861,1904.5,1415,1901,87.9969275665142
"2009/2010",2010,120,120,100,46.7971794371844,169.866404112758,67.1686693707264,90.5856122142492,2118.55946108266,1959.5,1954.45482419054,1959,2028,1487,2018.5,88.8065080750409
"2010/2011",2011,120,120,100,53.4695780856309,192.694841368457,65.8062823081529,90.0036665284561,2262.35460543652,2185.5,2140.16912737748,2131.5,2236.5,1632,2236.5,90.9270022290195
"2011/2012",2012,120,120,100,52.6330597755499,183.655642575511,68.2895311855866,92.3752257780211,2192.93149004861,2073,1957.17024097795,2064,2063,1650,2053,87.1506530508771
"2012/2013",2013,121,121,100,45.7943159067954,184.472097116782,68.4568818463828,92.8324400918135,2089.32820917855,1900.5,1868.86671512259,1915,1924.5,1466,1907,87.7655079735807
"2013/2014",2014,120,120,100,52.1645704749072,176.360941855996,71.9255467181101,94.2576554482543,2156.61996293837,1971,1824.8863902303,2017,1942.5,1713,1931,85.1758797282998
"2014/2015",2015,120,120,100,31.823160771339,130.154290477744,77.7007538201507,95.4888823764232,1613.2822603428,1315,1163.67295125849,1504.5,1245,1309,1199,74.9239866935525
"2015/2016",2016,120,120,100,45.2695695885275,158.77576237466,66.1623212048179,89.9065485916133,2082.40981640168,1938,1929.56679703648,1929,2018,1426,2002.5,88.0217163022487
"2016/2017",2017,121,121,100,41.774076540126,171.102662076769,67.5809807821161,90.0627807598641,1925.60473574442,1779.5,1669.63942328479,1799,1773.5,1406,1722.5,81.8487575002046
"2017/2018",2018,120,120,100,31.8853504869348,134.795605431826,71.6870809822477,89.4498553085665,1745.29816756705,1573.5,1560.49631383166,1630,1582,1197,1551,80.3612714946689
"2018/2019",2019,120,120,100,46.7843254008495,156.197116758084,78.6961373816318,94.6555731806414,1976.68777020022,1766,1650.83117757649,1820,1739,1566,1720,81.901183801685
"2019/2020",2020,120,120,100,37.6083374904136,158.219209038941,65.2181028527508,88.4154956326731,1933.93446458762,1800,1760.68970111408,1780.5,1811.5,1319,1787,85.3788764973283
"2020/2021",2021,121,121,100,40.3915827762798,157.239367430275,62.2970441817899,86.7805804487787,1961.40332711558,1834,1862.98696656744,1806.5,1905,1297,1862.5,87.2868816217219
"2021/2022",2022,120,120,100,52.2380628357613,188.81107230106,76.7836578624323,96.1677365523681,1956.89048632978,1739.5,1555.2156051615,1842,1668,1615,1658.5,82.9568272100205
"2022/2023",2023,120,120,100,54.7177823484978,177.277661047646,69.7276066458842,91.94235526361,2058.36207856308,1923,1754.0493342848,1930.5,1897,1581,1866,83.8879589270023
"2023/2024",2024,120,120,100,45.3969614353736,189.616244045733,61.0024154191422,87.0993604602068,2181.51880689117,2114.5,2097.20310626659,2043,2160.5,1507,2144.5,90.7420122504964
"2024/2025",2025,121,121,100,47.0867169326224,167.811009406912,65.386707631764,89.5648588391126,2123.05092968943,2007.5,2008.22886732814,1992.5,2047,1454,2032.5,89.8978336950395
"2025/2026",2026,120,120,100,39.314323318227,147.585576167506,67.0455550222427,89.2126590597675,1969.76861390856,1838.5,1768.53133600494,1825,1848,1370,1820.5,83.8867197787258
"2026/2027",2027,120,120,100,39.0473367190258,165.386140146369,80.0469028229875,96.742950092619,1797.74435498028,1493.5,1429.85593809427,1635,1482.5,1326,1474.5,79.9567378521938
"2027/2028",2028,120,120,100,46.1079741618768,139.757197036094,70.4064802627286,91.7399163903885,2003.59379851424,1845,1782.7076557774,1869.5,1852,1458,1836.5,84.6288377071719
"2028/2029",2029,121,121,100,57.6083985563551,238.389798837621,69.6645200965328,94.5352635394041,2211.8613217485,2059.5,1946.2728756075,2071.5,2054,1716,2051,88.387691026614
"2029/2030",2030,120,120,100,51.7265486149232,193.76821324235,70.1767387480594,92.7302308684901,2094.77471432921,1935,1863.08816764296,1957,1915.5,1564,1910,86.5265875636105
"2030/2031",2031,120,120,100,40.2387062281343,179.13202223895,63.3169665164389,87.3133494015501,1916.29626246938,1835,1794.40853101262,1820.5,1841,1306,1818,86.1177593692832
"2031/2032",2032,120,120,100,46.9372069129812,184.17517903321,69.4344275768996,92.0302081699358,1991.53921306015,1819,1692.9768264777,1841,1837,1470,1801,83.65423717458
"2032/2033",2033,121,121,100,48.9782068217883,179.985860377634,69.7516513777149,91.528233954987,2142.93002440025,2006.5,1962.04313612789,1977,2052.5,1531,2031.5,87.7815014317675
"2033/2034",2034,120,120,100,50.6808918231831,203.890354942317,71.5978952832015,94.8404373811641,2068.10052826573,1873,1769.71536130661,1943.5,1867.5,1593,1862.5,86.0688866715145
"2034/2035",2035,120,120,100,47.0253170269047,165.507545318326,76.21413473375,95.1841966028755,1974.22247376572,1796.5,1658.00875693985,1857.5,1752,1534,1749,82.4275580872618
"2035/2036",2036,120,120,100,50.2714752349949,174.244079383981,68.2989790121137,91.6706775363003,2065.29511950555,1946.5,1799.28726502268,1948.5,1938,1572,1915.5,85.3350417550746
"2036/2037",2037,121,121,100,40.5825951647244,155.551397717067,67.6052983379725,89.4910044987022,1989.4177934388,1884,1909.56090779903,1830,1935,1280,1927,88.7265597725309
"2037/2038",2038,120,120,100,59.1738231924062,205.779496446001,77.3273238358345,97.4799974667441,2159.55642611366,1947,1712.28032269787,2022.5,1909,1819,1898,84.6540007758267
"2038/2039",2039,120,120,100,36.9009210065397,141.430838258004,66.0234626018153,87.5964307699715,1957.50071264344,1859,1899.4182121479,1803.5,1924.5,1248,1915,86.3861345532796
"2039/2040",2040,120,120,100,35.6633742059602,135.626851717605,59.8098899122111,84.3051354730414,1947.88431935615,1900,1948.91362608099,1813.5,1942,1194,1918.5,88.9751922974629
"2040/2041",2041,121,121,100,46.0871027767225,168.446292658514,66.3877929644611,90.3839576844955,2079.59092101722,1943,1924.30697104263,1927,1979.5,1424,1967.5,89.7865354707255
"2041/2042",2042,120,120,100,56.0747292624081,168.79372037403,70.2625065045424,93.4440240168325,2285.00484675751,2103.5,2051.24635330764,2109.5,2151,1714,2149.5,90.1487684219637
"2042/2043",2043,120,120,100,26.5938270330323,97.2114109141948,61.5464576623608,80.8554645414136,1675.07720130819,1647.5,1692.15116624555,1538,1725.5,908,1668.5,79.5292766513912
"2043/2044",2044,120,120,100,61.527541372391,215.908308460406,73.0404798668629,96.2559471484819,2272.31186940588,2084,1898.22958531735,2139,2058,1916,2055,89.5727343046174
"2044/2045",2045,121,121,100,50.5491680483431,177.921082162892,67.0357083461369,91.667694543699,2290.52259337052,2169,2144.19008276915,2106,2247,1633,2240,92.0121433275481
"2045/2046",2046,120,120,100,44.3291919849142,184.246851236214,72.5304042403758,95.1784475431701,2014.54663208197,1786,1725.64885354413,1869.5,1823,1500,1820,86.3805096758715
"2046/2047",2047,120,120,100,54.4825303347734,187.395875104984,73.0342368247414,94.8864746423188,2124.85361891289,1901.5,1774.98887142599,1943,1928,1666,1896,85.1565523587396
