"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.4502662950095,167.366699471728,69.1870269338822,89.9531837342009,1927.07449714369,1785,1795.20196103024,1808.5,1820.5,1311,1813,86.4434915775313
"2002/2003",2003,120,120,100,43.5531458736111,164.074397598885,73.1034609107907,91.3451304028236,2011.56574884154,1878,1819.68114239536,1861.5,1913,1482,1903,86.6286687876371
"2003/2004",2004,120,120,100,50.9286704900675,199.265443393559,76.9179560702369,98.6897566973301,2017.8948078661,1731.5,1580.65740284643,1865.5,1704,1635,1696.5,84.5938065615445
"2004/2005",2005,121,121,100,57.2375914556397,224.92485468159,69.9979083373432,96.0840145998652,2252.62385357909,2073.5,1920.93113968656,2117.5,2069.5,1826,2062,88.952268287018
"2005/2006",2006,120,120,100,50.1220529376786,207.02666817709,64.7138348609268,90.8578680772674,2185.76803367015,2060.5,2021.27428339346,2059.5,2097,1585,2092,90.1615358516277
"2006/2007",2007,120,120,100,51.1295553318008,212.194489138502,69.9342798356533,92.2256942678621,2105.97410068342,1951,1869.30235476603,1959.5,2006.5,1579,1986.5,86.5039608285513
"2007/2008",2008,120,120,100,50.611181359545,191.12590018266,80.020547001578,96.8761406529168,1969.83193649238,1754,1596.84206576147,1850.5,1725,1577,1723,80.1582405228319
"2008/2009",2009,121,121,100,48.2951821212362,219.426497602207,72.5728314191695,95.521942665541,2089.81703096717,1893.5,1798.71656154212,1953,1888,1634,1886,86.6604026582272
"2009/2010",2010,120,120,100,50.6485322661409,190.402442519474,71.937721294128,94.541681396223,2161.27868999159,1972.5,1876.25150788835,2001,1989.5,1618,1986.5,88.1841469468332
"2010/2011",2011,120,120,100,62.0217249673159,225.442564797879,70.384624068403,94.915180050171,2354.49350468013,2201,2041.37381778067,2190,2195,1868,2195,90.7157131034646
"2011/2012",2012,120,120,100,58.6314501504253,204.037413192087,72.9892583697228,96.797284993396,2219.97881521262,2021,1846.20631123387,2083.5,1978.5,1813,1974.5,88.3592774904459
"2012/2013",2013,121,121,100,48.6014111570248,199.548632200637,73.2901594404221,96.6056309017277,2088.69716555088,1845.5,1766.38570593359,1929.5,1869.5,1591,1863,86.5769172723976
"2013/2014",2014,120,120,100,52.484354333903,192.33450125289,76.9869978184515,97.8275485844612,2101.22606317083,1837,1663.26295243617,1968,1782,1790,1778,84.2899601205149
"2014/2015",2015,120,120,100,27.7298095564362,116.646607798853,83.3629114257748,96.5126955431437,1481.60786606964,1165,1056.41140884736,1372,1140.5,1100,1107,72.4213332337565
