"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,28.1239149133575,118.284507503086,59.9505110533044,81.5169894474162,1689.24739883269,1689.5,1648.40738140246,1582,1672,976,1617,79.7556631724732
"2002/2003",2003,120,120,100,27.8437397081938,99.9850169731126,63.686378814058,82.7533705809957,1706.54265345942,1638.5,1690.09974515983,1560.5,1700.5,963,1645.5,84.4560475887111
"2003/2004",2004,120,120,100,43.3587157214639,169.727289613103,66.5801359841305,90.6082764068044,1994.12640106898,1776,1795.31872521593,1805,1863.5,1346,1843.5,86.015253430851
"2004/2005",2005,121,121,100,41.7008456010472,171.494070816763,60.432670632168,86.4370677610978,2090.27470069928,2017.5,2060.15781876025,1918,2086.5,1340,2063.5,89.056047118457
"2005/2006",2006,120,120,100,31.7546610978386,138.138663864529,56.0162071452373,80.4870369147429,1862.06991502623,1900,1942.9633945852,1755.5,1941,1063,1913.5,85.7472006025974
"2006/2007",2007,120,120,100,31.5166337113203,143.860983558787,60.690743199153,83.1057808367698,1825.16156063709,1771,1823.96214541644,1659.5,1862,1053,1811.5,83.9815136549153
"2007/2008",2008,120,120,100,41.3119056363753,162.543662342249,69.2456233111918,90.4159462220647,1970.57778265465,1816,1726.42633960424,1838.5,1804.5,1476,1777.5,83.7714849941789
"2008/2009",2009,121,121,100,35.6354044433092,166.832619366853,62.7773196508571,87.7201973708017,1970.74573253293,1859.5,1879.19962793908,1804.5,1907.5,1258,1888,87.4185824071633
"2009/2010",2010,120,120,100,33.6649317134535,134.765401221194,62.5952380102585,85.0375913117427,1896.8480551666,1830,1897.46226613079,1759.5,1888.5,1133,1873,86.2767763554614
"2010/2011",2011,120,120,100,42.7721664290208,157.931018254906,61.111754401367,84.9209830358617,2084.40735583191,2070.5,2109.61484990149,1968,2149.5,1336,2145,90.5217937812815
