"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,23.0836488805209,87.1235288597,56.8681397556449,77.8919965980592,1520.75795594823,1545,1509.78157614033,1430,1533.5,803,1458,76.0258564456441
"2002/2003",2003,120,120,100,25.058395975417,74.6834111269707,59.9615129692342,79.5295389192944,1622.58250596012,1575.5,1663.38405375142,1459.5,1676.5,739,1604.5,78.7849458216277
"2003/2004",2004,120,120,100,43.5206705087488,156.618911335909,63.3177467705409,86.9310927843967,1958.71895232098,1852.5,1819.69268531055,1820.5,1901,1299,1859,84.6213704330599
"2004/2005",2005,121,121,100,35.2479115022708,133.569786946532,57.5969960482233,81.9929847890132,1923.70025100128,1886,1969.69757953324,1747,1986,1069,1942.5,85.3192745600181
"2005/2006",2006,120,120,100,26.2209426311457,100.127705519892,53.3060227462291,75.8812917772874,1645.35134574953,1741.5,1759.39004958907,1574,1763.5,846,1711,80.570798466525
"2006/2007",2007,120,120,100,25.7352682344576,110.076459447087,57.4765759865917,79.8477626247377,1711.6874579569,1671,1778.02158284024,1538,1788.5,844,1727,81.9582718367726
"2007/2008",2008,120,120,100,36.5946943966326,129.879191756354,65.6608670438976,86.508782923133,1916.01108594754,1830.5,1797.92333335288,1783.5,1821,1303,1794.5,84.232400237737
"2008/2009",2009,121,121,100,29.9363882030853,128.14284348978,59.809351044256,83.6702216651212,1803.45580912816,1750,1802.35376071377,1681.5,1817,993,1783.5,87.1910867994407
"2009/2010",2010,120,120,100,34.7011934795499,120.097263754992,59.1234386861105,81.3222638977025,1811.54930540776,1829,1863.24271076078,1708,1870.5,1019,1837,82.1789893712858
"2010/2011",2011,120,120,100,32.6898160986105,113.936103546513,57.9982267082636,80.516942079415,1885.47039622329,1933.5,2024.01076995603,1782,2004,1031,1987.5,87.6706715157334
"2011/2012",2012,120,120,100,37.8324055787776,131.149094004804,59.9692470912502,83.1921627771044,1958.32513150365,1923,1978.88552146407,1819,2011,1174,1978.5,86.2369850776859
"2012/2013",2013,121,121,100,36.6290236401025,142.286605999186,60.3369149606193,83.9123914229773,1840.96489383442,1798.5,1810.17178595351,1735,1841.5,1120,1792.5,83.6075245929674
"2013/2014",2014,120,120,100,41.4602850346284,129.284570805594,63.220844415543,85.6805295490335,2008.89872902884,1923.5,1936.82736107269,1846.5,2024.5,1277,1986.5,87.0157023579973
"2014/2015",2015,120,120,100,41.9079815202441,141.871880507737,68.3152997209272,89.6232644545765,1761.52176753696,1584,1305.03792113095,1622,1504.5,1412,1399,73.0114502289509
"2015/2016",2016,120,120,100,33.0387854344235,111.200712266069,58.1857516368613,80.8358766196253,1791.3367926297,1812,1832.71586101255,1697.5,1840,1039,1785,82.6365737756837
"2016/2017",2017,121,121,100,36.1277662108112,133.901189255575,59.4115447219379,81.2497770015573,1723.43745741478,1653.5,1584.28274369855,1552,1716,1079,1597.5,76.4307846604224
"2017/2018",2018,120,120,100,28.4709482812109,100.278912666368,62.9550208699134,82.6368895755434,1607.2520088607,1538,1455.65363728833,1499.5,1542.5,1024,1454.5,75.6396771837376
"2018/2019",2019,120,120,100,40.6910385574435,125.65574648957,69.153045473152,87.9352392205859,1913.58402049694,1794.5,1745.97444695596,1731.5,1833.5,1263,1791,83.4728386939378
"2019/2020",2020,120,120,100,29.5740792447945,109.371988304829,57.3125026550528,79.9041575033591,1699.66256864632,1686,1638.91600433007,1590.5,1698,1008,1623,79.4798518780135
"2020/2021",2021,121,121,100,27.347314355265,105.335836286182,54.752123082987,77.4719330176561,1623.33113619822,1608,1645.15446035659,1478,1687,800,1578,77.3340126172957
"2021/2022",2022,120,120,100,47.3268731166042,166.354082270675,67.5771675799257,88.8493075700501,1943.86191537372,1842,1719.51280108998,1811.5,1829.5,1414,1799,82.5220339190846
"2022/2023",2023,120,120,100,41.7448336560111,140.203504350083,61.2708943940329,83.2323128502895,1887.54032898073,1842.5,1768.70253205513,1743.5,1876.5,1269,1802,79.5807625358907
"2023/2024",2024,120,120,100,27.4142471262038,103.704383637485,53.7136768343871,77.1917317520252,1761.78846572603,1814,1897.47468901774,1641,1896,869,1836,82.9843265875879
"2024/2025",2025,121,121,100,32.4562136349444,108.736580524574,57.4563091543383,79.8950141276592,1800.23226411505,1870.5,1898.94734472465,1724,1906.5,1012,1863.5,82.0466908529388
"2025/2026",2026,120,120,100,34.1000009918122,110.024233377205,58.8074465660206,80.5398115244124,1757.28034347632,1730.5,1699.14455391418,1653,1774,1097,1695,79.3963239793279
"2026/2027",2027,120,120,100,42.0200811410143,169.983008388821,70.2915506515679,91.0490382500789,1865.46187541983,1680,1604.0734767238,1766.5,1659.5,1372,1636.5,82.4317930805837
"2027/2028",2028,120,120,100,39.0489074282299,114.821352686781,61.7826696695862,83.3262919851036,1834.65979884088,1814,1776.85200593676,1732.5,1819,1149,1775,82.9828055631651
"2028/2029",2029,121,121,100,39.9895611499018,173.179291034123,61.3160408491071,85.629589048873,2013.01773684427,1949,1984.9048713699,1860,2013.5,1260,1994.5,87.3752887195851
"2029/2030",2030,120,120,100,37.5846984523601,146.477824289512,61.7419403746227,84.2404947329935,1901.10627103476,1893,1871.67187795738,1797.5,1920,1182,1902.5,85.5018345806252
"2030/2031",2031,120,120,100,28.6111161894474,122.766596664463,55.6446565252284,78.6219211612902,1660.610491168,1678,1650.93756291006,1535.5,1710.5,920,1629,78.9273972201704
"2031/2032",2032,120,120,100,36.2686081876859,141.969517317664,61.1188763744995,84.1841286946539,1851.90540623014,1719,1723.5720463711,1681.5,1792,1209,1706.5,82.1028511476607
"2032/2033",2033,121,121,100,31.2741769574615,114.005838072586,61.2839936693646,83.3327806794482,1877.64923975116,1808.5,1906.04565962082,1716.5,1908,1029,1862,85.8449148417121
"2033/2034",2034,120,120,100,41.4485638728107,160.940084582515,62.9551043899366,86.7122726489417,1965.56327165705,1880,1857.92836386649,1836.5,1917.5,1277,1894.5,86.0205230925303
