"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.1325721074231,98.9125634004684,58.2077585184574,79.5900985414909,1612.95490330256,1630,1615.96236763877,1501,1623.5,879,1560,77.9655878448592
"2002/2003",2003,120,120,100,26.545600004799,87.4463266557493,61.6329266959637,81.0366259748353,1666.67124794727,1617.5,1697.0385997112,1511,1687,835,1620.5,80.4304350688034
"2003/2004",2004,120,120,100,43.1235822858151,161.151068432678,64.8605705037695,88.668701972376,1963.11578869107,1796,1805.01956199657,1798,1850,1313,1815,85.7734309503304
"2004/2005",2005,121,121,100,39.6663687169587,155.415256805564,58.7804814626053,84.1139430665356,2037.93334633026,1983,2064.57789078446,1856,2074,1201,2044,89.1177437709969
"2005/2006",2006,120,120,100,28.7495079420448,116.935115434347,54.5684941038856,78.0360849870834,1767.51477322851,1830,1876.41626147605,1674.5,1886.5,955,1849.5,82.9338025301141
"2006/2007",2007,120,120,100,28.7343254887578,127.556845064013,58.9416409661644,81.557928182211,1768.55979082225,1719,1808.87814045693,1607.5,1812.5,954,1755,82.6951004958074
"2007/2008",2008,120,120,100,39.1673118208097,144.16032633647,67.1651203914976,88.6621686968536,1979.66342630512,1872,1823.05632511155,1847.5,1869.5,1384,1851.5,84.4525324199819
"2008/2009",2009,121,121,100,33.6688507406694,147.444572287077,61.018017767798,85.8635837180958,1924.38767097327,1839.5,1890.76186441872,1769.5,1908,1131,1889.5,87.6743701848153
"2009/2010",2010,120,120,100,34.7177852083099,126.323213730471,60.8036132874044,83.0825501764361,1841.97519663622,1816,1863.39970062723,1736.5,1861.5,1080,1834,85.4584243182899
"2010/2011",2011,120,120,100,37.8724372328967,136.190806779746,59.4975100376925,82.6384124229612,1980.7722899014,1995.5,2056.52291368477,1882.5,2056,1210,2043,88.3916066346139
"2011/2012",2012,120,120,100,42.7844262573019,146.989047628777,61.3774661394248,85.4031922795445,2070.00186418371,2021,2046.11164854225,1919,2101,1326,2076,86.6634440808577
"2012/2013",2013,121,121,100,36.7661744019019,150.551761583524,62.0446946417951,85.5809060835672,1822.12426796121,1748,1753.61747624956,1731,1767.5,1162,1729,83.0668843581232
"2013/2014",2014,120,120,100,44.6941634995132,148.19578578466,64.6456375411212,87.7045359621301,2089.09084856582,2001.5,1966.44059939314,1925.5,2063,1402,2035.5,87.392989227716
"2014/2015",2015,120,120,100,36.6288895339264,137.140586641733,70.021496111209,90.7744595163622,1683.47310513432,1463.5,1256.6553509299,1544,1393.5,1318,1313.5,73.2632612126147
"2015/2016",2016,120,120,100,33.7136135372389,121.357993882384,59.6157704058206,82.6753463061646,1830.26215524743,1821.5,1867.36283223959,1745,1864.5,1085,1828,85.9700128267632
"2016/2017",2017,121,121,100,36.662068602582,141.976039246996,60.8957259526542,83.33588406698,1740.56945749807,1671.5,1562.95457943483,1600.5,1690,1126,1595,76.438050495248
"2017/2018",2018,120,120,100,29.179251286661,110.232925740661,64.3150531077413,84.5066590724067,1649.14135010207,1552.5,1499.45162862044,1535,1569,1063,1500,78.374383552612
"2018/2019",2019,120,120,100,43.5145701692154,142.380485503876,70.8548573321021,89.7613376424023,1929.12470441047,1784,1706.06632731701,1789.5,1791.5,1387,1753.5,82.8183403758444
"2019/2020",2020,120,120,100,32.1687890657748,126.603108965794,58.6327346746566,81.8448648493941,1780.13282707519,1745,1707.86851174965,1667,1768,1097,1710.5,82.6251548477444
"2020/2021",2021,121,121,100,28.6089220738355,117.008218006542,56.0616348603967,79.436611309374,1695.64469691103,1652,1729.29307181078,1551.5,1754,864,1670.5,78.8684976149934
"2021/2022",2022,120,120,100,47.8566520577931,171.086748871683,69.6048068057393,89.6321710057651,1912.37568911261,1816.5,1681.26076904359,1785.5,1771.5,1425,1751,80.2853029142584
"2022/2023",2023,120,120,100,47.3257084890504,155.908279329844,62.7401547815648,85.4089749316855,1926.90972749415,1892.5,1764.0965333937,1828.5,1877,1388,1822.5,80.8610243178755
"2023/2024",2024,120,120,100,30.9258800766022,128.683360317844,55.0594002556095,79.3615670640573,1847.75516232838,1881.5,1942.22498214373,1745,1959.5,1027,1913.5,84.8793512708558
"2024/2025",2025,121,121,100,37.0955258718128,124.882851291212,58.7186107089034,82.0536418564775,1931.8468332585,1972.5,2018.26890556601,1838,2027.5,1142,1993,86.8176786874383
"2025/2026",2026,120,120,100,38.5978932919469,126.449404988612,59.9274169071764,82.7349551046534,1878.78361216099,1821.5,1814.51881268466,1750.5,1876,1197,1826.5,83.2735691766002
"2026/2027",2027,120,120,100,44.4178391504998,180.369185930959,71.6455699770811,93.2057163406258,1949.13902766404,1713.5,1644.8214729695,1811,1736.5,1444,1716,83.2587649517336
"2027/2028",2028,120,120,100,42.0965030778194,128.391608014826,63.1387644010356,85.4154388313476,1930.04274767579,1882.5,1867.49870900843,1825.5,1893.5,1241,1868,84.643710953053
"2028/2029",2029,121,121,100,42.6788753751964,189.359378055767,62.9440842972392,87.5880883556715,2028.01616813726,1952,1930.71480093565,1888.5,1967,1365,1948.5,87.7227288580093
"2029/2030",2030,120,120,100,40.1380560752675,160.264881005248,63.3911512038957,85.6701611505646,1922.80816171995,1881.5,1860.89692448189,1842.5,1899,1309,1882,86.3367960086393
"2030/2031",2031,120,120,100,31.1067693822023,143.994410354859,56.8449153897533,80.8819460595319,1745.58043403154,1745,1714.78719284006,1640.5,1778,1048,1713,79.565720241465
"2031/2032",2032,120,120,100,39.1159624524403,152.05158206901,62.663894239842,85.747606719123,1873.5108809416,1762,1713.94332989804,1711.5,1800,1252,1729,82.9449717545281
"2032/2033",2033,121,121,100,34.2604226607539,128.362649995444,62.7903784944973,85.2895389587785,1939.50248385087,1850.5,1931.70470161446,1769,1948.5,1111,1910,87.7651447252506
"2033/2034",2034,120,120,100,45.1789150622753,173.751122125324,64.4318094082983,88.6005707612893,2018.22350370696,1912.5,1880.13987576268,1887,1953,1372,1941.5,88.1765051141183
"2034/2035",2035,120,120,100,45.8151175602498,156.199202365189,68.5621754366198,90.2041013807029,1962.9012196995,1852,1739.68016861572,1861,1811.5,1478,1794,83.0894431862671
"2035/2036",2036,120,120,100,42.64348374721,151.880403212513,61.3281907403909,85.1364976228907,1959.59094639408,1907,1844.14754727727,1828,1945,1336,1892.5,81.1810174734628
"2036/2037",2037,121,121,100,31.4801883621872,122.157610820081,60.8543455184168,82.5313984276653,1762.31950697624,1758,1856.41053701876,1669.5,1817,966,1797.5,85.0798083357704
"2037/2038",2038,120,120,100,50.8088240899561,180.920588262097,69.5040960158907,91.5783348759908,2158.32980004884,2019,1947.55565119457,2003,2062,1611,2047.5,87.5914659737609
"2038/2039",2039,120,120,100,29.7629663264641,112.956453174299,59.6338651507109,80.5774400036521,1734.07582282295,1682,1746.2638831133,1579,1765.5,946,1707,80.3690257383196
"2039/2040",2040,120,120,100,25.5656979069858,93.3933719152184,53.9119546522076,76.5567507513589,1622.03630362732,1675.5,1739.43364154806,1522.5,1688,759,1632.5,80.6751805524473
"2040/2041",2041,121,121,100,36.1512112178313,129.348258451453,59.7538737001787,82.9422653118916,1876.41893826023,1876.5,1919.95830814946,1771.5,1910.5,1114,1879,85.3133269239415
"2041/2042",2042,120,120,100,42.2918864388564,127.446649974272,63.4216375447729,86.1568513411775,2062.3576387284,1976,2075.64491458323,1897.5,2070.5,1236,2057.5,90.9698751639417
"2042/2043",2043,120,120,100,17.2367456546112,58.9536414227192,55.7752876944264,73.5021848475011,1274.16411058485,1334,1319.29551343596,1201.5,1343.5,570,1220,67.3356763134479
"2043/2044",2044,120,120,100,50.0090260301347,174.825372435443,66.0268728086121,89.6713680021486,2155.7015734248,2032.5,1989.00064731711,1970.5,2092,1483,2078,89.7562254239128
"2044/2045",2045,121,121,100,33.2954250924764,118.077633972277,60.5906053367651,84.2776983909973,1993.3355578154,1923.5,2056.53441500889,1790.5,2056,1036,2030.5,89.0154323757706
"2045/2046",2046,120,120,100,39.0979428577067,157.175312322787,65.5054545700352,89.269017528475,1887.96931257071,1750,1748.70862081205,1766,1763.5,1282,1741,85.7275242162141
"2046/2047",2047,120,120,100,46.62436103993,158.946783050219,65.6505080247575,88.4732841884952,2039.55398581995,1913,1904.67619578887,1865.5,1967.5,1372,1930,86.4038430649853
"2047/2048",2048,120,120,100,32.0343956809094,112.918920979405,68.1850734983043,84.3126797404216,1731.05449283612,1665,1750.38886285929,1569,1726.5,934,1696.5,82.7144923514834
"2048/2049",2049,121,121,100,42.1193420437969,160.306287506385,59.6557595321142,85.2264435431135,2078.28488515571,2040.5,2116.88448375619,1918,2121,1232,2108,91.2173052805501
