"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,24.1203626004202,94.1726403648691,57.6075497593573,78.9297448285446,1564.95675376301,1579,1558.02523913514,1483.5,1571,838,1504,75.079907488146
"2002/2003",2003,120,120,100,26.6978646484607,80.8780712655837,60.7115600703128,80.5826526571011,1694.31564885621,1628,1733.12982127593,1525,1744,818,1681,81.8152513464118
"2003/2004",2004,120,120,100,45.5525996746623,162.503313748071,64.2350427869114,87.7717647086899,1989.49267407142,1878,1830.23057768738,1843,1918.5,1346,1879,84.6556673590073
"2004/2005",2005,121,121,100,38.065279369526,143.138740271522,58.4039783365973,83.0378179484468,1969.3634154444,1921.5,1989.65066476223,1802.5,2017.5,1151,1974,86.315699975027
"2005/2006",2006,120,120,100,28.5400529673294,111.233801336663,54.0765445156859,76.9388406249545,1694.57013640934,1789,1781.4839662385,1617,1804,924,1757,82.0310705118527
"2006/2007",2007,120,120,100,27.6332184208111,116.044203821489,58.2806384442187,80.8158965684245,1753.75819277357,1710,1807.96571788303,1585.5,1817,908,1760.5,82.6446656430619
"2007/2008",2008,120,120,100,38.2692488910778,138.630371024053,66.4967993716309,87.4266947221167,1953.62856139999,1862,1829.31688718169,1825,1863.5,1351,1845,85.8557383398676
"2008/2009",2009,121,121,100,31.1855389108623,135.072053988418,60.6213965293912,84.6467170441798,1841.79699593914,1777,1821.21067334516,1706.5,1834.5,1045,1809.5,87.0378329786416
"2009/2010",2010,120,120,100,37.2705032434423,128.678106704588,59.9233162454253,82.3742446394205,1856.54017769122,1859,1881.62648054483,1745,1893,1088,1862.5,83.0911518613914
"2010/2011",2011,120,120,100,35.4587919003803,123.588035822629,58.854870126591,81.5484837118913,1919.22921597588,1951,2028.35994692417,1818,2027,1099,2014,86.8729150012248
"2011/2012",2012,120,120,100,40.0523242454749,138.934256616337,60.7679716769661,84.2186618737448,2001.25765428213,1968,1999.04605354375,1871,2046,1240,2016,86.7505019501891
"2012/2013",2013,121,121,100,38.2455925824885,148.424427773664,61.0825585723286,85.016899122153,1900.49368783083,1831,1858.92071631301,1770.5,1894.5,1170,1849,84.112473771987
"2013/2014",2014,120,120,100,43.4775028679259,136.428642853209,64.1322808920897,86.6403766559401,2043.39208574221,1946,1935.35048212234,1870.5,2048.5,1336,2012,86.5079643187244
"2014/2015",2015,120,120,100,42.043907032286,142.887990571955,69.1353608171557,90.5395088313415,1787.14263759032,1615.5,1348.20432668227,1664.5,1528,1436,1437,76.270329418923
"2015/2016",2016,120,120,100,34.6465492944765,116.330143157093,58.9564280044045,81.9157361421858,1852.17034359584,1851.5,1888.21328425522,1749,1897,1102,1852,85.0755976267981
"2016/2017",2017,121,121,100,37.053427854563,136.525576244973,60.2437178572387,82.1716173638949,1754.10300147039,1680.5,1613.80227338766,1587,1736,1108,1632.5,78.6142576200552
"2017/2018",2018,120,120,100,29.3637065606791,105.324892999738,63.7854089503348,83.5179578331963,1643.64331067824,1583.5,1500.19032968066,1545,1561.5,1060,1487,77.823798830691
"2018/2019",2019,120,120,100,41.5413051752515,129.618238407804,70.003181382596,88.8562464171092,1956.79131239334,1833.5,1787.21706646609,1772,1872,1313,1835,85.2271153048705
"2019/2020",2020,120,120,100,30.3142883187651,113.904340624798,58.1106905751713,80.9305025152726,1735.09662913156,1709.5,1666.93090985133,1621,1737.5,1024,1670.5,78.7933456875153
"2020/2021",2021,121,121,100,28.7142722456569,107.831187776975,55.5472791660774,78.4509105223498,1656.19103741431,1638.5,1669.28912176703,1502,1708.5,825,1607,77.0487896188106
"2021/2022",2022,120,120,100,49.728712110513,175.81184409094,68.3405811885205,89.9819594038333,1977.19300050123,1853,1725.51168028212,1843.5,1842,1486,1816,82.7902203108288
"2022/2023",2023,120,120,100,42.7811702246317,143.29409241622,62.035898090568,84.2170579821535,1923.89578485033,1877,1812.40609584105,1771,1902.5,1288,1841,81.8136204563298
"2023/2024",2024,120,120,100,29.1354675355762,112.716414567626,54.3845441626388,78.2521907527776,1827.6215496338,1857,1961.4926122403,1694,1960.5,933,1909,84.8667631359181
"2024/2025",2025,121,121,100,34.3964619328482,116.870558475667,58.2499987682302,80.9382648580426,1851.03811982537,1907,1935.35063735534,1762,1952,1057,1911.5,83.3745681354962
"2025/2026",2026,120,120,100,34.6565390293602,111.836275479265,59.7337197343559,81.4924453236637,1777.97244014789,1733.5,1699.88804752669,1663.5,1788.5,1098,1714.5,81.2633772811469
"2026/2027",2027,120,120,100,42.1595070286278,171.500864998455,71.3007502055064,91.9332759948674,1857.08779558916,1641.5,1570.79938984261,1750.5,1629.5,1366,1606.5,81.5180078250532
"2027/2028",2028,120,120,100,40.5274504569409,118.961475346093,62.6708706271381,84.3550466379599,1862.19568742144,1833.5,1789.35379058225,1781,1838,1199,1801.5,83.2923016090167
"2028/2029",2029,121,121,100,42.2581195045607,184.116723209959,62.1287739511964,86.5206341676279,2051.42594848093,1976.5,2009.30520147252,1916.5,2049.5,1341,2033,87.7928379531395
"2029/2030",2030,120,120,100,39.5962633237711,152.864851580051,62.5338649515584,85.2845833342999,1951.21168251148,1929.5,1909.47016488521,1838.5,1966.5,1237,1950.5,87.4886396414431
"2030/2031",2031,120,120,100,29.8541862596527,127.354536055142,56.4215062821888,79.5260042896252,1703.21123356733,1715,1690.76515598508,1571.5,1743,959,1672,79.737219490481
"2031/2032",2032,120,120,100,38.4819546659604,151.773097138241,61.9055305865417,85.2342148466978,1900.14307913087,1762,1753.98282307931,1730,1828.5,1289,1753.5,83.2977685686415
"2032/2033",2033,121,121,100,33.4127541034239,119.870520468626,62.1321629840124,84.2654806508011,1916.01696042994,1846,1924.37462438086,1749,1933.5,1085,1892,86.4835698662296
"2033/2034",2034,120,120,100,43.3688630960322,169.566403822771,63.7912170495432,87.6713121905038,1993.31244263129,1897.5,1865.29183712814,1864,1922.5,1338,1904.5,85.5880937823631
"2034/2035",2035,120,120,100,42.568717404162,142.210978420888,67.7644599241581,89.2396005761437,1970.97160299018,1863,1797.713048694,1848.5,1859.5,1385,1845.5,84.60552498987
"2035/2036",2036,120,120,100,40.9837752504489,140.98971971215,60.7578380718179,83.9177396827661,1929.82445683751,1881.5,1841.18167556734,1801,1930.5,1284,1872,82.2406528597458
"2036/2037",2037,121,121,100,30.3192554227495,113.200924970754,60.2170352338165,81.9519755161729,1732.57058641865,1733.5,1812.24587865878,1665.5,1789.5,983,1760,85.1993312727218
"2037/2038",2038,120,120,100,49.6046661471364,175.196020394006,68.8259710402312,90.7340970313293,2148.59391331703,2040,1953.1588499669,1990,2062,1560,2041.5,87.3912912284886
"2038/2039",2039,120,120,100,26.6959259051415,97.4418822996937,58.9127899946236,79.8201186657311,1651.25851324741,1647,1714.17204199847,1543.5,1704.5,861,1655.5,79.939173038314
"2039/2040",2040,120,120,100,26.1210279940249,86.5821356566729,53.2894207568065,75.5134538403759,1600.15632861783,1690,1716.8486571085,1511,1709.5,769,1649,78.9629397805147
"2040/2041",2041,121,121,100,35.931791987727,122.691951352931,59.0646137083895,82.1481912583715,1859.57814077914,1876.5,1904.93434186876,1765.5,1917.5,1066,1878.5,86.3057724778482
"2041/2042",2042,120,120,100,42.9577928470847,124.633756634751,62.6181214451118,85.2973625184231,2067.46390411961,2009.5,2104.42762474376,1917,2118,1238,2105,91.7751993767997
"2042/2043",2043,120,120,100,17.6396773741576,58.8631118971193,54.769142886416,73.31715668078,1319.73115619758,1342.5,1340.3057970494,1195.5,1385,587,1253.5,68.7274765571119
"2043/2044",2044,120,120,100,48.0092449990913,163.612774969483,65.2351610100251,88.6827141757196,2178.28758419807,2069,2067.30528593015,2004.5,2143,1498,2128.5,91.0834525429218
