"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.2451593157497,92.3831035139289,58.7784981480564,79.6706959929081,1586.06408611312,1608,1585.65392236829,1518.5,1612.5,850,1557.5,78.6071737427747
"2002/2003",2003,120,120,100,27.4504014299337,79.1035708314877,61.9890538611045,81.2617986164464,1698.43192611891,1648.5,1731.94240950584,1534.5,1737.5,836,1682,80.5883330922797
"2003/2004",2004,120,120,100,45.2093224023215,158.973926246931,65.3417221753542,88.7607313728649,2030.10269335459,1909.5,1872.56219676636,1885,1949.5,1372,1923,86.5015644617995
"2004/2005",2005,121,121,100,37.9453298884138,137.270368931055,59.6244902809658,83.9561772740521,1988.9292303233,1941,2007.36946684602,1836.5,2040,1190,2004,87.3174338286979
"2005/2006",2006,120,120,100,29.5067250272125,110.084865258437,55.1096059799842,77.9044492543424,1726.80587491323,1799,1834.52155166217,1651,1825,928,1790,81.7923927340687
"2006/2007",2007,120,120,100,28.1621887749091,109.819656170567,59.6572744783065,81.2545356756581,1763.05952396269,1729.5,1822.36297597904,1603,1820.5,911,1770.5,84.710322075206
"2007/2008",2008,120,120,100,39.6891738565017,138.715702969973,67.7752006658634,88.3021684026432,1964.20413774383,1847,1808.01976254962,1833.5,1848,1383,1823.5,85.630759327382
"2008/2009",2009,121,121,100,30.6116148873969,128.216508446829,61.9044188667418,85.410186279004,1860.12717014795,1772,1848.5107584452,1703.5,1848.5,1046,1826,87.8481684296006
"2009/2010",2010,120,120,100,34.7820608028372,119.760536385242,61.1355746642717,83.1762554576418,1878.17548242732,1862,1920.32205329442,1765,1914,1078,1896.5,86.9401167840383
"2010/2011",2011,120,120,100,37.0030375631935,121.508108066884,59.9799711556184,82.3723815370383,1976.85099620783,1993,2084.56175823332,1850,2084,1131,2076.5,90.3445909763495
"2011/2012",2012,120,120,100,40.6782102286678,131.389423828073,61.9540833672278,85.0873687607261,2030.66808102466,1975.5,2015.75423467074,1875.5,2062.5,1238,2042,87.6568042830681
"2012/2013",2013,121,121,100,39.0825001905149,145.205711342846,62.3542367292681,85.8675636457932,1922.46400265454,1848,1866.71304101921,1806,1904,1212,1874.5,86.5096514528307
"2013/2014",2014,120,120,100,43.5790810850436,131.231820025897,65.5000511325754,87.2441299625996,2022.62641536694,1922.5,1912.39659058678,1865,2007.5,1320,1981,86.8543216363107
"2014/2015",2015,120,120,100,40.1024959553692,135.68648366586,70.8622449046472,90.8503876172581,1745.72744508394,1545.5,1261.54971211962,1601,1470.5,1417,1368,72.9502525748301
"2015/2016",2016,120,120,100,36.057373005502,117.637757127206,60.1255851729875,82.8001445225534,1880.26570858635,1868,1897.34031326593,1776,1915,1132,1872,85.3719269680621
"2016/2017",2017,121,121,100,36.7516534858787,132.610541126221,61.5863142545325,82.9569377135155,1773.38521398757,1689,1616.22928535289,1604,1744,1137,1643.5,77.8880703135201
"2017/2018",2018,120,120,100,29.4822611799832,102.637491194531,65.0264080681872,84.2788857495878,1666.56769795305,1567,1508.09801656563,1542,1574.5,1072,1500,77.2590286993673
