"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.6460021320381,108.10512154176,57.5515629992335,79.6678700047896,1596.51335796969,1609.5,1581.06518576998,1524.5,1609.5,893,1549.5,77.3632386470673
"2002/2003",2003,120,120,100,28.4401528581031,96.0239823395914,60.5534514550564,81.3814578734812,1758.55125402771,1666,1791.37766085139,1569.5,1795,881,1737,82.8392418012309
"2003/2004",2004,120,120,100,46.8320804851523,177.074106251367,64.1728649456827,88.3745375896989,2022.95144193003,1893,1853.00874515316,1864.5,1950.5,1393,1913,86.326847184051
"2004/2005",2005,121,121,100,40.0103642843656,158.542258413857,58.4575077160905,83.7610547221332,1989.90226285101,1937,1972.17454545506,1823.5,2034.5,1207,1986.5,85.7152178921621
"2005/2006",2006,120,120,100,30.8242204908598,129.327571826767,54.184211484345,77.6522972021682,1727.58752181087,1801,1757.36370347303,1633,1808.5,1000,1747.5,80.5453649582942
"2006/2007",2007,120,120,100,28.6792208429078,125.620503548449,58.3676441510945,81.2775759468833,1763.87360401304,1721.5,1796.75280546637,1598,1825,957,1766,83.0780154881629
"2007/2008",2008,120,120,100,40.7069612482856,156.744509897648,66.4216198485701,88.1185153120313,1989.74519097311,1904,1859.73426693266,1869,1898,1384,1883,84.681879035954
"2008/2009",2009,121,121,100,32.001707722906,148.393633301955,60.6094377705428,85.3024331002985,1863.19944747414,1784.5,1818.89035907943,1706.5,1834,1095,1813,88.3125909887177
"2009/2010",2010,120,120,100,38.6043150774398,139.912924161944,59.9689204893381,83.100762011797,1884.03144746095,1860.5,1877.25633300684,1774.5,1894.5,1149,1861,85.2798405917295
"2010/2011",2011,120,120,100,37.4244362531869,137.274907294103,59.0723919891363,82.1837371542691,1934.61982938014,1939,1990.81206882144,1818.5,2023.5,1160,2004.5,87.3831649116314
"2011/2012",2012,120,120,100,41.3800872839348,149.471715237862,60.7987662503271,84.904993792066,2019.6819672971,1999,2007.57154407097,1896,2055,1276,2029,87.7322069698128
"2012/2013",2013,121,121,100,40.3757504090439,164.504863950262,60.899698707008,85.9045945396414,1949.82331037504,1870.5,1895.5391178536,1818,1935,1218,1899.5,87.0839418901519
"2013/2014",2014,120,120,100,45.3142639335714,149.236994462995,64.3171178612838,87.1398055756818,2043.37458658374,1916,1892.27099308399,1858.5,2006,1379,1958.5,85.2718525027501
"2014/2015",2015,120,120,100,43.0867835126208,154.642376882324,68.9581999645635,90.9985164496009,1806.9878389557,1644.5,1393.3966148725,1705,1569,1436,1491.5,77.6180315038519
"2015/2016",2016,120,120,100,36.204425190951,131.429151596387,58.8353759910056,82.7114624027253,1904.12966376048,1886.5,1934.24908928668,1800.5,1947.5,1159,1906.5,87.7092453897817
"2016/2017",2017,121,121,100,37.072540784222,145.322568226115,60.2801679803594,82.7092176724283,1764.28802737794,1695,1621.03152620921,1621.5,1748,1135,1655,78.9532547446454
"2017/2018",2018,120,120,100,30.667086757336,119.216201180173,63.7300802571431,84.080534621555,1677.66349184589,1615.5,1530.71452777156,1585.5,1592.5,1103,1525,77.7493048552569
"2018/2019",2019,120,120,100,42.7385148880957,142.718612113266,69.9385681109094,89.5214804652456,1985.39874224537,1847.5,1812.82075353749,1805.5,1886.5,1346,1854,85.1577370176665
