"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.8012744191137,141.547867251351,62.8201042445325,85.1376617563881,1799.09904810431,1754,1753.32460518267,1705,1768,1126,1743,83.3886572545598
"2002/2003",2003,120,120,100,35.6217057936777,131.826084490943,66.2961177767752,86.5865164788846,1921.19488976772,1827,1858.94011460052,1748.5,1901,1217,1873,86.6099183584549
"2003/2004",2004,120,120,100,50.0557874886889,194.370751178592,69.9292376964052,93.8815246187302,2075.32869165363,1848,1768.21722680516,1897,1875,1551,1858.5,87.4003727731696
"2004/2005",2005,121,121,100,50.4338333521532,198.804101123704,63.5948229802558,90.1122436625519,2196.40361280104,2100.5,2050.8995958635,2026,2134.5,1556,2116,90.7922611525257
"2005/2006",2006,120,120,100,40.4385697107505,169.086404122137,58.9603689486734,84.288055049362,1999.05068319461,2002.5,1986.43948452492,1892,2018,1288,2001.5,88.1408091355053
"2006/2007",2007,120,120,100,39.4632601702781,172.856876537855,63.577031642447,86.6822400746995,1982.13155721228,1893.5,1911.37698917145,1814.5,1955.5,1304,1923.5,86.1375448814446
"2007/2008",2008,120,120,100,46.0269284814743,182.043782163281,72.5643875451617,93.4592054663683,2033.31685067631,1853,1763.61529063434,1912.5,1850.5,1522,1846,85.8203438413233
"2008/2009",2009,121,121,100,39.6821781358284,191.673174078455,65.9792623472304,90.9213667633806,2041.48536881178,1907.5,1889.21435740363,1894,1939,1426,1933.5,88.9350261031641
"2009/2010",2010,120,120,100,43.6893244305894,166.357287561768,65.5086050714156,89.0430913157381,2063.6128549642,1931,1948.03558828045,1915,1991,1414,1981,88.5420156929326
"2010/2011",2011,120,120,100,50.3808263490819,185.687294363421,64.2828373911439,88.5278051150121,2201.36431874091,2144.5,2107.55236398704,2059,2176.5,1535,2176,90.6583389529401
"2011/2012",2012,120,120,100,52.0038085941488,186.242728277686,66.3110143841199,91.2587799695308,2203.50251885036,2102.5,2018.62328738924,2073.5,2135,1634,2127.5,89.668080107477
"2012/2013",2013,121,121,100,44.0680967551156,187.796756497612,66.6252620069607,91.6184583066624,2037.86809800891,1854.5,1850.01653311703,1874,1894,1390,1875,87.6680404788701
"2013/2014",2014,120,120,100,51.5776635974272,180.999413598612,69.9794802054878,92.9765634412974,2156.28775904443,1980.5,1854.50516036825,2000.5,1971.5,1647,1954.5,84.6681678579278
"2014/2015",2015,120,120,100,33.2100334647911,141.074199031486,75.4715048946468,94.8002918020443,1648.57393627432,1364.5,1213.90409230632,1533.5,1298,1332,1250,75.4249619223547
"2015/2016",2016,120,120,100,44.0510414037473,163.471090352823,64.2537671814348,88.6569982581346,2063.53247451643,1949,1960.94258721749,1921,2005.5,1389,1989.5,89.1020916541661
"2016/2017",2017,121,121,100,40.7714069111586,172.016382114576,65.7159773202163,88.7187715696557,1879.63063698301,1768.5,1652.13259382525,1745,1756.5,1329,1705,81.736206806333
"2017/2018",2018,120,120,100,32.5470648221871,139.10248832958,69.5344256405073,88.9006092897847,1757.64081927595,1613.5,1569.45279057345,1663,1620,1212,1583.5,79.4143166036542
"2018/2019",2019,120,120,100,46.9257799437606,164.061732403523,76.4790537154342,94.1140416593459,1983.30376684753,1785.5,1670.80460573875,1845,1765,1550,1741.5,81.8879919362744
"2019/2020",2020,120,120,100,36.8429448250183,160.884139733316,63.2871106009151,87.5381352861114,1927.58554205954,1812,1768.20444382164,1791,1833.5,1300,1804,85.1730962436518
"2020/2021",2021,121,121,100,37.8674297925091,155.33266640722,60.5431202695152,85.4825867535921,1926.78602452297,1835.5,1864.04057198578,1772,1893,1200,1840,87.344136104356
"2021/2022",2022,120,120,100,52.2534557244077,194.44792443052,74.7657277730928,95.0986916484412,1959.49285618569,1768,1591.97702004777,1861,1701,1595,1696.5,81.8810626308609
"2022/2023",2023,120,120,100,52.5036053204461,178.550866975044,67.74704278629,90.8988274013525,2029.93440527355,1893.5,1763.25878178331,1913,1889,1530,1860.5,85.5262939368163
"2023/2024",2024,120,120,100,42.08802602368,185.493015100938,59.2970118676829,85.5997836519197,2123.83069639441,2068.5,2082.79960915173,1966.5,2133.5,1386,2113,89.0151075740723
"2024/2025",2025,121,121,100,46.2624738293675,170.976032255818,63.5183550599969,88.2507649272358,2123.8378906131,2051,2049.64273587073,2008,2091,1422,2074.5,91.1276486411766
"2025/2026",2026,120,120,100,40.6036175890189,156.626939701338,64.9869983256726,88.4518775247095,1999.55550044407,1888.5,1811.5710961384,1848.5,1903,1380,1873.5,86.1122723047961
"2026/2027",2027,120,120,100,40.5616299297491,178.110854868404,77.5387540014856,96.7425003221037,1852.14392404121,1553.5,1476.24583053291,1689.5,1552,1397,1542,81.1366003790154
"2027/2028",2028,120,120,100,45.7447521121146,143.071612779542,68.4590636493359,90.8129686283109,2019.12686420752,1900,1835.54672055507,1887.5,1903,1415,1887.5,86.4558589688659
"2028/2029",2029,121,121,100,55.3622365038808,239.692644642116,67.7669962013362,93.2933260983164,2168.58755548863,2034,1935.77165532912,2026.5,2032.5,1639,2029,89.3075994062592
"2029/2030",2030,120,120,100,51.1331110321187,200.16479558677,68.2647557999454,91.4114795316082,2069.19006309888,1937.5,1867.60482484154,1941,1921.5,1542,1914,87.1977321918062
"2030/2031",2031,120,120,100,38.9376343655977,186.11223554626,61.3568029534531,86.2740579502861,1915.92976764734,1850,1815.08226976929,1821.5,1855,1318,1824,87.5625296491107
"2031/2032",2032,120,120,100,45.9106450581217,189.187745098188,67.3878134117098,91.0908710143223,2000.30765539955,1832,1732.66922417182,1853,1861,1436,1823,84.2303444787967
"2032/2033",2033,121,121,100,45.3278715309371,177.564103698697,67.894442977025,90.4117593363214,2099.34785839933,1969.5,1953.73209718829,1931.5,2023,1458,2001,88.9856760994999
"2033/2034",2034,120,120,100,50.4353353395041,208.154081441827,69.6474528439178,93.7294348325673,2078.59473490297,1901,1808.28071391381,1937,1887.5,1571,1883.5,87.9228723161277
"2034/2035",2035,120,120,100,48.0747147735971,174.736313634698,74.0048406542722,94.6600616678426,1990.01584152076,1807,1684.57831029331,1887,1795,1537,1791,82.9656862310439
"2035/2036",2036,120,120,100,50.7942831156356,181.771316200445,66.2516337277053,90.7285298863989,2069.72245295956,1971,1831.81507700939,1961,1971,1553,1944,86.1814387074437
"2036/2037",2037,121,121,100,39.9566001292148,161.48844578916,65.6827160657631,88.1981919093837,1970.29651045123,1882,1924.21671052046,1824,1943,1228,1936,88.1626492953374
"2037/2038",2038,120,120,100,58.195385051625,210.874052952613,75.1242894230491,96.444106083093,2165.29087305769,1966.5,1772.78511502021,2030,1927.5,1779,1918,85.9944500691226
"2038/2039",2039,120,120,100,35.721754873442,141.989151097499,64.3441547299997,86.1982827435672,1915.64162066963,1843,1869.05883263623,1775,1900.5,1209,1881.5,84.5023981332124
"2039/2040",2040,120,120,100,33.7955795657272,133.036861044233,58.1243299687373,82.8157568838737,1915.82236969695,1880,1951.86320668632,1782,1928,1114,1903.5,87.1579873445662
"2040/2041",2041,121,121,100,46.7342133105174,175.451423773741,64.4131378047285,89.0753373683218,2094.7773520178,1984.5,1985.97717744776,1937,2033,1408,2018,89.8563316011996
"2041/2042",2042,120,120,100,54.0292751646606,168.251517703706,68.460575937426,92.1018588013676,2264.83287137764,2104.5,2084.80822226706,2098.5,2163.5,1653,2160,91.1983179915514
"2042/2043",2043,120,120,100,24.2267855393119,93.9629246580208,59.9173369568739,79.3509930729956,1601.45314400209,1600.5,1650.0102111823,1467.5,1659,804,1589.5,79.1599917796848
"2043/2044",2044,120,120,100,59.3213887522641,217.3990616993,71.2211590256795,94.8683612554684,2251.41335314009,2079.5,1920.91981493668,2104,2058.5,1830,2055.5,89.0521822970641
