"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.9058797460011,174.330712408915,71.9964392965425,92.0685754492947,1975.00927510806,1802,1780.55667261216,1835.5,1816,1411,1814.5,85.6342684645587
"2002/2003",2003,120,120,100,45.3526070075213,168.798747160978,76.262987083299,92.7785256254531,2026.17290548224,1873.5,1788.43588470474,1882.5,1880.5,1522,1876.5,83.0219763806155
"2003/2004",2004,120,120,100,52.5980572410437,201.751318297854,79.9018207757371,100.021391503492,2014.75759925658,1743.5,1566.3129994525,1866.5,1710,1711,1704,83.4720462751165
"2004/2005",2005,121,121,100,59.8164323305005,227.000686489634,72.8244772032524,98.1922010211912,2280.6345990276,2080.5,1880.72076239522,2154,2063.5,1884,2056,89.3981664231047
"2005/2006",2006,120,120,100,56.0018881945742,212.773459117697,67.4844881000501,92.9485486699846,2224.66717240075,2063.5,1997.53168656269,2098,2102,1674,2099,90.7835751102058
"2006/2007",2007,120,120,100,53.1192034631363,212.221340663927,73.2088097010617,93.3352423657884,2105.49815298213,1937.5,1834.87909646717,1960,1975.5,1632,1964.5,85.5596768238955
"2007/2008",2008,120,120,100,52.5020594762707,188.110519466183,83.0506626722985,98.8956145856519,1939.77711449564,1669.5,1487.19056407332,1800.5,1609.5,1605,1608,78.2491239757189
"2008/2009",2009,121,121,100,53.5079318647421,226.575544848659,75.6318513908891,97.2513923413582,2105.01717657491,1904.5,1754.09127753619,1960.5,1880.5,1694,1880.5,84.6483543524264
"2009/2010",2010,120,120,100,53.3412177966357,195.232295148713,75.2078252255733,95.424926988295,2161.66447642621,1964.5,1860.59096293643,1996.5,1992,1677,1992,85.9383241418691
"2010/2011",2011,120,120,100,60.9491879735344,219.374557494886,73.6328404610717,97.0304275962487,2317.99178417868,2114.5,1922.06023201918,2191,2080.5,1921,2080.5,88.9232754607128
"2011/2012",2012,120,120,100,59.8300912105471,198.292551283385,75.90776222565,98.8438719024421,2230.96680654332,2015.5,1790.73014145547,2119.5,1968,1883,1968,86.5145001311375
"2012/2013",2013,121,121,100,47.0789050230599,186.105944136921,76.5914496444192,97.7726750824907,2028.25747471447,1788,1678.16667297084,1872.5,1788,1544,1786,86.3251648001587
"2013/2014",2014,120,120,100,51.4386731129904,190.907961929857,80.3074434720207,99.0237363573526,2056.6755752392,1751,1601.94481474249,1925.5,1715,1733,1713.5,83.2339973971741
"2014/2015",2015,120,120,100,26.9728096342979,107.853664014047,87.1123663598051,95.9184275072399,1406.97109113466,1137,1028.29518034499,1273.5,1091.5,1017,1068,68.6310042109167
"2015/2016",2016,120,120,100,53.9738406396425,186.108599394456,73.683415672591,95.8450687735753,2160.99924279705,1972.5,1823.48847255452,1994.5,1958.5,1672,1957.5,86.9189203623337
"2016/2017",2017,121,121,100,42.8676353166087,179.936886729109,75.5370746332333,94.7763522972685,1876.18425581177,1672.5,1539.12847557305,1743.5,1628,1462,1611.5,81.6258914846617
"2017/2018",2018,120,120,100,41.5897885927091,162.022400229054,79.5579469935797,94.2072773167621,1799.662426582,1586,1492.13654308747,1659.5,1564,1365,1553.5,77.4641789229318
